카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년03월_계_총인구수,"321,717","25,013","29,385","14,153","26,960","24,944","21,333","27,401","21,690","18,921","16,734","18,928","28,717","19,946","27,592"
2021년03월_계_연령구간인구수,"321,717","25,013","29,385","14,153","26,960","24,944","21,333","27,401","21,690","18,921","16,734","18,928","28,717","19,946","27,592"
2021년03월_계_0~9세,"18,135","1,517","1,743",750,"1,739","1,541",848,"1,582","1,172",987,777,"1,170","1,510",898,"1,901"
2021년03월_계_10~19세,"25,215","2,130","2,260","1,085","2,604","1,934","1,165","1,684","1,605","1,354","1,022","1,985","2,188","1,478","2,721"
2021년03월_계_20~29세,"42,807","3,265","4,100","1,795","3,683","3,660","2,597","3,311","3,029","2,515","2,501","2,516","3,818","2,675","3,342"
2021년03월_계_30~39세,"40,154","3,321","4,061","1,678","3,374","3,508","2,331","3,567","2,598","2,534","2,330","2,288","3,293","2,152","3,119"
2021년03월_계_40~49세,"47,634","4,032","4,548","2,134","4,339","3,541","2,883","3,729","3,196","2,723","2,416","2,907","4,180","2,845","4,161"
2021년03월_계_50~59세,"56,449","4,230","5,092","2,573","4,894","4,372","3,751","4,477","3,676","3,279","2,844","3,361","5,374","3,733","4,793"
2021년03월_계_60~69세,"50,250","3,488","4,209","2,204","3,554","3,679","3,944","4,919","3,371","3,048","2,513","2,842","4,638","3,357","4,484"
2021년03월_계_70~79세,"27,535","1,988","2,299","1,363","1,722","1,778","2,685","2,802","2,046","1,610","1,628","1,180","2,595","1,933","1,906"
2021년03월_계_80~89세,"11,779",918,971,515,900,802,"1,013","1,127",872,752,616,573,959,765,996
2021년03월_계_90~99세,"1,640",117,99,49,142,127,114,180,109,100,81,102,156,103,161
2021년03월_계_100세 이상,119,7,3,7,9,2,2,23,16,19,6,4,6,7,8
2021년03월_남_총인구수,"156,810","11,897","14,340","7,088","12,954","11,969","10,796","13,370","10,452","9,116","8,111","8,931","14,284","10,086","13,416"
2021년03월_남_연령구간인구수,"156,810","11,897","14,340","7,088","12,954","11,969","10,796","13,370","10,452","9,116","8,111","8,931","14,284","10,086","13,416"
2021년03월_남_0~9세,"9,398",775,907,393,911,801,418,808,609,512,397,631,741,460,"1,035"
2021년03월_남_10~19세,"12,983","1,074","1,177",571,"1,318",992,626,864,772,710,539,986,"1,116",774,"1,464"
2021년03월_남_20~29세,"21,749","1,617","2,052",936,"1,856","1,805","1,391","1,659","1,434","1,283","1,216","1,254","1,978","1,455","1,813"
2021년03월_남_30~39세,"20,543","1,655","2,044",903,"1,636","1,773","1,298","1,807","1,330","1,313","1,209","1,112","1,708","1,191","1,564"
2021년03월_남_40~49세,"23,602","1,950","2,317","1,094","2,049","1,680","1,563","1,881","1,632","1,377","1,260","1,305","2,078","1,477","1,939"
2021년03월_남_50~59세,"26,923","1,973","2,417","1,290","2,312","2,014","1,861","2,186","1,766","1,487","1,305","1,520","2,701","1,859","2,232"
2021년03월_남_60~69세,"23,914","1,615","1,950","1,066","1,715","1,735","1,904","2,333","1,591","1,420","1,178","1,355","2,260","1,665","2,127"
2021년03월_남_70~79세,"12,686",858,"1,037",618,782,829,"1,282","1,350",943,695,713,549,"1,277",878,875
2021년03월_남_80~89세,"4,528",343,411,207,324,301,414,434,343,286,272,186,388,296,323
2021년03월_남_90~99세,449,35,28,8,47,39,38,44,26,25,21,32,36,29,41
2021년03월_남_100세 이상,35,2,0,2,4,0,1,4,6,8,1,1,1,2,3
2021년03월_여_총인구수,"164,907","13,116","15,045","7,065","14,006","12,975","10,537","14,031","11,238","9,805","8,623","9,997","14,433","9,860","14,176"
2021년03월_여_연령구간인구수,"164,907","13,116","15,045","7,065","14,006","12,975","10,537","14,031","11,238","9,805","8,623","9,997","14,433","9,860","14,176"
2021년03월_여_0~9세,"8,737",742,836,357,828,740,430,774,563,475,380,539,769,438,866
2021년03월_여_10~19세,"12,232","1,056","1,083",514,"1,286",942,539,820,833,644,483,999,"1,072",704,"1,257"
2021년03월_여_20~29세,"21,058","1,648","2,048",859,"1,827","1,855","1,206","1,652","1,595","1,232","1,285","1,262","1,840","1,220","1,529"
2021년03월_여_30~39세,"19,611","1,666","2,017",775,"1,738","1,735","1,033","1,760","1,268","1,221","1,121","1,176","1,585",961,"1,555"
2021년03월_여_40~49세,"24,032","2,082","2,231","1,040","2,290","1,861","1,320","1,848","1,564","1,346","1,156","1,602","2,102","1,368","2,222"
2021년03월_여_50~59세,"29,526","2,257","2,675","1,283","2,582","2,358","1,890","2,291","1,910","1,792","1,539","1,841","2,673","1,874","2,561"
2021년03월_여_60~69세,"26,336","1,873","2,259","1,138","1,839","1,944","2,040","2,586","1,780","1,628","1,335","1,487","2,378","1,692","2,357"
2021년03월_여_70~79세,"14,849","1,130","1,262",745,940,949,"1,403","1,452","1,103",915,915,631,"1,318","1,055","1,031"
2021년03월_여_80~89세,"7,251",575,560,308,576,501,599,693,529,466,344,387,571,469,673
2021년03월_여_90~99세,"1,191",82,71,41,95,88,76,136,83,75,60,70,120,74,120
2021년03월_여_100세 이상,84,5,3,5,5,2,1,19,10,11,5,3,5,5,5
