카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년03월_계_총인구수,"44,129","13,477","3,725","3,717","1,833","3,260","6,064","4,050","1,553","1,389","2,880","2,181"
2021년03월_계_연령구간인구수,"44,129","13,477","3,725","3,717","1,833","3,260","6,064","4,050","1,553","1,389","2,880","2,181"
2021년03월_계_0~9세,"2,711","1,008",329,159,48,147,634,165,59,32,78,52
2021년03월_계_10~19세,"3,248","1,215",302,177,71,190,618,253,89,58,174,101
2021년03월_계_20~29세,"4,166","1,297",309,363,150,310,796,393,132,109,184,123
2021년03월_계_30~39세,"3,592","1,163",286,331,120,178,776,276,103,72,154,133
2021년03월_계_40~49세,"5,469","1,925",468,415,181,381,865,510,164,108,255,197
2021년03월_계_50~59세,"7,428","2,149",621,693,353,585,829,784,277,233,485,419
2021년03월_계_60~69세,"7,355","2,037",620,720,377,596,652,744,299,291,531,488
2021년03월_계_70~79세,"5,865","1,628",448,498,272,491,528,531,251,271,545,402
2021년03월_계_80~89세,"3,759",924,299,312,224,347,328,339,153,188,425,220
2021년03월_계_90~99세,519,128,37,48,36,34,38,55,26,26,47,44
2021년03월_계_100세 이상,17,3,6,1,1,1,0,0,0,1,2,2
2021년03월_남_총인구수,"22,652","6,675","1,888","2,001",973,"1,777","3,180","2,065",820,690,"1,451","1,132"
2021년03월_남_연령구간인구수,"22,652","6,675","1,888","2,001",973,"1,777","3,180","2,065",820,690,"1,451","1,132"
2021년03월_남_0~9세,"1,369",522,179,78,19,81,301,77,32,10,43,27
2021년03월_남_10~19세,"1,721",633,165,94,37,108,322,121,50,33,104,54
2021년03월_남_20~29세,"2,463",692,171,210,96,253,492,239,73,67,103,67
2021년03월_남_30~39세,"1,919",578,132,210,74,93,426,150,60,39,82,75
2021년03월_남_40~49세,"3,109","1,035",247,272,116,240,469,297,104,57,157,115
2021년03월_남_50~59세,"4,254","1,189",379,395,208,333,489,437,166,133,277,248
2021년03월_남_60~69세,"3,894","1,001",310,404,222,321,361,409,161,153,285,267
2021년03월_남_70~79세,"2,593",721,202,223,114,216,211,227,116,120,245,198
2021년03월_남_80~89세,"1,203",280,92,100,76,124,97,95,52,72,144,71
2021년03월_남_90~99세,126,24,10,15,11,8,12,13,6,6,11,10
2021년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"21,477","6,802","1,837","1,716",860,"1,483","2,884","1,985",733,699,"1,429","1,049"
2021년03월_여_연령구간인구수,"21,477","6,802","1,837","1,716",860,"1,483","2,884","1,985",733,699,"1,429","1,049"
2021년03월_여_0~9세,"1,342",486,150,81,29,66,333,88,27,22,35,25
2021년03월_여_10~19세,"1,527",582,137,83,34,82,296,132,39,25,70,47
2021년03월_여_20~29세,"1,703",605,138,153,54,57,304,154,59,42,81,56
2021년03월_여_30~39세,"1,673",585,154,121,46,85,350,126,43,33,72,58
2021년03월_여_40~49세,"2,360",890,221,143,65,141,396,213,60,51,98,82
2021년03월_여_50~59세,"3,174",960,242,298,145,252,340,347,111,100,208,171
2021년03월_여_60~69세,"3,461","1,036",310,316,155,275,291,335,138,138,246,221
2021년03월_여_70~79세,"3,272",907,246,275,158,275,317,304,135,151,300,204
2021년03월_여_80~89세,"2,556",644,207,212,148,223,231,244,101,116,281,149
2021년03월_여_90~99세,393,104,27,33,25,26,26,42,20,20,36,34
2021년03월_여_100세 이상,16,3,5,1,1,1,0,0,0,1,2,2
