카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년02월_계_총인구수,"31,899","8,343","3,391","1,851","3,868","1,920","3,105","2,852","2,852","3,717"
2021년02월_계_연령구간인구수,"31,899","8,343","3,391","1,851","3,868","1,920","3,105","2,852","2,852","3,717"
2021년02월_계_0~9세,"1,346",528,127,63,133,49,99,99,99,149
2021년02월_계_10~19세,"2,017",758,185,70,222,84,208,135,127,228
2021년02월_계_20~29세,"2,464",765,186,123,270,134,254,195,251,286
2021년02월_계_30~39세,"2,079",688,172,112,225,105,191,178,185,223
2021년02월_계_40~49세,"3,463","1,133",356,176,374,170,281,258,309,406
2021년02월_계_50~59세,"5,471","1,353",575,287,661,357,580,487,530,641
2021년02월_계_60~69세,"5,972","1,288",656,426,785,375,559,640,564,679
2021년02월_계_70~79세,"5,108","1,043",657,317,652,342,520,468,447,662
2021년02월_계_80~89세,"3,456",678,431,236,474,263,361,340,288,385
2021년02월_계_90~99세,495,103,45,39,69,39,50,50,45,55
2021년02월_계_100세 이상,28,6,1,2,3,2,2,2,7,3
2021년02월_남_총인구수,"16,006","4,110","1,686",921,"1,922",931,"1,603","1,411","1,462","1,960"
2021년02월_남_연령구간인구수,"16,006","4,110","1,686",921,"1,922",931,"1,603","1,411","1,462","1,960"
2021년02월_남_0~9세,703,267,55,35,76,19,53,55,53,90
2021년02월_남_10~19세,"1,075",418,92,34,112,45,120,65,62,127
2021년02월_남_20~29세,"1,470",424,115,64,169,89,162,116,152,179
2021년02월_남_30~39세,"1,113",340,89,67,121,60,116,98,97,125
2021년02월_남_40~49세,"2,050",607,237,117,230,96,157,149,180,277
2021년02월_남_50~59세,"3,192",749,339,155,375,210,360,290,316,398
2021년02월_남_60~69세,"3,115",637,341,218,421,201,281,349,305,362
2021년02월_남_70~79세,"2,140",441,266,147,269,130,232,190,190,275
2021년02월_남_80~89세,"1,031",203,142,74,134,71,113,93,92,109
2021년02월_남_90~99세,115,22,10,10,15,10,9,6,15,18
2021년02월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"15,893","4,233","1,705",930,"1,946",989,"1,502","1,441","1,390","1,757"
2021년02월_여_연령구간인구수,"15,893","4,233","1,705",930,"1,946",989,"1,502","1,441","1,390","1,757"
2021년02월_여_0~9세,643,261,72,28,57,30,46,44,46,59
2021년02월_여_10~19세,942,340,93,36,110,39,88,70,65,101
2021년02월_여_20~29세,994,341,71,59,101,45,92,79,99,107
2021년02월_여_30~39세,966,348,83,45,104,45,75,80,88,98
2021년02월_여_40~49세,"1,413",526,119,59,144,74,124,109,129,129
2021년02월_여_50~59세,"2,279",604,236,132,286,147,220,197,214,243
2021년02월_여_60~69세,"2,857",651,315,208,364,174,278,291,259,317
2021년02월_여_70~79세,"2,968",602,391,170,383,212,288,278,257,387
2021년02월_여_80~89세,"2,425",475,289,162,340,192,248,247,196,276
2021년02월_여_90~99세,380,81,35,29,54,29,41,44,30,37
2021년02월_여_100세 이상,26,4,1,2,3,2,2,2,7,3
