,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년06월_계_총인구수,"51,099","13,113","1,924","1,611","1,762","1,559","1,472","1,462","4,217","3,892","2,574","1,784","1,724","1,800","4,609","3,780",829,"2,152",835
2021년06월_계_연령구간인구수,"51,099","13,113","1,924","1,611","1,762","1,559","1,472","1,462","4,217","3,892","2,574","1,784","1,724","1,800","4,609","3,780",829,"2,152",835
2021년06월_계_0~9세,"1,857",764,27,39,28,21,41,35,129,142,92,43,36,39,243,94,21,49,14
2021년06월_계_10~19세,"2,221","1,009",58,37,51,39,49,40,133,126,46,44,59,52,245,121,14,75,23
2021년06월_계_20~29세,"3,016","1,099",81,68,82,57,55,49,218,261,113,81,84,102,365,177,21,73,30
2021년06월_계_30~39세,"3,104","1,125",83,76,60,47,74,70,208,253,134,98,91,78,368,184,31,81,43
2021년06월_계_40~49세,"4,535","1,703",139,99,126,105,67,92,346,346,190,112,123,117,476,262,44,137,51
2021년06월_계_50~59세,"8,364","2,134",313,244,336,274,246,236,644,675,417,289,283,310,758,603,146,332,124
2021년06월_계_60~69세,"12,083","2,552",553,439,503,429,453,430,"1,052",954,655,474,395,434,869,915,189,585,202
2021년06월_계_70~79세,"8,830","1,687",356,326,335,297,271,271,839,639,497,332,337,347,729,783,186,425,173
2021년06월_계_80~89세,"6,236",916,286,249,214,245,186,208,550,424,380,278,288,291,480,579,156,352,154
2021년06월_계_90~99세,825,123,27,34,26,45,29,28,93,68,48,33,27,28,74,59,21,42,20
2021년06월_계_100세 이상,28,1,1,0,1,0,1,3,5,4,2,0,1,2,2,3,0,1,1
2021년06월_남_총인구수,"25,016","6,421",953,791,876,751,752,729,"2,069","1,892","1,255",892,855,866,"2,199","1,844",400,"1,074",397
2021년06월_남_연령구간인구수,"25,016","6,421",953,791,876,751,752,729,"2,069","1,892","1,255",892,855,866,"2,199","1,844",400,"1,074",397
2021년06월_남_0~9세,983,415,17,23,19,11,17,23,75,67,42,18,21,23,119,50,9,24,10
2021년06월_남_10~19세,"1,150",528,35,19,24,24,29,16,71,67,21,26,29,26,113,62,8,38,14
2021년06월_남_20~29세,"1,755",620,53,43,41,28,41,27,130,148,72,44,57,62,207,108,12,44,18
2021년06월_남_30~39세,"1,733",579,55,51,43,28,45,36,117,133,80,61,55,42,208,116,16,44,24
2021년06월_남_40~49세,"2,651",890,92,67,81,74,37,57,206,212,124,80,80,78,255,163,24,98,33
2021년06월_남_50~59세,"4,540","1,120",183,132,184,147,121,124,348,377,229,160,157,188,397,323,88,192,70
2021년06월_남_60~69세,"6,093","1,207",282,221,262,217,261,247,537,453,332,252,195,224,430,455,107,302,109
2021년06월_남_70~79세,"3,875",741,139,150,143,138,125,115,377,286,231,151,149,135,309,349,68,200,69
2021년06월_남_80~89세,"2,049",295,94,79,72,74,70,79,179,131,115,93,107,81,151,197,61,123,48
2021년06월_남_90~99세,184,26,3,6,7,10,6,5,28,18,9,7,5,7,10,19,7,9,2
2021년06월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년06월_여_총인구수,"26,083","6,692",971,820,886,808,720,733,"2,148","2,000","1,319",892,869,934,"2,410","1,936",429,"1,078",438
2021년06월_여_연령구간인구수,"26,083","6,692",971,820,886,808,720,733,"2,148","2,000","1,319",892,869,934,"2,410","1,936",429,"1,078",438
2021년06월_여_0~9세,874,349,10,16,9,10,24,12,54,75,50,25,15,16,124,44,12,25,4
2021년06월_여_10~19세,"1,071",481,23,18,27,15,20,24,62,59,25,18,30,26,132,59,6,37,9
2021년06월_여_20~29세,"1,261",479,28,25,41,29,14,22,88,113,41,37,27,40,158,69,9,29,12
2021년06월_여_30~39세,"1,371",546,28,25,17,19,29,34,91,120,54,37,36,36,160,68,15,37,19
2021년06월_여_40~49세,"1,884",813,47,32,45,31,30,35,140,134,66,32,43,39,221,99,20,39,18
2021년06월_여_50~59세,"3,824","1,014",130,112,152,127,125,112,296,298,188,129,126,122,361,280,58,140,54
2021년06월_여_60~69세,"5,990","1,345",271,218,241,212,192,183,515,501,323,222,200,210,439,460,82,283,93
2021년06월_여_70~79세,"4,955",946,217,176,192,159,146,156,462,353,266,181,188,212,420,434,118,225,104
2021년06월_여_80~89세,"4,187",621,192,170,142,171,116,129,371,293,265,185,181,210,329,382,95,229,106
2021년06월_여_90~99세,641,97,24,28,19,35,23,23,65,50,39,26,22,21,64,40,14,33,18
2021년06월_여_100세 이상,25,1,1,0,1,0,1,3,4,4,2,0,1,2,2,1,0,1,1
