카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년01월_계_총인구수,"373,951","24,899","39,850","22,323","21,930","11,567","12,406","23,447","25,121","24,138","18,664","21,479","19,210","15,772","19,735","41,272","32,138"
2020년01월_계_연령구간인구수,"373,951","24,899","39,850","22,323","21,930","11,567","12,406","23,447","25,121","24,138","18,664","21,479","19,210","15,772","19,735","41,272","32,138"
2020년01월_계_0~9세,"26,370","2,674","2,418","1,609","2,309",414,966,"1,775","1,998",960,"1,264","1,190","1,316",729,"1,077","2,839","2,832"
2020년01월_계_10~19세,"29,583","1,609","2,607","1,718","2,007",688,"1,145","2,002","1,798","1,321","1,043","1,442","1,695",859,"1,532","3,720","4,397"
2020년01월_계_20~29세,"60,761","3,122","6,701","3,089","2,377","2,849","1,840","3,543","4,662","5,267","3,623","3,555","2,798","3,082","3,177","6,746","4,330"
2020년01월_계_30~39세,"65,509","5,217","6,753","3,790","3,792","1,793","1,938","3,845","4,299","5,100","3,852","4,079","3,109","3,242","3,535","7,003","4,162"
2020년01월_계_40~49세,"62,471","3,991","5,986","3,379","4,392","1,676","2,241","4,050","4,168","3,763","2,678","3,429","3,354","2,422","3,475","6,956","6,511"
2020년01월_계_50~59세,"54,258","3,762","6,764","3,550","2,988","1,564","1,839","3,549","3,695","3,092","2,466","3,113","2,780","2,052","2,890","5,745","4,409"
2020년01월_계_60~69세,"38,184","2,517","4,439","2,633","2,075","1,251","1,133","2,379","2,361","2,202","1,920","2,363","2,148","1,675","2,097","4,107","2,884"
2020년01월_계_70~79세,"24,396","1,239","2,751","1,574","1,288",848,877,"1,528","1,384","1,566","1,218","1,620","1,417","1,117","1,365","2,886","1,718"
2020년01월_계_80~89세,"10,556",620,"1,233",811,615,391,371,658,645,724,504,609,514,494,511,"1,081",775
2020년01월_계_90~99세,"1,546",98,157,144,78,71,45,101,96,120,79,74,63,82,60,175,103
2020년01월_계_100세 이상,317,50,41,26,9,22,11,17,15,23,17,5,16,18,16,14,17
2020년01월_남_총인구수,"176,782","11,685","18,911","10,657","10,374","5,613","6,007","11,461","11,970","11,124","8,664","10,114","9,133","7,414","9,314","18,981","15,360"
2020년01월_남_연령구간인구수,"176,782","11,685","18,911","10,657","10,374","5,613","6,007","11,461","11,970","11,124","8,664","10,114","9,133","7,414","9,314","18,981","15,360"
2020년01월_남_0~9세,"13,383","1,274","1,244",848,"1,120",218,487,924,"1,026",492,674,612,689,353,545,"1,410","1,467"
2020년01월_남_10~19세,"14,949",754,"1,296",919,987,383,576,"1,076",891,651,486,697,820,454,786,"1,949","2,224"
2020년01월_남_20~29세,"27,754","1,409","3,006","1,450","1,118","1,271",908,"1,827","2,249","2,302","1,604","1,646","1,328","1,418","1,499","2,769","1,950"
2020년01월_남_30~39세,"31,100","2,446","3,333","1,826","1,766",916,926,"1,864","2,009","2,349","1,830","1,941","1,477","1,548","1,690","3,260","1,919"
2020년01월_남_40~49세,"30,419","2,000","2,960","1,636","2,118",866,"1,163","1,906","1,998","1,818","1,297","1,668","1,656","1,222","1,645","3,336","3,130"
2020년01월_남_50~59세,"26,661","1,815","3,302","1,707","1,495",847,904,"1,798","1,776","1,490","1,168","1,560","1,366",966,"1,377","2,826","2,264"
2020년01월_남_60~69세,"17,605","1,190","2,136","1,237",976,589,531,"1,131","1,150",983,860,"1,037",936,761,948,"1,834","1,306"
2020년01월_남_70~79세,"10,355",510,"1,159",688,541,346,350,625,588,690,530,706,627,476,586,"1,168",765
2020년01월_남_80~89세,"4,049",244,425,304,233,155,149,269,258,309,188,225,209,178,215,386,302
2020년01월_남_90~99세,430,29,42,36,17,18,11,36,24,32,24,22,20,32,18,38,31
2020년01월_남_100세 이상,77,14,8,6,3,4,2,5,1,8,3,0,5,6,5,5,2
