,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년04월_계_총인구수,"474,843","37,114","39,123","28,137","22,736","28,576","32,291","27,146","30,848","27,499","24,827","46,082","27,229","20,576","15,110","11,221","56,328"
2021년04월_계_연령구간인구수,"474,843","37,114","39,123","28,137","22,736","28,576","32,291","27,146","30,848","27,499","24,827","46,082","27,229","20,576","15,110","11,221","56,328"
2021년04월_계_0~9세,"28,672","2,412","2,298","1,088",975,"1,500","1,722","1,136","2,244","3,179",978,"2,579","1,559","1,065",729,709,"4,499"
2021년04월_계_10~19세,"37,932","2,274","2,650","1,765","1,529","2,390","2,828","1,625","2,569","2,297","1,574","3,475","2,051","1,619","1,153",755,"7,378"
2021년04월_계_20~29세,"66,462","5,044","5,350","4,276","3,670","4,374","4,409","4,937","4,218","2,740","3,590","6,566","3,869","2,938","2,048","1,477","6,956"
2021년04월_계_30~39세,"67,403","5,994","5,370","3,811","2,978","3,842","4,059","4,183","5,122","4,911","3,363","6,493","4,046","2,757","2,003","1,760","6,711"
2021년04월_계_40~49세,"75,314","5,717","5,881","3,844","3,217","4,648","5,032","4,010","5,229","5,218","3,486","7,508","4,117","3,136","2,229","1,508","10,534"
2021년04월_계_50~59세,"76,641","5,887","6,673","4,858","3,927","4,741","5,581","4,138","4,565","3,655","4,160","7,629","4,431","3,462","2,524","1,969","8,441"
2021년04월_계_60~69세,"65,165","5,168","5,633","4,471","3,528","3,738","4,634","3,595","3,620","2,961","3,783","6,331","3,944","3,186","2,450","1,721","6,402"
2021년04월_계_70~79세,"38,793","3,142","3,469","2,747","2,070","2,291","2,727","2,362","2,267","1,713","2,579","3,829","2,246","1,632","1,379",872,"3,468"
