,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년10월_계_총인구수,"38,326","4,184",235,"5,704",229,220,"1,446",311,"3,199","2,281","3,477","2,463",218,"2,186",429,193,450,311,"1,705","1,547","1,538","2,741",281,979,"1,999"
2021년10월_계_연령구간인구수,"38,326","4,184",235,"5,704",229,220,"1,446",311,"3,199","2,281","3,477","2,463",218,"2,186",429,193,450,311,"1,705","1,547","1,538","2,741",281,979,"1,999"
2021년10월_계_0~9세,"1,441",142,5,197,11,15,35,11,156,75,126,107,9,65,13,11,18,11,62,65,71,109,16,20,91
2021년10월_계_10~19세,"1,981",221,6,286,3,5,43,9,239,94,195,205,6,110,20,16,24,19,101,104,70,99,8,27,71
2021년10월_계_20~29세,"2,557",275,13,434,6,6,89,18,218,135,211,154,6,177,43,10,45,23,107,135,66,208,20,46,112
2021년10월_계_30~39세,"2,494",235,11,407,14,14,77,16,205,136,210,160,14,178,45,15,43,23,105,122,96,173,27,56,112
2021년10월_계_40~49세,"4,131",425,17,611,21,19,164,32,400,213,383,267,28,283,77,20,78,40,191,206,153,222,25,80,176
2021년10월_계_50~59세,"6,921",743,46,"1,084",34,34,298,62,581,424,628,381,61,429,99,37,100,63,310,276,232,448,45,151,355
2021년10월_계_60~69세,"7,919",896,55,"1,301",61,46,269,73,608,504,711,456,45,379,72,38,73,64,322,284,344,584,65,225,444
2021년10월_계_70~79세,"6,246",716,40,813,54,53,268,58,508,398,611,393,29,325,34,25,37,43,286,211,280,473,45,209,337
2021년10월_계_80~89세,"4,110",472,40,499,24,25,186,29,265,276,351,313,17,195,26,18,31,17,196,128,199,363,27,144,269
2021년10월_계_90~99세,514,59,2,71,1,3,16,3,19,25,51,26,3,42,0,3,1,8,25,14,25,61,3,21,32
2021년10월_계_100세 이상,12,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년10월_남_총인구수,"20,515","2,195",123,"3,110",115,126,790,179,"1,697","1,207","1,844","1,269",125,"1,235",270,113,253,183,910,839,814,"1,426",152,491,"1,049"
2021년10월_남_연령구간인구수,"20,515","2,195",123,"3,110",115,126,790,179,"1,697","1,207","1,844","1,269",125,"1,235",270,113,253,183,910,839,814,"1,426",152,491,"1,049"
2021년10월_남_0~9세,741,81,3,105,5,11,15,4,72,43,72,52,7,34,8,5,10,3,29,28,36,54,8,9,47
2021년10월_남_10~19세,"1,016",112,2,133,0,3,23,8,126,48,98,93,3,62,12,10,12,10,54,53,31,57,6,16,44
2021년10월_남_20~29세,"1,564",169,10,269,4,4,58,9,134,80,108,96,2,119,27,6,21,16,66,79,43,125,13,36,70
2021년10월_남_30~39세,"1,565",140,7,256,11,11,52,15,117,92,139,106,5,114,35,11,32,14,58,71,61,99,16,34,69
2021년10월_남_40~49세,"2,739",272,11,404,16,13,121,22,269,140,235,161,22,200,55,16,55,30,126,138,101,147,16,55,114
2021년10월_남_50~59세,"4,266",450,31,631,19,23,197,44,353,245,404,227,40,276,72,25,62,46,198,171,160,281,25,80,206
2021년10월_남_60~69세,"4,367",502,34,726,34,23,145,35,325,257,385,254,25,223,41,25,38,37,179,161,182,325,36,123,252
2021년10월_남_70~79세,"2,897",314,14,393,21,26,115,28,229,188,292,188,18,145,13,12,16,23,141,101,132,212,25,95,156
2021년10월_남_80~89세,"1,255",144,11,181,5,10,61,13,70,107,104,84,3,58,7,2,6,3,55,32,63,111,5,40,80
2021년10월_남_90~99세,101,11,0,12,0,2,3,1,2,7,7,8,0,3,0,1,1,1,4,4,4,14,2,3,11
2021년10월_남_100세 이상,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년10월_여_총인구수,"17,811","1,989",112,"2,594",114,94,656,132,"1,502","1,074","1,633","1,194",93,951,159,80,197,128,795,708,724,"1,315",129,488,950
2021년10월_여_연령구간인구수,"17,811","1,989",112,"2,594",114,94,656,132,"1,502","1,074","1,633","1,194",93,951,159,80,197,128,795,708,724,"1,315",129,488,950
2021년10월_여_0~9세,700,61,2,92,6,4,20,7,84,32,54,55,2,31,5,6,8,8,33,37,35,55,8,11,44
2021년10월_여_10~19세,965,109,4,153,3,2,20,1,113,46,97,112,3,48,8,6,12,9,47,51,39,42,2,11,27
2021년10월_여_20~29세,993,106,3,165,2,2,31,9,84,55,103,58,4,58,16,4,24,7,41,56,23,83,7,10,42
2021년10월_여_30~39세,929,95,4,151,3,3,25,1,88,44,71,54,9,64,10,4,11,9,47,51,35,74,11,22,43
2021년10월_여_40~49세,"1,392",153,6,207,5,6,43,10,131,73,148,106,6,83,22,4,23,10,65,68,52,75,9,25,62
2021년10월_여_50~59세,"2,655",293,15,453,15,11,101,18,228,179,224,154,21,153,27,12,38,17,112,105,72,167,20,71,149
2021년10월_여_60~69세,"3,552",394,21,575,27,23,124,38,283,247,326,202,20,156,31,13,35,27,143,123,162,259,29,102,192
2021년10월_여_70~79세,"3,349",402,26,420,33,27,153,30,279,210,319,205,11,180,21,13,21,20,145,110,148,261,20,114,181
2021년10월_여_80~89세,"2,855",328,29,318,19,15,125,16,195,169,247,229,14,137,19,16,25,14,141,96,136,252,22,104,189
2021년10월_여_90~99세,413,48,2,59,1,1,13,2,17,18,44,18,3,39,0,2,0,7,21,10,21,47,1,18,21
2021년10월_여_100세 이상,8,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
