,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년09월_계_총인구수,"33,961","13,317","4,398","2,260","1,137","2,492","1,778","2,752","1,809","1,610",620,"1,788"
2021년09월_계_연령구간인구수,"33,961","13,317","4,398","2,260","1,137","2,492","1,778","2,752","1,809","1,610",620,"1,788"
2021년09월_계_0~9세,"1,585",883,243,60,24,51,69,90,34,46,13,72
2021년09월_계_10~19세,"2,435","1,329",333,119,44,134,89,125,62,77,44,79
2021년09월_계_20~29세,"2,717","1,465",358,129,56,112,68,173,107,93,34,122
2021년09월_계_30~39세,"2,294","1,190",341,100,54,101,78,159,81,62,17,111
2021년09월_계_40~49세,"3,573","1,761",464,181,95,189,157,234,126,137,48,181
2021년09월_계_50~59세,"5,553","2,208",713,369,183,373,292,418,316,265,102,314
2021년09월_계_60~69세,"6,422","2,089",777,488,261,575,411,618,371,347,108,377
2021년09월_계_70~79세,"5,095","1,433",596,433,235,494,320,501,359,285,126,313
2021년09월_계_80~89세,"3,668",824,494,326,150,388,257,370,316,248,104,191
2021년09월_계_90~99세,590,124,76,53,34,67,36,64,35,49,24,28
2021년09월_계_100세 이상,29,11,3,2,1,8,1,0,2,1,0,0
2021년09월_남_총인구수,"16,460","6,433","2,131","1,092",547,"1,212",861,"1,354",876,757,308,889
2021년09월_남_연령구간인구수,"16,460","6,433","2,131","1,092",547,"1,212",861,"1,354",876,757,308,889
2021년09월_남_0~9세,783,445,115,34,8,26,28,45,22,20,7,33
2021년09월_남_10~19세,"1,261",672,187,52,23,74,45,62,30,43,27,46
2021년09월_남_20~29세,"1,543",795,213,78,36,69,42,107,58,54,21,70
2021년09월_남_30~39세,"1,186",608,174,54,29,60,38,82,46,33,4,58
2021년09월_남_40~49세,"1,966",862,246,114,63,116,102,147,82,86,36,112
2021년09월_남_50~59세,"3,035","1,140",375,198,108,218,165,237,195,148,66,185
2021년09월_남_60~69세,"3,234","1,018",424,251,123,298,204,318,189,175,59,175
2021년09월_남_70~79세,"2,207",619,241,191,107,222,151,222,149,108,56,141
2021년09월_남_80~89세,"1,130",248,141,112,46,116,83,118,97,77,26,66
2021년09월_남_90~99세,108,24,15,7,4,11,3,16,7,12,6,3
2021년09월_남_100세 이상,7,2,0,1,0,2,0,0,1,1,0,0
2021년09월_여_총인구수,"17,501","6,884","2,267","1,168",590,"1,280",917,"1,398",933,853,312,899
2021년09월_여_연령구간인구수,"17,501","6,884","2,267","1,168",590,"1,280",917,"1,398",933,853,312,899
2021년09월_여_0~9세,802,438,128,26,16,25,41,45,12,26,6,39
2021년09월_여_10~19세,"1,174",657,146,67,21,60,44,63,32,34,17,33
2021년09월_여_20~29세,"1,174",670,145,51,20,43,26,66,49,39,13,52
2021년09월_여_30~39세,"1,108",582,167,46,25,41,40,77,35,29,13,53
2021년09월_여_40~49세,"1,607",899,218,67,32,73,55,87,44,51,12,69
2021년09월_여_50~59세,"2,518","1,068",338,171,75,155,127,181,121,117,36,129
2021년09월_여_60~69세,"3,188","1,071",353,237,138,277,207,300,182,172,49,202
2021년09월_여_70~79세,"2,888",814,355,242,128,272,169,279,210,177,70,172
2021년09월_여_80~89세,"2,538",576,353,214,104,272,174,252,219,171,78,125
2021년09월_여_90~99세,482,100,61,46,30,56,33,48,28,37,18,25
2021년09월_여_100세 이상,22,9,3,1,1,6,1,0,1,0,0,0
