카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년10월_계_총인구수,"65,544","10,250","3,328","1,734","5,195","1,339",724,"1,849",712,680,"7,741","14,654","9,129","8,209"
2020년10월_계_연령구간인구수,"65,544","10,250","3,328","1,734","5,195","1,339",724,"1,849",712,680,"7,741","14,654","9,129","8,209"
2020년10월_계_0~9세,"3,878",333,90,39,104,29,8,44,14,20,296,"1,679",666,556
2020년10월_계_10~19세,"5,233",827,142,65,240,41,9,65,27,13,495,"1,684",850,775
2020년10월_계_20~29세,"7,387","1,974",257,129,350,67,37,95,30,24,743,"1,906",998,777
2020년10월_계_30~39세,"5,838",578,214,96,286,76,25,93,28,45,603,"2,078",961,755
2020년10월_계_40~49세,"8,981","1,102",392,189,478,149,62,195,82,73,961,"2,550","1,525","1,223"
2020년10월_계_50~59세,"11,390","1,680",635,365,"1,001",297,149,349,142,128,"1,470","2,273","1,538","1,363"
2020년10월_계_60~69세,"11,063","1,848",681,364,"1,168",364,178,421,169,160,"1,590","1,417","1,306","1,397"
2020년10월_계_70~79세,"7,220","1,248",520,302,860,181,140,330,130,124,"1,036",684,819,846
2020년10월_계_80~89세,"3,925",578,339,157,602,121,93,222,78,83,488,319,392,453
2020년10월_계_90~99세,579,67,50,28,99,14,23,34,11,9,57,59,66,62
2020년10월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년10월_남_총인구수,"33,208","5,104","1,734",864,"2,672",728,398,961,363,371,"3,807","7,479","4,661","4,066"
2020년10월_남_연령구간인구수,"33,208","5,104","1,734",864,"2,672",728,398,961,363,371,"3,807","7,479","4,661","4,066"
2020년10월_남_0~9세,"1,984",159,48,20,58,16,4,25,12,10,156,861,336,279
2020년10월_남_10~19세,"2,712",390,70,36,154,23,4,43,12,6,262,854,460,398
2020년10월_남_20~29세,"4,140","1,050",171,72,221,35,26,63,19,13,416,"1,078",549,427
2020년10월_남_30~39세,"3,181",303,133,63,175,50,16,53,14,26,340,"1,085",512,411
2020년10월_남_40~49세,"4,951",619,260,115,312,107,43,140,54,56,516,"1,266",816,647
2020년10월_남_50~59세,"6,087",898,374,192,585,156,97,199,82,79,715,"1,173",856,681
2020년10월_남_60~69세,"5,531",940,352,188,596,203,105,222,80,92,738,715,633,667
2020년10월_남_70~79세,"3,178",542,215,115,361,83,61,149,59,57,480,308,361,387
2020년10월_남_80~89세,"1,322",178,101,56,197,52,36,63,30,31,173,124,124,157
2020년10월_남_90~99세,110,20,7,7,12,3,6,4,1,1,11,14,13,11
2020년10월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년10월_여_총인구수,"32,336","5,146","1,594",870,"2,523",611,326,888,349,309,"3,934","7,175","4,468","4,143"
2020년10월_여_연령구간인구수,"32,336","5,146","1,594",870,"2,523",611,326,888,349,309,"3,934","7,175","4,468","4,143"
2020년10월_여_0~9세,"1,894",174,42,19,46,13,4,19,2,10,140,818,330,277
2020년10월_여_10~19세,"2,521",437,72,29,86,18,5,22,15,7,233,830,390,377
2020년10월_여_20~29세,"3,247",924,86,57,129,32,11,32,11,11,327,828,449,350
2020년10월_여_30~39세,"2,657",275,81,33,111,26,9,40,14,19,263,993,449,344
2020년10월_여_40~49세,"4,030",483,132,74,166,42,19,55,28,17,445,"1,284",709,576
2020년10월_여_50~59세,"5,303",782,261,173,416,141,52,150,60,49,755,"1,100",682,682
2020년10월_여_60~69세,"5,532",908,329,176,572,161,73,199,89,68,852,702,673,730
2020년10월_여_70~79세,"4,042",706,305,187,499,98,79,181,71,67,556,376,458,459
2020년10월_여_80~89세,"2,603",400,238,101,405,69,57,159,48,52,315,195,268,296
2020년10월_여_90~99세,469,47,43,21,87,11,17,30,10,8,46,45,53,51
2020년10월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
