,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년08월_계_총인구수,"481,729","37,404","39,937","28,638","23,525","29,124","33,080","27,364","30,386","27,459","25,383","47,013","27,787","21,042","15,516","10,721","57,350"
2020년08월_계_연령구간인구수,"481,729","37,404","39,937","28,638","23,525","29,124","33,080","27,364","30,386","27,459","25,383","47,013","27,787","21,042","15,516","10,721","57,350"
2020년08월_계_0~9세,"30,770","2,537","2,469","1,213","1,052","1,681","1,928","1,240","2,248","3,257","1,033","2,880","1,672","1,167",769,672,"4,952"
2020년08월_계_10~19세,"39,324","2,398","2,745","1,866","1,666","2,503","2,896","1,727","2,655","2,298","1,672","3,604","2,161","1,703","1,243",760,"7,427"
2020년08월_계_20~29세,"66,929","5,068","5,480","4,325","3,764","4,374","4,476","4,804","3,999","2,759","3,664","6,586","3,975","2,974","2,099","1,408","7,174"
2020년08월_계_30~39세,"69,477","6,106","5,515","3,957","3,177","4,028","4,201","4,268","5,033","5,115","3,429","6,882","4,153","2,863","2,070","1,597","7,083"
2020년08월_계_40~49세,"77,426","5,818","6,154","4,038","3,432","4,771","5,229","4,176","5,193","5,152","3,688","7,691","4,259","3,234","2,280","1,473","10,838"
2020년08월_계_50~59세,"77,422","5,898","6,747","4,978","4,038","4,820","5,712","4,173","4,515","3,584","4,278","7,672","4,570","3,540","2,620","1,898","8,379"
2020년08월_계_60~69세,"63,416","5,001","5,541","4,308","3,447","3,647","4,567","3,511","3,517","2,835","3,716","6,191","3,788","3,118","2,409","1,622","6,198"
2020년08월_계_70~79세,"39,004","3,149","3,520","2,765","2,131","2,288","2,767","2,364","2,225","1,688","2,624","3,851","2,261","1,660","1,425",866,"3,420"
2020년08월_계_80~89세,"15,459","1,232","1,532","1,048",697,881,"1,128",972,860,662,"1,119","1,457",843,678,518,369,"1,463"
2020년08월_계_90~99세,"2,087",172,201,128,107,112,155,107,131,89,141,175,96,93,74,51,255
2020년08월_계_100세 이상,415,25,33,12,14,19,21,22,10,20,19,24,9,12,9,5,161
2020년08월_남_총인구수,"231,508","17,848","18,928","13,909","11,486","13,857","16,481","12,783","14,442","13,337","12,412","22,265","13,430","10,496","7,603","5,321","26,910"
2020년08월_남_연령구간인구수,"231,508","17,848","18,928","13,909","11,486","13,857","16,481","12,783","14,442","13,337","12,412","22,265","13,430","10,496","7,603","5,321","26,910"
2020년08월_남_0~9세,"15,721","1,272","1,271",609,565,860,975,637,"1,151","1,679",551,"1,460",801,601,391,346,"2,552"
2020년08월_남_10~19세,"20,067","1,210","1,441",948,856,"1,253","1,391",811,"1,388","1,184",856,"1,805","1,132",942,650,411,"3,789"
2020년08월_남_20~29세,"32,323","2,385","2,693","2,167","1,917","2,118","2,219","2,108","1,828","1,382","1,868","3,165","2,038","1,537","1,054",719,"3,125"
2020년08월_남_30~39세,"34,529","3,058","2,696","2,089","1,676","2,013","2,158","2,150","2,493","2,435","1,799","3,353","2,104","1,509","1,066",833,"3,097"
2020년08월_남_40~49세,"38,268","2,932","2,980","2,084","1,721","2,290","2,624","2,053","2,536","2,642","1,894","3,823","2,088","1,651","1,128",745,"5,077"
2020년08월_남_50~59세,"37,273","2,812","3,156","2,299","1,882","2,267","2,879","2,013","2,200","1,745","2,142","3,591","2,157","1,702","1,286",962,"4,180"
2020년08월_남_60~69세,"29,230","2,250","2,504","2,012","1,591","1,654","2,307","1,561","1,522","1,283","1,716","2,752","1,747","1,499","1,147",793,"2,892"
2020년08월_남_70~79세,"17,240","1,374","1,515","1,235",952,990,"1,373","1,005",955,716,"1,111","1,698","1,008",752,639,369,"1,548"
2020년08월_남_80~89세,"6,195",510,598,428,292,373,504,408,326,240,433,575,329,266,221,128,564
2020년08월_남_90~99세,581,39,63,34,33,31,41,30,42,24,37,39,25,33,18,13,79
2020년08월_남_100세 이상,81,6,11,4,1,8,10,7,1,7,5,4,1,4,3,2,7
2020년08월_여_총인구수,"250,221","19,556","21,009","14,729","12,039","15,267","16,599","14,581","15,944","14,122","12,971","24,748","14,357","10,546","7,913","5,400","30,440"
2020년08월_여_연령구간인구수,"250,221","19,556","21,009","14,729","12,039","15,267","16,599","14,581","15,944","14,122","12,971","24,748","14,357","10,546","7,913","5,400","30,440"
2020년08월_여_0~9세,"15,049","1,265","1,198",604,487,821,953,603,"1,097","1,578",482,"1,420",871,566,378,326,"2,400"
2020년08월_여_10~19세,"19,257","1,188","1,304",918,810,"1,250","1,505",916,"1,267","1,114",816,"1,799","1,029",761,593,349,"3,638"
2020년08월_여_20~29세,"34,606","2,683","2,787","2,158","1,847","2,256","2,257","2,696","2,171","1,377","1,796","3,421","1,937","1,437","1,045",689,"4,049"
2020년08월_여_30~39세,"34,948","3,048","2,819","1,868","1,501","2,015","2,043","2,118","2,540","2,680","1,630","3,529","2,049","1,354","1,004",764,"3,986"
2020년08월_여_40~49세,"39,158","2,886","3,174","1,954","1,711","2,481","2,605","2,123","2,657","2,510","1,794","3,868","2,171","1,583","1,152",728,"5,761"
2020년08월_여_50~59세,"40,149","3,086","3,591","2,679","2,156","2,553","2,833","2,160","2,315","1,839","2,136","4,081","2,413","1,838","1,334",936,"4,199"
2020년08월_여_60~69세,"34,186","2,751","3,037","2,296","1,856","1,993","2,260","1,950","1,995","1,552","2,000","3,439","2,041","1,619","1,262",829,"3,306"
2020년08월_여_70~79세,"21,764","1,775","2,005","1,530","1,179","1,298","1,394","1,359","1,270",972,"1,513","2,153","1,253",908,786,497,"1,872"
2020년08월_여_80~89세,"9,264",722,934,620,405,508,624,564,534,422,686,882,514,412,297,241,899
2020년08월_여_90~99세,"1,506",133,138,94,74,81,114,77,89,65,104,136,71,60,56,38,176
2020년08월_여_100세 이상,334,19,22,8,13,11,11,15,9,13,14,20,8,8,6,3,154
