카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년04월_계_총인구수,"353,291","120,926","35,123","3,375","12,833","8,302","11,497","33,349","22,134","9,091","28,318","20,313","30,625","17,405"
2021년04월_계_연령구간인구수,"353,291","120,926","35,123","3,375","12,833","8,302","11,497","33,349","22,134","9,091","28,318","20,313","30,625","17,405"
2021년04월_계_0~9세,"34,018","15,867","4,767",82,524,177,450,"2,470","1,341",734,"2,235","1,388","2,409","1,574"
2021년04월_계_10~19세,"34,505","12,731","2,868",111,821,587,622,"4,196","1,771","1,010","3,271","1,803","3,190","1,524"
2021년04월_계_20~29세,"40,426","14,219","3,214",161,"1,299",812,"1,415","4,547","3,163","1,054","3,204","2,202","3,192","1,944"
2021년04월_계_30~39세,"48,469","20,936","6,302",201,"1,065",566,"1,269","3,307","3,007","1,075","3,168","2,268","3,020","2,285"
2021년04월_계_40~49세,"61,205","22,383","6,476",280,"1,627",923,"1,458","6,018","3,457","1,649","5,363","3,394","5,389","2,788"
2021년04월_계_50~59세,"58,699","17,007","4,714",599,"2,690","1,846","2,408","6,262","4,559","1,544","4,934","3,863","5,169","3,104"
2021년04월_계_60~69세,"44,393","11,222","4,175",964,"2,682","1,925","2,365","3,553","3,092","1,212","3,668","2,993","4,178","2,364"
2021년04월_계_70~79세,"21,348","4,545","1,863",623,"1,395",900,"1,023","2,063","1,161",545,"1,729","1,566","2,727","1,208"
2021년04월_계_80~89세,"9,064","1,770",647,308,630,471,427,845,510,238,664,764,"1,241",549
2021년04월_계_90~99세,"1,132",242,96,46,96,86,60,86,72,30,78,70,107,63
2021년04월_계_100세 이상,32,4,1,0,4,9,0,2,1,0,4,2,3,2
2021년04월_남_총인구수,"177,200","59,759","17,822","1,742","6,533","4,343","6,137","16,160","11,624","4,562","14,797","10,154","14,922","8,645"
2021년04월_남_연령구간인구수,"177,200","59,759","17,822","1,742","6,533","4,343","6,137","16,160","11,624","4,562","14,797","10,154","14,922","8,645"
2021년04월_남_0~9세,"17,357","8,062","2,469",47,264,94,227,"1,259",693,353,"1,145",710,"1,223",811
2021년04월_남_10~19세,"17,744","6,510","1,453",57,412,315,361,"2,197",930,474,"1,687",914,"1,648",786
2021년04월_남_20~29세,"21,669","7,056","1,736",97,766,496,842,"2,413","1,860",563,"1,845","1,218","1,733","1,044"
2021년04월_남_30~39세,"24,932","10,343","3,182",124,615,334,768,"1,619","1,747",589,"1,714","1,195","1,506","1,196"
2021년04월_남_40~49세,"31,079","11,229","3,483",167,859,488,817,"2,734","1,835",828,"2,833","1,715","2,721","1,370"
2021년04월_남_50~59세,"29,645","8,367","2,344",320,"1,392",969,"1,267","3,075","2,239",818,"2,690","2,009","2,613","1,542"
2021년04월_남_60~69세,"21,769","5,473","1,996",505,"1,383","1,040","1,200","1,645","1,631",609,"1,835","1,460","1,845","1,147"
2021년04월_남_70~79세,"9,620","2,109",915,312,602,439,479,867,522,252,790,661,"1,134",538
2021년04월_남_80~89세,"3,135",570,225,102,216,148,156,332,150,73,244,254,470,195
2021년04월_남_90~99세,247,40,19,11,24,20,20,18,17,3,13,18,28,16
2021년04월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년04월_여_총인구수,"176,091","61,167","17,301","1,633","6,300","3,959","5,360","17,189","10,510","4,529","13,521","10,159","15,703","8,760"
2021년04월_여_연령구간인구수,"176,091","61,167","17,301","1,633","6,300","3,959","5,360","17,189","10,510","4,529","13,521","10,159","15,703","8,760"
2021년04월_여_0~9세,"16,661","7,805","2,298",35,260,83,223,"1,211",648,381,"1,090",678,"1,186",763
2021년04월_여_10~19세,"16,761","6,221","1,415",54,409,272,261,"1,999",841,536,"1,584",889,"1,542",738
2021년04월_여_20~29세,"18,757","7,163","1,478",64,533,316,573,"2,134","1,303",491,"1,359",984,"1,459",900
2021년04월_여_30~39세,"23,537","10,593","3,120",77,450,232,501,"1,688","1,260",486,"1,454","1,073","1,514","1,089"
2021년04월_여_40~49세,"30,126","11,154","2,993",113,768,435,641,"3,284","1,622",821,"2,530","1,679","2,668","1,418"
2021년04월_여_50~59세,"29,054","8,640","2,370",279,"1,298",877,"1,141","3,187","2,320",726,"2,244","1,854","2,556","1,562"
2021년04월_여_60~69세,"22,624","5,749","2,179",459,"1,299",885,"1,165","1,908","1,461",603,"1,833","1,533","2,333","1,217"
2021년04월_여_70~79세,"11,728","2,436",948,311,793,461,544,"1,196",639,293,939,905,"1,593",670
2021년04월_여_80~89세,"5,929","1,200",422,206,414,323,271,513,360,165,420,510,771,354
2021년04월_여_90~99세,885,202,77,35,72,66,40,68,55,27,65,52,79,47
2021년04월_여_100세 이상,29,4,1,0,4,9,0,1,1,0,3,2,2,2
