카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년06월_계_총인구수,"31,554","9,288",505,"4,067","8,376","5,077","2,713","1,528"
2020년06월_계_연령구간인구수,"31,554","9,288",505,"4,067","8,376","5,077","2,713","1,528"
2020년06월_계_0~9세,"2,548",805,18,363,647,416,253,46
2020년06월_계_10~19세,"2,293",806,24,276,631,324,144,88
2020년06월_계_20~29세,"4,108","1,182",38,536,"1,088",586,552,126
2020년06월_계_30~39세,"3,876","1,188",30,580,916,666,412,84
2020년06월_계_40~49세,"3,993","1,329",61,423,"1,131",632,263,154
2020년06월_계_50~59세,"5,333","1,500",117,616,"1,513",908,347,332
2020년06월_계_60~69세,"4,955","1,312",109,688,"1,284",816,374,372
2020년06월_계_70~79세,"2,744",729,75,326,724,439,239,212
2020년06월_계_80~89세,"1,448",373,30,222,373,244,113,93
2020년06월_계_90~99세,242,57,3,37,65,44,16,20
2020년06월_계_100세 이상,14,7,0,0,4,2,0,1
2020년06월_남_총인구수,"17,052","4,901",272,"2,193","4,530","2,736","1,588",832
2020년06월_남_연령구간인구수,"17,052","4,901",272,"2,193","4,530","2,736","1,588",832
2020년06월_남_0~9세,"1,320",418,8,188,324,216,139,27
2020년06월_남_10~19세,"1,190",435,13,133,334,158,72,45
2020년06월_남_20~29세,"2,716",723,24,359,723,371,427,89
2020년06월_남_30~39세,"2,230",646,22,344,512,395,252,59
2020년06월_남_40~49세,"2,218",717,35,235,632,354,158,87
2020년06월_남_50~59세,"2,829",788,64,324,817,464,195,177
2020년06월_남_60~69세,"2,671",676,55,376,705,465,189,205
2020년06월_남_70~79세,"1,301",352,40,151,329,215,111,103
2020년06월_남_80~89세,504,130,10,71,133,87,41,32
2020년06월_남_90~99세,68,14,1,12,19,10,4,8
2020년06월_남_100세 이상,5,2,0,0,2,1,0,0
2020년06월_여_총인구수,"14,502","4,387",233,"1,874","3,846","2,341","1,125",696
2020년06월_여_연령구간인구수,"14,502","4,387",233,"1,874","3,846","2,341","1,125",696
2020년06월_여_0~9세,"1,228",387,10,175,323,200,114,19
2020년06월_여_10~19세,"1,103",371,11,143,297,166,72,43
2020년06월_여_20~29세,"1,392",459,14,177,365,215,125,37
2020년06월_여_30~39세,"1,646",542,8,236,404,271,160,25
2020년06월_여_40~49세,"1,775",612,26,188,499,278,105,67
2020년06월_여_50~59세,"2,504",712,53,292,696,444,152,155
2020년06월_여_60~69세,"2,284",636,54,312,579,351,185,167
2020년06월_여_70~79세,"1,443",377,35,175,395,224,128,109
2020년06월_여_80~89세,944,243,20,151,240,157,72,61
2020년06월_여_90~99세,174,43,2,25,46,34,12,12
2020년06월_여_100세 이상,9,5,0,0,2,1,0,1
