,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년03월_계_총인구수,"312,642","18,249","17,040","17,768","18,770","37,853","24,620","16,085","14,359","23,060","27,445","16,270","29,058","18,841","33,224"
2020년03월_계_연령구간인구수,"312,642","18,249","17,040","17,768","18,770","37,853","24,620","16,085","14,359","23,060","27,445","16,270","29,058","18,841","33,224"
2020년03월_계_0~9세,"20,674","1,335","1,489",779,814,"1,819","1,680",816,872,"1,455","1,429","2,239","2,608","1,530","1,809"
2020년03월_계_10~19세,"24,633","1,570","1,150","1,212",994,"2,672","1,986","1,201","1,147","1,897","2,322","1,450","2,422","1,997","2,613"
2020년03월_계_20~29세,"49,530","2,311","2,454","2,997","6,814","7,706","3,202","2,182","1,874","2,961","4,183","1,619","4,127","2,213","4,887"
2020년03월_계_30~39세,"45,358","2,500","3,040","2,553","3,176","5,877","3,552","2,009","1,938","2,931","3,605","2,655","4,468","2,568","4,486"
2020년03월_계_40~49세,"48,394","2,974","2,773","2,582","1,981","5,498","3,877","2,321","2,166","3,495","4,227","3,090","4,787","3,391","5,232"
2020년03월_계_50~59세,"49,654","3,039","2,811","3,029","2,007","5,533","4,112","2,764","2,610","4,056","4,646","2,191","4,289","3,006","5,561"
2020년03월_계_60~69세,"37,358","2,142","1,743","2,384","1,383","4,210","3,206","2,301","1,872","3,189","3,613","1,567","3,154","2,121","4,473"
2020년03월_계_70~79세,"24,350","1,481","1,038","1,400","1,013","2,967","1,998","1,593","1,254","1,994","2,228",971,"2,126","1,366","2,921"
2020년03월_계_80~89세,"10,818",763,443,668,476,"1,350",866,785,541,927,"1,022",420,906,558,"1,093"
2020년03월_계_90~99세,"1,591",104,72,128,87,192,128,93,80,136,149,53,149,81,139
2020년03월_계_100세 이상,282,30,27,36,25,29,13,20,5,19,21,15,22,10,10
2020년03월_남_총인구수,"150,051","8,693","8,148","8,587","8,395","18,313","11,578","7,840","6,831","11,175","13,333","7,870","14,009","9,130","16,149"
2020년03월_남_연령구간인구수,"150,051","8,693","8,148","8,587","8,395","18,313","11,578","7,840","6,831","11,175","13,333","7,870","14,009","9,130","16,149"
2020년03월_남_0~9세,"10,635",676,763,395,462,932,841,433,467,742,733,"1,135","1,301",817,938
2020년03월_남_10~19세,"12,287",763,567,606,419,"1,363",964,632,562,973,"1,173",686,"1,187","1,052","1,340"
2020년03월_남_20~29세,"23,997","1,149","1,109","1,474","2,701","3,957","1,601","1,080",948,"1,478","2,140",791,"2,044","1,057","2,468"
2020년03월_남_30~39세,"22,532","1,229","1,494","1,269","1,556","2,960","1,728","1,067",953,"1,486","1,895","1,197","2,176","1,212","2,310"
2020년03월_남_40~49세,"23,927","1,462","1,383","1,297",973,"2,641","1,865","1,172","1,039","1,715","2,087","1,636","2,407","1,700","2,550"
2020년03월_남_50~59세,"24,047","1,506","1,393","1,508",997,"2,626","1,874","1,376","1,254","2,010","2,201","1,085","2,096","1,449","2,672"
2020년03월_남_60~69세,"17,547","1,016",826,"1,131",624,"1,968","1,478","1,080",891,"1,532","1,668",714,"1,484","1,005","2,130"
2020년03월_남_70~79세,"10,404",587,428,609,438,"1,253",857,658,498,853,996,429,917,592,"1,289"
2020년03월_남_80~89세,"4,158",264,161,259,189,536,334,304,193,340,399,181,353,226,419
2020년03월_남_90~99세,442,33,21,28,28,69,35,29,23,41,38,12,39,18,28
2020년03월_남_100세 이상,75,8,3,11,8,8,1,9,3,5,3,4,5,2,5
2020년03월_여_총인구수,"162,591","9,556","8,892","9,181","10,375","19,540","13,042","8,245","7,528","11,885","14,112","8,400","15,049","9,711","17,075"
2020년03월_여_연령구간인구수,"162,591","9,556","8,892","9,181","10,375","19,540","13,042","8,245","7,528","11,885","14,112","8,400","15,049","9,711","17,075"
2020년03월_여_0~9세,"10,039",659,726,384,352,887,839,383,405,713,696,"1,104","1,307",713,871
2020년03월_여_10~19세,"12,346",807,583,606,575,"1,309","1,022",569,585,924,"1,149",764,"1,235",945,"1,273"
2020년03월_여_20~29세,"25,533","1,162","1,345","1,523","4,113","3,749","1,601","1,102",926,"1,483","2,043",828,"2,083","1,156","2,419"
2020년03월_여_30~39세,"22,826","1,271","1,546","1,284","1,620","2,917","1,824",942,985,"1,445","1,710","1,458","2,292","1,356","2,176"
2020년03월_여_40~49세,"24,467","1,512","1,390","1,285","1,008","2,857","2,012","1,149","1,127","1,780","2,140","1,454","2,380","1,691","2,682"
2020년03월_여_50~59세,"25,607","1,533","1,418","1,521","1,010","2,907","2,238","1,388","1,356","2,046","2,445","1,106","2,193","1,557","2,889"
2020년03월_여_60~69세,"19,811","1,126",917,"1,253",759,"2,242","1,728","1,221",981,"1,657","1,945",853,"1,670","1,116","2,343"
2020년03월_여_70~79세,"13,946",894,610,791,575,"1,714","1,141",935,756,"1,141","1,232",542,"1,209",774,"1,632"
2020년03월_여_80~89세,"6,660",499,282,409,287,814,532,481,348,587,623,239,553,332,674
2020년03월_여_90~99세,"1,149",71,51,100,59,123,93,64,57,95,111,41,110,63,111
2020년03월_여_100세 이상,207,22,24,25,17,21,12,11,2,14,18,11,17,8,5
