,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년06월_계_총인구수,"101,601","10,931","4,215","3,858","3,217","2,189","3,104","1,175","4,228","6,031","4,437","3,049","29,610","9,490","4,857","6,935","4,275"
2020년06월_계_연령구간인구수,"101,601","10,931","4,215","3,858","3,217","2,189","3,104","1,175","4,228","6,031","4,437","3,049","29,610","9,490","4,857","6,935","4,275"
2020년06월_계_0~9세,"5,818",401,101,108,72,68,70,17,132,271,77,85,"2,734",679,178,563,262
2020년06월_계_10~19세,"6,713",493,152,170,90,83,87,33,159,233,144,88,"2,998",918,283,573,209
2020년06월_계_20~29세,"10,285",965,334,239,184,109,186,69,267,"1,037",267,204,"3,560","1,241",502,701,420
2020년06월_계_30~39세,"9,495",807,298,229,184,97,162,51,238,473,255,194,"3,743","1,037",400,851,476
2020년06월_계_40~49세,"12,855","1,295",376,345,284,170,254,60,403,508,411,260,"4,884","1,455",565,"1,071",514
2020년06월_계_50~59세,"18,295","2,279",812,668,586,403,591,265,700,899,794,568,"5,223","1,670",913,"1,118",806
2020년06월_계_60~69세,"18,096","2,240",995,924,757,542,794,280,960,"1,108","1,071",815,"3,651","1,260",958,996,745
2020년06월_계_70~79세,"12,377","1,577",706,703,630,390,573,218,842,916,843,502,"1,773",799,680,709,516
2020년06월_계_80~89세,"6,868",795,385,426,385,291,341,160,468,528,511,296,947,386,342,325,282
2020년06월_계_90~99세,758,77,53,45,45,35,40,21,58,55,61,36,92,40,35,21,44
2020년06월_계_100세 이상,41,2,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년06월_남_총인구수,"51,636","5,735","2,182","1,894","1,672","1,079","1,570",590,"2,148","3,365","2,283","1,596","14,617","4,744","2,393","3,453","2,315"
2020년06월_남_연령구간인구수,"51,636","5,735","2,182","1,894","1,672","1,079","1,570",590,"2,148","3,365","2,283","1,596","14,617","4,744","2,393","3,453","2,315"
2020년06월_남_0~9세,"2,946",209,53,60,39,41,31,11,68,142,36,47,"1,370",343,88,273,135
2020년06월_남_10~19세,"3,611",286,84,84,56,45,52,15,88,126,78,43,"1,605",479,144,318,108
2020년06월_남_20~29세,"6,110",551,200,150,129,60,104,41,166,840,161,122,"1,990",677,270,385,264
2020년06월_남_30~39세,"5,194",454,185,130,107,55,97,27,128,272,158,121,"1,967",545,228,434,286
2020년06월_남_40~49세,"7,053",757,241,195,178,102,164,36,248,322,251,172,"2,401",773,326,567,320
2020년06월_남_50~59세,"9,741","1,322",430,368,350,220,336,143,393,469,453,337,"2,562",819,486,565,488
2020년06월_남_60~69세,"9,029","1,148",507,457,411,277,394,159,466,585,557,416,"1,714",638,450,481,369
2020년06월_남_70~79세,"5,494",715,338,300,271,180,269,94,394,413,400,231,725,330,294,298,242
2020년06월_남_80~89세,"2,254",271,130,140,120,94,112,59,175,180,176,98,257,133,98,117,94
2020년06월_남_90~99세,191,21,13,10,11,5,10,5,22,15,12,8,25,6,9,10,9
2020년06월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년06월_여_총인구수,"49,965","5,196","2,033","1,964","1,545","1,110","1,534",585,"2,080","2,666","2,154","1,453","14,993","4,746","2,464","3,482","1,960"
2020년06월_여_연령구간인구수,"49,965","5,196","2,033","1,964","1,545","1,110","1,534",585,"2,080","2,666","2,154","1,453","14,993","4,746","2,464","3,482","1,960"
2020년06월_여_0~9세,"2,872",192,48,48,33,27,39,6,64,129,41,38,"1,364",336,90,290,127
2020년06월_여_10~19세,"3,102",207,68,86,34,38,35,18,71,107,66,45,"1,393",439,139,255,101
2020년06월_여_20~29세,"4,175",414,134,89,55,49,82,28,101,197,106,82,"1,570",564,232,316,156
2020년06월_여_30~39세,"4,301",353,113,99,77,42,65,24,110,201,97,73,"1,776",492,172,417,190
2020년06월_여_40~49세,"5,802",538,135,150,106,68,90,24,155,186,160,88,"2,483",682,239,504,194
2020년06월_여_50~59세,"8,554",957,382,300,236,183,255,122,307,430,341,231,"2,661",851,427,553,318
2020년06월_여_60~69세,"9,067","1,092",488,467,346,265,400,121,494,523,514,399,"1,937",622,508,515,376
2020년06월_여_70~79세,"6,883",862,368,403,359,210,304,124,448,503,443,271,"1,048",469,386,411,274
2020년06월_여_80~89세,"4,614",524,255,286,265,197,229,101,293,348,335,198,690,253,244,208,188
2020년06월_여_90~99세,567,56,40,35,34,30,30,16,36,40,49,28,67,34,26,11,35
2020년06월_여_100세 이상,28,1,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
