카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년10월_계_총인구수,"27,014","6,818","6,057","2,295","3,518","8,326",0
2021년10월_계_연령구간인구수,"27,014","6,818","6,057","2,295","3,518","8,326",0
2021년10월_계_0~9세,"1,301",532,179,53,109,428,0
2021년10월_계_10~19세,"1,586",525,330,92,173,466,0
2021년10월_계_20~29세,"2,646",857,471,120,316,882,0
2021년10월_계_30~39세,"2,302",765,327,134,271,805,0
2021년10월_계_40~49세,"3,056",831,581,195,344,"1,105",0
2021년10월_계_50~59세,"4,788","1,104","1,102",400,625,"1,557",0
2021년10월_계_60~69세,"5,615","1,094","1,413",626,826,"1,656",0
2021년10월_계_70~79세,"3,430",646,967,415,503,899,0
2021년10월_계_80~89세,"1,950",394,575,219,305,457,0
2021년10월_계_90~99세,328,67,111,40,43,67,0
2021년10월_계_100세 이상,12,3,1,1,3,4,0
2021년10월_남_총인구수,"13,895","3,577","3,020","1,121","1,811","4,366",0
2021년10월_남_연령구간인구수,"13,895","3,577","3,020","1,121","1,811","4,366",0
2021년10월_남_0~9세,663,276,93,24,53,217,0
2021년10월_남_10~19세,852,285,167,55,90,255,0
2021년10월_남_20~29세,"1,695",546,314,72,191,572,0
2021년10월_남_30~39세,"1,310",429,181,76,170,454,0
2021년10월_남_40~49세,"1,670",438,315,129,200,588,0
2021년10월_남_50~59세,"2,590",600,627,204,327,832,0
2021년10월_남_60~69세,"2,871",558,698,324,428,863,0
2021년10월_남_70~79세,"1,487",294,399,165,228,401,0
2021년10월_남_80~89세,676,130,204,64,111,167,0
2021년10월_남_90~99세,78,20,22,8,13,15,0
2021년10월_남_100세 이상,3,1,0,0,0,2,0
2021년10월_여_총인구수,"13,119","3,241","3,037","1,174","1,707","3,960",0
2021년10월_여_연령구간인구수,"13,119","3,241","3,037","1,174","1,707","3,960",0
2021년10월_여_0~9세,638,256,86,29,56,211,0
2021년10월_여_10~19세,734,240,163,37,83,211,0
2021년10월_여_20~29세,951,311,157,48,125,310,0
2021년10월_여_30~39세,992,336,146,58,101,351,0
2021년10월_여_40~49세,"1,386",393,266,66,144,517,0
2021년10월_여_50~59세,"2,198",504,475,196,298,725,0
2021년10월_여_60~69세,"2,744",536,715,302,398,793,0
2021년10월_여_70~79세,"1,943",352,568,250,275,498,0
2021년10월_여_80~89세,"1,274",264,371,155,194,290,0
2021년10월_여_90~99세,250,47,89,32,30,52,0
2021년10월_여_100세 이상,9,2,1,1,3,2,0
