카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년11월_계_총인구수,"3,316,365","1,033,281","218,131","251,982","181,226","187,245","194,697","347,380","125,595","110,044","538,286","103,636","241,576","354,071","26,330","62,663","60,147","50,558","42,309","43,530","34,394","38,415","61,143","43,007"
2021년11월_계_연령구간인구수,"3,316,365","1,033,281","218,131","251,982","181,226","187,245","194,697","347,380","125,595","110,044","538,286","103,636","241,576","354,071","26,330","62,663","60,147","50,558","42,309","43,530","34,394","38,415","61,143","43,007"
2021년11월_계_0~9세,"252,126","79,371","17,179","18,407","13,226","12,260","18,299","26,914","8,639","7,703","46,116","5,283","24,333","32,943",999,"3,619","2,890","2,298","1,507","1,646","1,188","1,712","3,512","1,453"
2021년11월_계_10~19세,"319,712","98,128","19,353","25,726","14,262","17,602","21,185","34,705","12,668","10,118","60,186","7,501","27,944","34,560","1,458","5,778","4,029","4,112","2,858","2,692","2,011","2,811","5,850","2,303"
2021년11월_계_20~29세,"364,578","126,044","28,038","37,004","18,931","21,223","20,848","44,776","10,557","10,354","66,967","8,668","22,947","39,452","1,832","5,086","4,473","3,672","3,042","3,033","2,264","2,911","5,698","2,802"
2021년11월_계_30~39세,"381,635","130,293","28,353","34,452","21,317","20,406","25,765","40,835","12,431","11,169","66,599","8,456","33,189","47,395","1,630","5,064","4,720","3,458","2,310","2,548","1,944","2,442","4,795","2,357"
2021년11월_계_40~49세,"527,310","166,246","33,876","40,522","26,778","29,319","35,751","53,256","20,826","17,377","96,128","12,625","47,194","61,350","2,693","8,890","6,862","6,038","4,360","4,568","3,307","4,141","7,452","3,997"
2021년11월_계_50~59세,"579,473","184,804","41,135","51,125","29,478","33,734","29,332","57,259","21,990","18,310","98,650","18,262","39,942","59,405","4,486","11,017","10,595","8,967","7,118","8,063","6,311","6,739","10,322","7,233"
2021년11월_계_60~69세,"492,612","151,057","31,926","31,447","31,665","31,045","24,974","48,739","21,427","17,294","62,909","21,900","28,693","46,348","5,786","11,702","12,735","10,170","8,612","9,347","7,777","7,728","10,786","9,602"
2021년11월_계_70~79세,"249,261","65,670","12,232","9,019","17,003","15,223","12,193","25,825","11,323","10,767","27,092","12,836","11,297","21,922","3,814","6,628","7,969","6,746","6,623","6,312","5,167","5,369","6,902","6,999"
2021년11월_계_80~89세,"130,753","27,904","5,288","3,699","7,486","5,796","5,635","13,153","5,053","6,051","12,120","7,151","5,178","9,482","3,126","4,254","5,161","4,387","4,950","4,507","3,819","3,930","5,012","5,515"
2021년11월_계_90~99세,"18,480","3,694",730,570,"1,064",626,704,"1,861",668,877,"1,489",928,834,"1,186",500,613,698,694,914,799,591,620,789,725
2021년11월_계_100세 이상,425,70,21,11,16,11,11,57,13,24,30,26,25,28,6,12,15,16,15,15,15,12,25,21
2021년11월_남_총인구수,"1,669,512","523,465","111,038","128,576","90,123","93,813","99,915","171,710","63,042","55,498","272,256","50,910","126,496","177,478","12,979","31,882","29,942","25,327","20,471","21,732","16,923","18,592","29,992","20,817"
2021년11월_남_연령구간인구수,"1,669,512","523,465","111,038","128,576","90,123","93,813","99,915","171,710","63,042","55,498","272,256","50,910","126,496","177,478","12,979","31,882","29,942","25,327","20,471","21,732","16,923","18,592","29,992","20,817"
