카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년09월_계_총인구수,"25,080","5,210","1,864","2,501","2,091","2,521","2,608","1,790","6,495"
2020년09월_계_연령구간인구수,"25,080","5,210","1,864","2,501","2,091","2,521","2,608","1,790","6,495"
2020년09월_계_0~9세,982,291,50,67,76,59,75,48,316
2020년09월_계_10~19세,"1,238",358,58,90,101,102,95,52,382
2020년09월_계_20~29세,"1,718",471,93,136,135,125,119,96,543
2020년09월_계_30~39세,"1,722",480,128,113,108,124,114,103,552
2020년09월_계_40~49세,"2,404",620,149,157,204,197,202,132,743
2020년09월_계_50~59세,"4,757","1,016",368,502,411,481,488,289,"1,202"
2020년09월_계_60~69세,"5,441",899,464,641,437,680,625,438,"1,257"
2020년09월_계_70~79세,"4,056",628,338,478,353,453,524,339,943
2020년09월_계_80~89세,"2,441",389,196,283,236,265,316,249,507
2020년09월_계_90~99세,300,49,20,32,28,34,48,42,47
2020년09월_계_100세 이상,21,9,0,2,2,1,2,2,3
2020년09월_남_총인구수,"12,523","2,602",924,"1,228","1,048","1,248","1,243",888,"3,342"
2020년09월_남_연령구간인구수,"12,523","2,602",924,"1,228","1,048","1,248","1,243",888,"3,342"
2020년09월_남_0~9세,506,160,24,34,39,34,37,22,156
2020년09월_남_10~19세,659,178,37,54,52,56,54,21,207
2020년09월_남_20~29세,"1,035",279,53,76,85,65,72,60,345
2020년09월_남_30~39세,"1,015",263,83,67,65,74,64,71,328
2020년09월_남_40~49세,"1,394",341,98,84,122,116,114,79,440
2020년09월_남_50~59세,"2,506",534,182,267,220,245,248,160,650
2020년09월_남_60~69세,"2,713",441,242,309,219,336,315,240,611
2020년09월_남_70~79세,"1,767",264,146,213,151,207,218,153,415
2020년09월_남_80~89세,861,133,56,117,87,108,110,73,177
2020년09월_남_90~99세,62,7,3,6,8,7,11,8,12
2020년09월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년09월_여_총인구수,"12,557","2,608",940,"1,273","1,043","1,273","1,365",902,"3,153"
2020년09월_여_연령구간인구수,"12,557","2,608",940,"1,273","1,043","1,273","1,365",902,"3,153"
2020년09월_여_0~9세,476,131,26,33,37,25,38,26,160
2020년09월_여_10~19세,579,180,21,36,49,46,41,31,175
2020년09월_여_20~29세,683,192,40,60,50,60,47,36,198
2020년09월_여_30~39세,707,217,45,46,43,50,50,32,224
2020년09월_여_40~49세,"1,010",279,51,73,82,81,88,53,303
2020년09월_여_50~59세,"2,251",482,186,235,191,236,240,129,552
2020년09월_여_60~69세,"2,728",458,222,332,218,344,310,198,646
2020년09월_여_70~79세,"2,289",364,192,265,202,246,306,186,528
2020년09월_여_80~89세,"1,580",256,140,166,149,157,206,176,330
2020년09월_여_90~99세,238,42,17,26,20,27,37,34,35
2020년09월_여_100세 이상,16,7,0,1,2,1,2,1,2
