,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년11월_계_총인구수,"1,079,722","482,459","14,540","23,618","48,488","21,834","11,306","15,067","24,853","23,291","29,808","36,568","15,427","37,450","32,740","18,715","21,535","31,818","45,217","27,731","2,453","299,297","37,211","46,646","23,347","38,797","30,381","20,814","24,019","16,300","11,473","27,113","23,196","297,966","27,017","18,341","35,238","51,417","27,840","28,842","36,213","21,553","51,505"
2021년11월_계_연령구간인구수,"1,079,722","482,459","14,540","23,618","48,488","21,834","11,306","15,067","24,853","23,291","29,808","36,568","15,427","37,450","32,740","18,715","21,535","31,818","45,217","27,731","2,453","299,297","37,211","46,646","23,347","38,797","30,381","20,814","24,019","16,300","11,473","27,113","23,196","297,966","27,017","18,341","35,238","51,417","27,840","28,842","36,213","21,553","51,505"
2021년11월_계_0~9세,"78,294","37,275",509,"2,876","5,275","1,246",572,"2,066","2,519","2,719","1,991","1,980",833,"1,827","2,348",664,"1,227","2,166","2,452","3,927",78,"19,926","3,551","3,228","1,235","2,993","1,895",865,"1,341","1,138","1,375",997,"1,308","21,093","1,777",837,"2,456","4,351","1,700","1,910","2,186","1,600","4,276"
2021년11월_계_10~19세,"102,560","41,194","1,068","2,119","4,388","1,783","1,002","1,073","1,648","1,695","3,079","2,745","1,163","3,508","3,590","1,142","1,937","2,644","4,622","1,867",121,"28,788","4,887","4,242","2,040","4,357","2,629","1,248","3,198","2,194",949,"1,542","1,502","32,578","2,594","1,423","5,651","5,358","3,100","3,114","2,929","2,216","6,193"
2021년11월_계_20~29세,"146,931","61,959","2,006","2,157","5,499","2,957","1,435","1,710","2,768","2,464","3,536","4,238","2,103","5,999","4,549","2,800","2,953","4,741","6,737","2,870",437,"43,881","4,998","6,662","3,749","5,311","4,709","3,400","3,655","2,165","1,329","5,034","2,869","41,091","3,823","2,605","4,508","7,147","3,696","3,666","6,139","2,902","6,605"
2021년11월_계_30~39세,"142,630","68,801","1,543","3,745","8,138","2,599","1,288","3,033","4,685","5,388","3,047","3,935","1,762","4,351","4,186","2,291","2,668","4,918","5,079","5,883",262,"38,286","4,084","5,349","2,948","4,584","4,502","3,366","2,256","1,531","1,817","4,882","2,967","35,543","3,126","1,895","3,439","6,880","3,257","3,310","5,302","2,803","5,531"
2021년11월_계_40~49세,"177,719","78,314","1,934","4,403","9,187","3,310","1,655","2,599","4,225","4,115","5,007","5,566","2,182","5,478","5,858","2,511","3,322","4,691","6,972","5,012",287,"49,699","7,204","7,048","3,441","6,601","4,811","3,556","3,944","2,844","2,135","4,683","3,432","49,706","4,083","2,438","6,852","8,818","4,468","4,610","5,451","3,574","9,412"
2021년11월_계_50~59세,"196,940","83,968","3,127","3,294","6,849","4,259","2,057","1,914","3,630","2,948","5,224","7,012","3,108","7,454","5,870","3,888","4,203","5,892","9,269","3,523",447,"56,523","6,770","9,157","4,453","6,959","5,797","3,926","4,782","3,120","1,963","5,005","4,591","56,449","5,190","4,083","6,604","9,725","5,072","5,134","6,814","4,079","9,748"
2021년11월_계_60~69세,"132,610","62,283","2,499","3,025","5,246","3,140","1,728","1,558","3,054","2,350","4,225","6,238","2,475","4,573","3,373","3,140","2,987","3,762","5,669","2,786",455,"35,889","3,464","6,214","3,153","4,642","3,637","2,493","2,826","1,707","1,244","2,755","3,754","34,438","3,556","2,993","3,363","5,106","3,329","3,456","4,361","2,544","5,730"
2021년11월_계_70~79세,"61,460","30,346","1,157","1,368","2,623","1,573",909,719,"1,541","1,070","2,414","3,119","1,127","2,456","1,688","1,386","1,362","1,799","2,591","1,203",241,"15,439","1,380","2,723","1,432","2,029","1,469","1,146","1,146",799,443,"1,218","1,654","15,675","1,745","1,232","1,348","2,313","1,664","1,943","1,840","1,101","2,489"
