카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년03월_계_총인구수,"41,370","2,506","2,832","6,453","10,788","4,701","1,058",997,"4,737","7,298"
2021년03월_계_연령구간인구수,"41,370","2,506","2,832","6,453","10,788","4,701","1,058",997,"4,737","7,298"
2021년03월_계_0~9세,"1,276",35,71,193,388,102,21,15,177,274
2021년03월_계_10~19세,"2,017",71,104,383,573,206,34,30,203,413
2021년03월_계_20~29세,"5,703",677,296,934,"1,527",552,112,66,772,767
2021년03월_계_30~39세,"4,483",430,233,666,"1,140",487,112,86,671,658
2021년03월_계_40~49세,"5,353",295,350,913,"1,443",545,117,99,664,927
2021년03월_계_50~59세,"6,964",345,520,"1,066","1,821",805,191,206,704,"1,306"
2021년03월_계_60~69세,"7,938",371,575,"1,153","2,010","1,029",250,291,779,"1,480"
2021년03월_계_70~79세,"5,106",187,446,783,"1,260",637,137,150,496,"1,010"
2021년03월_계_80~89세,"2,146",79,191,286,550,281,65,46,236,412
2021년03월_계_90~99세,364,15,45,73,73,52,15,7,34,50
2021년03월_계_100세 이상,20,1,1,3,3,5,4,1,1,1
2021년03월_남_총인구수,"20,169","1,207","1,438","3,022","5,234","2,215",531,560,"2,427","3,535"
2021년03월_남_연령구간인구수,"20,169","1,207","1,438","3,022","5,234","2,215",531,560,"2,427","3,535"
2021년03월_남_0~9세,661,19,33,101,192,61,13,9,96,137
2021년03월_남_10~19세,"1,001",39,48,181,285,106,16,14,102,210
2021년03월_남_20~29세,"2,814",268,159,453,766,261,62,36,394,415
2021년03월_남_30~39세,"2,420",217,134,338,596,271,61,51,391,361
2021년03월_남_40~49세,"2,933",161,206,482,785,289,59,62,390,499
2021년03월_남_50~59세,"3,503",187,271,495,910,393,99,136,370,642
2021년03월_남_60~69세,"3,733",188,282,542,931,446,131,163,372,678
2021년03월_남_70~79세,"2,217",99,212,312,531,284,60,73,223,423
2021년03월_남_80~89세,786,29,79,104,215,91,23,12,79,154
2021년03월_남_90~99세,97,0,14,13,22,13,5,4,10,16
2021년03월_남_100세 이상,4,0,0,1,1,0,2,0,0,0
2021년03월_여_총인구수,"21,201","1,299","1,394","3,431","5,554","2,486",527,437,"2,310","3,763"
2021년03월_여_연령구간인구수,"21,201","1,299","1,394","3,431","5,554","2,486",527,437,"2,310","3,763"
2021년03월_여_0~9세,615,16,38,92,196,41,8,6,81,137
2021년03월_여_10~19세,"1,016",32,56,202,288,100,18,16,101,203
2021년03월_여_20~29세,"2,889",409,137,481,761,291,50,30,378,352
2021년03월_여_30~39세,"2,063",213,99,328,544,216,51,35,280,297
2021년03월_여_40~49세,"2,420",134,144,431,658,256,58,37,274,428
2021년03월_여_50~59세,"3,461",158,249,571,911,412,92,70,334,664
2021년03월_여_60~69세,"4,205",183,293,611,"1,079",583,119,128,407,802
2021년03월_여_70~79세,"2,889",88,234,471,729,353,77,77,273,587
2021년03월_여_80~89세,"1,360",50,112,182,335,190,42,34,157,258
2021년03월_여_90~99세,267,15,31,60,51,39,10,3,24,34
2021년03월_여_100세 이상,16,1,1,2,2,5,2,1,1,1
