,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년02월_계_총인구수,"23,990","9,455","2,230","4,051","2,592","4,254","1,408"
2021년02월_계_연령구간인구수,"23,990","9,455","2,230","4,051","2,592","4,254","1,408"
2021년02월_계_0~9세,"1,177",723,55,178,63,126,32
2021년02월_계_10~19세,"1,826",993,114,295,115,252,57
2021년02월_계_20~29세,"1,744",865,112,319,145,243,60
2021년02월_계_30~39세,"1,698",883,138,252,119,239,67
2021년02월_계_40~49세,"2,855","1,453",187,503,230,377,105
2021년02월_계_50~59세,"4,159","1,475",436,791,445,767,245
2021년02월_계_60~69세,"4,458","1,310",522,771,562,934,359
2021년02월_계_70~79세,"3,362",992,365,537,484,707,277
2021년02월_계_80~89세,"2,352",638,263,362,381,532,176
2021년02월_계_90~99세,336,114,38,41,45,69,29
2021년02월_계_100세 이상,23,9,0,2,3,8,1
2021년02월_남_총인구수,"11,968","4,720","1,112","2,043","1,277","2,112",704
2021년02월_남_연령구간인구수,"11,968","4,720","1,112","2,043","1,277","2,112",704
2021년02월_남_0~9세,630,386,31,102,29,68,14
2021년02월_남_10~19세,933,501,67,161,55,121,28
2021년02월_남_20~29세,977,473,64,172,86,144,38
2021년02월_남_30~39세,931,453,78,149,71,141,39
2021년02월_남_40~49세,"1,590",764,111,278,136,234,67
2021년02월_남_50~59세,"2,296",822,228,439,250,421,136
2021년02월_남_60~69세,"2,306",645,272,397,306,489,197
2021년02월_남_70~79세,"1,407",426,166,209,195,293,118
2021년02월_남_80~89세,815,227,85,127,133,184,59
2021년02월_남_90~99세,78,22,10,9,15,14,8
2021년02월_남_100세 이상,5,1,0,0,1,3,0
2021년02월_여_총인구수,"12,022","4,735","1,118","2,008","1,315","2,142",704
2021년02월_여_연령구간인구수,"12,022","4,735","1,118","2,008","1,315","2,142",704
2021년02월_여_0~9세,547,337,24,76,34,58,18
2021년02월_여_10~19세,893,492,47,134,60,131,29
2021년02월_여_20~29세,767,392,48,147,59,99,22
2021년02월_여_30~39세,767,430,60,103,48,98,28
2021년02월_여_40~49세,"1,265",689,76,225,94,143,38
2021년02월_여_50~59세,"1,863",653,208,352,195,346,109
2021년02월_여_60~69세,"2,152",665,250,374,256,445,162
2021년02월_여_70~79세,"1,955",566,199,328,289,414,159
2021년02월_여_80~89세,"1,537",411,178,235,248,348,117
2021년02월_여_90~99세,258,92,28,32,30,55,21
2021년02월_여_100세 이상,18,8,0,2,2,5,1
