카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년04월_계_총인구수,"455,262","48,510","13,154","10,999","30,243","9,311","13,526","11,569","3,927","7,579",0,578,0,159,0,"22,655","33,743","27,485","41,057","45,277","62,153","73,337"
2020년04월_계_연령구간인구수,"455,262","48,510","13,154","10,999","30,243","9,311","13,526","11,569","3,927","7,579",0,578,0,159,0,"22,655","33,743","27,485","41,057","45,277","62,153","73,337"
2020년04월_계_0~9세,"44,712","5,222",549,375,"1,879",198,739,519,106,591,0,21,0,5,0,"1,252","3,652","2,456","4,062","5,349","9,235","8,502"
2020년04월_계_10~19세,"48,379","4,745",799,808,"2,841",290,"1,039",682,199,542,0,40,0,12,0,"1,567","4,336","2,814","5,550","5,881","7,435","8,799"
2020년04월_계_20~29세,"55,550","5,732","1,465","1,342","3,843","2,266","1,522","1,279",420,951,0,60,0,4,0,"3,512","4,288","3,817","4,433","5,089","6,676","8,851"
2020년04월_계_30~39세,"66,859","7,952","1,353",938,"3,142","2,249","1,528","1,092",262,863,0,51,0,9,0,"2,942","4,827","3,848","5,266","6,755","12,134","11,648"
2020년04월_계_40~49세,"79,157","7,454","1,737","1,328","4,556",938,"2,214","1,375",378,864,0,75,0,16,0,"3,414","6,281","4,387","8,354","8,945","12,196","14,645"
2020년04월_계_50~59세,"70,386","6,913","2,534","2,249","5,934","1,340","2,586","2,396",785,"1,244",0,103,0,28,0,"4,254","5,081","4,592","6,397","6,572","7,035","10,343"
2020년04월_계_60~69세,"46,363","4,972","2,232","1,919","4,274","1,101","1,948","2,151",763,"1,177",0,94,0,32,0,"2,981","2,634","2,946","3,724","3,703","3,995","5,717"
2020년04월_계_70~79세,"28,253","3,504","1,479","1,286","2,436",546,"1,171","1,250",588,917,0,90,0,35,0,"1,802","1,726","1,704","2,104","1,994","2,355","3,266"
2020년04월_계_80~89세,"13,455","1,740",838,643,"1,156",336,657,681,357,363,0,42,0,16,0,809,797,816,996,857,958,"1,393"
2020년04월_계_90~99세,"1,958",249,126,98,169,44,114,130,59,65,0,2,0,2,0,106,110,102,159,123,132,168
2020년04월_계_100세 이상,190,27,42,13,13,3,8,14,10,2,0,0,0,0,0,16,11,3,12,9,2,5
2020년04월_남_총인구수,"231,142","24,723","7,013","5,839","15,374","5,917","7,323","6,275","2,046","4,061",0,297,0,86,0,"11,960","16,560","14,123","20,877","22,238","30,391","36,039"
2020년04월_남_연령구간인구수,"231,142","24,723","7,013","5,839","15,374","5,917","7,323","6,275","2,046","4,061",0,297,0,86,0,"11,960","16,560","14,123","20,877","22,238","30,391","36,039"
2020년04월_남_0~9세,"22,777","2,612",295,190,944,94,395,262,61,300,0,10,0,1,0,653,"1,885","1,218","2,062","2,734","4,662","4,399"
2020년04월_남_10~19세,"25,017","2,469",427,459,"1,418",164,537,369,103,310,0,15,0,4,0,840,"2,234","1,485","2,911","2,964","3,763","4,545"
2020년04월_남_20~29세,"29,211","3,066",882,799,"2,105","1,336",856,780,271,593,0,33,0,4,0,"1,939","2,151","2,062","2,429","2,467","3,083","4,355"
2020년04월_남_30~39세,"35,669","4,443",797,540,"1,716","1,855",913,663,144,488,0,27,0,5,0,"1,723","2,458","2,096","2,616","3,314","6,133","5,738"
2020년04월_남_40~49세,"40,697","3,952","1,032",750,"2,335",652,"1,258",798,224,497,0,52,0,5,0,"1,851","3,023","2,282","4,194","4,424","6,116","7,252"
2020년04월_남_50~59세,"36,879","3,557","1,436","1,240","3,106",819,"1,500","1,333",435,672,0,54,0,19,0,"2,378","2,583","2,385","3,449","3,303","3,473","5,137"
2020년04월_남_60~69세,"22,969","2,387","1,163","1,019","2,176",603,"1,028","1,189",384,628,0,49,0,16,0,"1,472","1,212","1,475","1,897","1,796","1,815","2,660"
2020년04월_남_70~79세,"12,436","1,510",639,591,"1,084",278,555,630,271,418,0,38,0,22,0,795,698,772,937,877,942,"1,379"
2020년04월_남_80~89세,"4,948",636,298,221,441,109,255,217,136,140,0,18,0,8,0,282,287,317,351,330,369,533
2020년04월_남_90~99세,481,78,33,26,44,7,26,30,11,15,0,1,0,2,0,21,27,29,30,27,34,40
2020년04월_남_100세 이상,58,13,11,4,5,0,0,4,6,0,0,0,0,0,0,6,2,2,1,2,1,1
2020년04월_여_총인구수,"224,120","23,787","6,141","5,160","14,869","3,394","6,203","5,294","1,881","3,518",0,281,0,73,0,"10,695","17,183","13,362","20,180","23,039","31,762","37,298"
2020년04월_여_연령구간인구수,"224,120","23,787","6,141","5,160","14,869","3,394","6,203","5,294","1,881","3,518",0,281,0,73,0,"10,695","17,183","13,362","20,180","23,039","31,762","37,298"
2020년04월_여_0~9세,"21,935","2,610",254,185,935,104,344,257,45,291,0,11,0,4,0,599,"1,767","1,238","2,000","2,615","4,573","4,103"
2020년04월_여_10~19세,"23,362","2,276",372,349,"1,423",126,502,313,96,232,0,25,0,8,0,727,"2,102","1,329","2,639","2,917","3,672","4,254"
2020년04월_여_20~29세,"26,339","2,666",583,543,"1,738",930,666,499,149,358,0,27,0,0,0,"1,573","2,137","1,755","2,004","2,622","3,593","4,496"
2020년04월_여_30~39세,"31,190","3,509",556,398,"1,426",394,615,429,118,375,0,24,0,4,0,"1,219","2,369","1,752","2,650","3,441","6,001","5,910"
2020년04월_여_40~49세,"38,460","3,502",705,578,"2,221",286,956,577,154,367,0,23,0,11,0,"1,563","3,258","2,105","4,160","4,521","6,080","7,393"
2020년04월_여_50~59세,"33,507","3,356","1,098","1,009","2,828",521,"1,086","1,063",350,572,0,49,0,9,0,"1,876","2,498","2,207","2,948","3,269","3,562","5,206"
2020년04월_여_60~69세,"23,394","2,585","1,069",900,"2,098",498,920,962,379,549,0,45,0,16,0,"1,509","1,422","1,471","1,827","1,907","2,180","3,057"
2020년04월_여_70~79세,"15,817","1,994",840,695,"1,352",268,616,620,317,499,0,52,0,13,0,"1,007","1,028",932,"1,167","1,117","1,413","1,887"
2020년04월_여_80~89세,"8,507","1,104",540,422,715,227,402,464,221,223,0,24,0,8,0,527,510,499,645,527,589,860
2020년04월_여_90~99세,"1,477",171,93,72,125,37,88,100,48,50,0,1,0,0,0,85,83,73,129,96,98,128
2020년04월_여_100세 이상,132,14,31,9,8,3,8,10,4,2,0,0,0,0,0,10,9,1,11,7,1,4
