,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년10월_계_총인구수,"205,607","29,317","12,300","10,039","10,481","16,318","20,922","7,176","16,252","16,552","16,727","14,204","35,319"
2021년10월_계_연령구간인구수,"205,607","29,317","12,300","10,039","10,481","16,318","20,922","7,176","16,252","16,552","16,727","14,204","35,319"
2021년10월_계_0~9세,"13,844","2,384",994,462,660,"1,210","1,974",208,643,740,"1,024","1,195","2,350"
2021년10월_계_10~19세,"16,178","3,560","1,567",673,983,"1,233","1,288",366,884,651,981,"1,123","2,869"
2021년10월_계_20~29세,"24,903","3,195","1,282","1,104","1,203","1,750","2,373",759,"2,297","3,386","1,798","1,522","4,234"
2021년10월_계_30~39세,"25,973","2,886","1,197","1,085","1,068","2,106","3,529",697,"1,944","3,135","2,261","1,804","4,261"
2021년10월_계_40~49세,"31,240","5,421","2,283","1,268","1,603","2,483","3,152",888,"2,172","2,299","2,243","2,216","5,212"
2021년10월_계_50~59세,"33,368","4,803","1,971","1,619","1,799","2,590","3,107","1,243","2,660","2,394","2,580","2,369","6,233"
2021년10월_계_60~69세,"33,376","3,730","1,673","1,856","1,815","2,863","2,966","1,580","3,179","2,221","3,035","2,349","6,109"
2021년10월_계_70~79세,"18,420","2,301",915,"1,255",914,"1,487","1,723","1,022","1,730","1,213","1,884","1,186","2,790"
2021년10월_계_80~89세,"7,404",925,377,636,376,541,704,377,659,481,832,394,"1,102"
2021년10월_계_90~99세,875,106,40,81,59,52,103,35,83,30,86,46,154
2021년10월_계_100세 이상,26,6,1,0,1,3,3,1,1,2,3,0,5
2021년10월_남_총인구수,"98,989","14,185","5,867","4,744","5,142","7,955","10,059","3,432","7,816","7,923","8,070","6,917","16,879"
2021년10월_남_연령구간인구수,"98,989","14,185","5,867","4,744","5,142","7,955","10,059","3,432","7,816","7,923","8,070","6,917","16,879"
2021년10월_남_0~9세,"6,972","1,242",456,247,340,620,997,113,313,361,504,607,"1,172"
2021년10월_남_10~19세,"8,317","1,871",747,358,534,668,631,181,440,357,516,562,"1,452"
2021년10월_남_20~29세,"12,650","1,701",666,529,652,934,"1,220",402,"1,088","1,410",988,808,"2,252"
2021년10월_남_30~39세,"13,053","1,364",575,554,570,"1,060","1,715",381,"1,020","1,598","1,159",888,"2,169"
2021년10월_남_40~49세,"15,369","2,505","1,075",637,765,"1,232","1,570",445,"1,111","1,203","1,201","1,119","2,506"
2021년10월_남_50~59세,"15,832","2,360",982,764,845,"1,205","1,466",589,"1,307","1,179","1,221","1,139","2,775"
2021년10월_남_60~69세,"15,295","1,690",789,833,850,"1,319","1,350",719,"1,438","1,046","1,344","1,097","2,820"
2021년10월_남_70~79세,"8,412","1,020",423,553,437,681,817,454,808,557,804,550,"1,308"
2021년10월_남_80~89세,"2,885",404,145,244,136,217,266,140,267,208,316,140,402
2021년10월_남_90~99세,198,26,8,25,12,18,27,8,24,4,17,7,22
2021년10월_남_100세 이상,6,2,1,0,1,1,0,0,0,0,0,0,1
2021년10월_여_총인구수,"106,618","15,132","6,433","5,295","5,339","8,363","10,863","3,744","8,436","8,629","8,657","7,287","18,440"
2021년10월_여_연령구간인구수,"106,618","15,132","6,433","5,295","5,339","8,363","10,863","3,744","8,436","8,629","8,657","7,287","18,440"
2021년10월_여_0~9세,"6,872","1,142",538,215,320,590,977,95,330,379,520,588,"1,178"
2021년10월_여_10~19세,"7,861","1,689",820,315,449,565,657,185,444,294,465,561,"1,417"
2021년10월_여_20~29세,"12,253","1,494",616,575,551,816,"1,153",357,"1,209","1,976",810,714,"1,982"
2021년10월_여_30~39세,"12,920","1,522",622,531,498,"1,046","1,814",316,924,"1,537","1,102",916,"2,092"
2021년10월_여_40~49세,"15,871","2,916","1,208",631,838,"1,251","1,582",443,"1,061","1,096","1,042","1,097","2,706"
2021년10월_여_50~59세,"17,536","2,443",989,855,954,"1,385","1,641",654,"1,353","1,215","1,359","1,230","3,458"
2021년10월_여_60~69세,"18,081","2,040",884,"1,023",965,"1,544","1,616",861,"1,741","1,175","1,691","1,252","3,289"
2021년10월_여_70~79세,"10,008","1,281",492,702,477,806,906,568,922,656,"1,080",636,"1,482"
2021년10월_여_80~89세,"4,519",521,232,392,240,324,438,237,392,273,516,254,700
2021년10월_여_90~99세,677,80,32,56,47,34,76,27,59,26,69,39,132
2021년10월_여_100세 이상,20,4,0,0,0,2,3,1,1,2,3,0,4
