,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년05월_계_총인구수,"354,768","17,659","8,468","3,687","28,438","2,261","2,177","8,627","7,269","3,538","2,663","5,059","12,738","8,525","15,515","44,364","8,583","4,713","28,990","13,507","10,067","24,736","8,059","7,786","32,906","44,433"
2021년05월_계_연령구간인구수,"354,768","17,659","8,468","3,687","28,438","2,261","2,177","8,627","7,269","3,538","2,663","5,059","12,738","8,525","15,515","44,364","8,583","4,713","28,990","13,507","10,067","24,736","8,059","7,786","32,906","44,433"
2021년05월_계_0~9세,"27,843","1,114",333,114,"4,718",41,41,408,400,60,50,198,639,400,712,"3,355",395,160,"2,091",990,759,"1,712",264,500,"3,120","5,269"
2021년05월_계_10~19세,"35,499","1,582",506,131,"2,504",95,78,629,652,109,100,339,"1,306",745,"1,664","5,241",617,278,"2,432","1,182","1,110","2,604",647,868,"4,319","5,761"
2021년05월_계_20~29세,"45,187","2,034",928,313,"2,772",134,142,"1,342",989,190,189,718,"1,590","1,120","2,142","6,553","1,648",538,"4,472","1,980","1,052","3,011",899,942,"4,184","5,305"
2021년05월_계_30~39세,"45,009","1,770",686,241,"6,898",84,113,792,831,173,183,503,"1,189",771,"1,354","5,490",911,387,"4,213","1,572","1,075","2,697",649,726,"4,361","7,340"
2021년05월_계_40~49세,"56,753","2,845",926,326,"4,924",164,157,"1,139","1,120",266,261,612,"1,710","1,124","2,276","7,955","1,005",587,"4,071","2,095","1,726","4,075","1,005","1,219","6,297","8,868"
2021년05월_계_50~59세,"60,855","3,347","1,664",704,"3,150",363,438,"1,555","1,426",731,550,942,"2,444","1,691","3,119","7,785","1,403",922,"5,342","2,303","1,729","4,549","1,550","1,484","5,195","6,469"
2021년05월_계_60~69세,"47,678","2,635","1,911",933,"2,218",674,604,"1,572","1,064","1,036",661,933,"2,025","1,473","2,418","4,664","1,342",961,"4,071","1,956","1,445","3,509","1,569","1,173","3,429","3,402"
2021년05월_계_70~79세,"21,522","1,398",857,466,740,391,356,666,455,564,349,468,"1,108",749,"1,087","2,058",758,508,"1,425",916,735,"1,569",848,509,"1,284","1,258"
2021년05월_계_80~89세,"12,480",809,557,407,437,270,211,472,283,356,265,308,634,396,650,"1,115",432,317,752,441,392,894,533,302,600,647
2021년05월_계_90~99세,"1,880",120,99,51,72,43,37,50,48,52,54,36,90,54,92,143,70,54,117,71,41,114,91,58,114,109
2021년05월_계_100세 이상,62,5,1,1,5,2,0,2,1,1,1,2,3,2,1,5,2,1,4,1,3,2,4,5,3,5
2021년05월_남_총인구수,"176,009","9,020","4,453","1,936","13,985","1,152","1,111","4,536","3,837","1,810","1,429","2,425","6,115","4,115","7,508","21,826","4,156","2,343","14,106","7,142","5,049","12,337","4,003","3,855","16,120","21,640"
2021년05월_남_연령구간인구수,"176,009","9,020","4,453","1,936","13,985","1,152","1,111","4,536","3,837","1,810","1,429","2,425","6,115","4,115","7,508","21,826","4,156","2,343","14,106","7,142","5,049","12,337","4,003","3,855","16,120","21,640"
2021년05월_남_0~9세,"14,195",557,179,65,"2,342",18,23,204,204,29,29,98,316,188,333,"1,737",198,88,"1,118",524,390,891,135,265,"1,585","2,679"
2021년05월_남_10~19세,"18,340",796,244,73,"1,233",42,35,324,348,61,52,174,709,366,852,"2,721",351,161,"1,246",661,581,"1,364",363,438,"2,306","2,839"
2021년05월_남_20~29세,"24,086","1,149",590,192,"1,338",78,78,770,561,104,105,367,832,628,"1,121","3,571",783,298,"2,330","1,135",562,"1,615",500,518,"2,241","2,620"
2021년05월_남_30~39세,"22,822",959,387,132,"3,460",45,77,440,472,109,105,251,605,391,680,"2,785",501,206,"2,200",844,548,"1,391",386,358,"2,106","3,384"
2021년05월_남_40~49세,"27,932","1,476",508,198,"2,534",108,81,621,583,156,167,327,784,528,"1,082","3,743",509,321,"1,913","1,116",871,"2,060",502,570,"2,913","4,261"
2021년05월_남_50~59세,"30,655","1,789",878,401,"1,481",208,244,849,787,387,338,460,"1,188",815,"1,562","3,804",677,478,"2,424","1,226",917,"2,298",803,752,"2,524","3,365"
2021년05월_남_60~69세,"23,612","1,346","1,028",498,"1,102",359,327,836,560,543,371,441,951,711,"1,178","2,236",605,450,"1,952","1,027",715,"1,718",762,590,"1,635","1,671"
2021년05월_남_70~79세,"9,570",629,412,232,342,190,157,314,215,272,158,192,481,330,473,824,340,217,634,424,312,673,353,241,584,571
2021년05월_남_80~89세,"4,367",287,203,136,137,94,84,167,99,134,91,102,229,145,210,371,170,114,264,167,143,302,177,111,206,224
2021년05월_남_90~99세,419,29,24,9,16,10,5,10,8,15,13,13,20,12,16,33,21,10,25,18,10,25,21,12,19,25
2021년05월_남_100세 이상,11,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
2021년05월_여_총인구수,"178,759","8,639","4,015","1,751","14,453","1,109","1,066","4,091","3,432","1,728","1,234","2,634","6,623","4,410","8,007","22,538","4,427","2,370","14,884","6,365","5,018","12,399","4,056","3,931","16,786","22,793"
2021년05월_여_연령구간인구수,"178,759","8,639","4,015","1,751","14,453","1,109","1,066","4,091","3,432","1,728","1,234","2,634","6,623","4,410","8,007","22,538","4,427","2,370","14,884","6,365","5,018","12,399","4,056","3,931","16,786","22,793"
2021년05월_여_0~9세,"13,648",557,154,49,"2,376",23,18,204,196,31,21,100,323,212,379,"1,618",197,72,973,466,369,821,129,235,"1,535","2,590"
2021년05월_여_10~19세,"17,159",786,262,58,"1,271",53,43,305,304,48,48,165,597,379,812,"2,520",266,117,"1,186",521,529,"1,240",284,430,"2,013","2,922"
2021년05월_여_20~29세,"21,101",885,338,121,"1,434",56,64,572,428,86,84,351,758,492,"1,021","2,982",865,240,"2,142",845,490,"1,396",399,424,"1,943","2,685"
2021년05월_여_30~39세,"22,187",811,299,109,"3,438",39,36,352,359,64,78,252,584,380,674,"2,705",410,181,"2,013",728,527,"1,306",263,368,"2,255","3,956"
2021년05월_여_40~49세,"28,821","1,369",418,128,"2,390",56,76,518,537,110,94,285,926,596,"1,194","4,212",496,266,"2,158",979,855,"2,015",503,649,"3,384","4,607"
2021년05월_여_50~59세,"30,200","1,558",786,303,"1,669",155,194,706,639,344,212,482,"1,256",876,"1,557","3,981",726,444,"2,918","1,077",812,"2,251",747,732,"2,671","3,104"
2021년05월_여_60~69세,"24,066","1,289",883,435,"1,116",315,277,736,504,493,290,492,"1,074",762,"1,240","2,428",737,511,"2,119",929,730,"1,791",807,583,"1,794","1,731"
2021년05월_여_70~79세,"11,952",769,445,234,398,201,199,352,240,292,191,276,627,419,614,"1,234",418,291,791,492,423,896,495,268,700,687
2021년05월_여_80~89세,"8,113",522,354,271,300,176,127,305,184,222,174,206,405,251,440,744,262,203,488,274,249,592,356,191,394,423
2021년05월_여_90~99세,"1,461",91,75,42,56,33,32,40,40,37,41,23,70,42,76,110,49,44,92,53,31,89,70,46,95,84
2021년05월_여_100세 이상,51,2,1,1,5,2,0,1,1,1,1,2,3,1,0,4,1,1,4,1,3,2,3,5,2,4
