,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년10월_계_총인구수,"318,299","24,802","29,108","13,910","26,621","24,679","21,124","26,964","21,414","18,767","16,551","18,709","28,762","19,688","27,200"
2021년10월_계_연령구간인구수,"318,299","24,802","29,108","13,910","26,621","24,679","21,124","26,964","21,414","18,767","16,551","18,709","28,762","19,688","27,200"
2021년10월_계_0~9세,"17,314","1,445","1,636",693,"1,657","1,464",801,"1,534","1,103",952,771,"1,139","1,469",844,"1,806"
2021년10월_계_10~19세,"24,457","2,067","2,152","1,038","2,530","1,869","1,129","1,611","1,559","1,330","1,005","1,943","2,135","1,420","2,669"
2021년10월_계_20~29세,"41,841","3,252","4,106","1,746","3,543","3,594","2,527","3,212","2,887","2,458","2,417","2,446","3,894","2,561","3,198"
2021년10월_계_30~39세,"39,379","3,312","3,953","1,611","3,308","3,447","2,264","3,450","2,526","2,473","2,287","2,249","3,288","2,146","3,065"
2021년10월_계_40~49세,"46,407","3,914","4,427","2,089","4,248","3,428","2,829","3,640","3,075","2,677","2,365","2,837","4,135","2,697","4,046"
2021년10월_계_50~59세,"56,091","4,204","5,107","2,517","4,846","4,311","3,738","4,423","3,724","3,251","2,857","3,367","5,285","3,724","4,737"
2021년10월_계_60~69세,"51,186","3,568","4,263","2,244","3,711","3,829","3,973","4,872","3,445","3,094","2,516","2,881","4,774","3,429","4,587"
2021년10월_계_70~79세,"27,480","1,945","2,335","1,357","1,685","1,766","2,680","2,816","2,054","1,629","1,600","1,149","2,646","1,922","1,896"
2021년10월_계_80~89세,"12,341",966,"1,013",562,933,843,"1,068","1,187",910,769,649,598,983,840,"1,020"
2021년10월_계_90~99세,"1,684",120,114,46,149,125,113,194,115,114,77,98,149,100,170
2021년10월_계_100세 이상,119,9,2,7,11,3,2,25,16,20,7,2,4,5,6
2021년10월_남_총인구수,"154,970","11,761","14,163","6,957","12,798","11,801","10,684","13,163","10,323","8,994","8,032","8,857","14,267","9,950","13,220"
2021년10월_남_연령구간인구수,"154,970","11,761","14,163","6,957","12,798","11,801","10,684","13,163","10,323","8,994","8,032","8,857","14,267","9,950","13,220"
2021년10월_남_0~9세,"9,024",743,847,368,877,772,392,791,588,487,388,607,730,444,990
2021년10월_남_10~19세,"12,558","1,040","1,107",548,"1,279",945,606,831,735,705,518,976,"1,083",732,"1,453"
2021년10월_남_20~29세,"21,231","1,595","2,052",911,"1,802","1,758","1,361","1,614","1,380","1,241","1,190","1,224","1,991","1,407","1,705"
2021년10월_남_30~39세,"20,116","1,643","1,992",853,"1,584","1,727","1,236","1,762","1,299","1,285","1,194","1,110","1,683","1,204","1,544"
2021년10월_남_40~49세,"23,059","1,905","2,244","1,081","2,017","1,645","1,565","1,840","1,561","1,354","1,212","1,288","2,059","1,394","1,894"
2021년10월_남_50~59세,"26,822","1,961","2,428","1,270","2,281","1,982","1,860","2,166","1,806","1,467","1,349","1,531","2,653","1,851","2,217"
2021년10월_남_60~69세,"24,225","1,631","1,982","1,074","1,794","1,792","1,926","2,288","1,608","1,429","1,176","1,360","2,332","1,682","2,151"
2021년10월_남_70~79세,"12,610",837,"1,048",608,771,814,"1,262","1,350",936,705,699,539,"1,288",869,884
2021년10월_남_80~89세,"4,828",373,435,232,339,328,435,473,374,282,281,194,408,338,336
2021년10월_남_90~99세,460,29,28,10,48,37,40,44,31,31,22,28,39,29,44
2021년10월_남_100세 이상,37,4,0,2,6,1,1,4,5,8,3,0,1,0,2
2021년10월_여_총인구수,"163,329","13,041","14,945","6,953","13,823","12,878","10,440","13,801","11,091","9,773","8,519","9,852","14,495","9,738","13,980"
2021년10월_여_연령구간인구수,"163,329","13,041","14,945","6,953","13,823","12,878","10,440","13,801","11,091","9,773","8,519","9,852","14,495","9,738","13,980"
2021년10월_여_0~9세,"8,290",702,789,325,780,692,409,743,515,465,383,532,739,400,816
2021년10월_여_10~19세,"11,899","1,027","1,045",490,"1,251",924,523,780,824,625,487,967,"1,052",688,"1,216"
2021년10월_여_20~29세,"20,610","1,657","2,054",835,"1,741","1,836","1,166","1,598","1,507","1,217","1,227","1,222","1,903","1,154","1,493"
2021년10월_여_30~39세,"19,263","1,669","1,961",758,"1,724","1,720","1,028","1,688","1,227","1,188","1,093","1,139","1,605",942,"1,521"
2021년10월_여_40~49세,"23,348","2,009","2,183","1,008","2,231","1,783","1,264","1,800","1,514","1,323","1,153","1,549","2,076","1,303","2,152"
2021년10월_여_50~59세,"29,269","2,243","2,679","1,247","2,565","2,329","1,878","2,257","1,918","1,784","1,508","1,836","2,632","1,873","2,520"
2021년10월_여_60~69세,"26,961","1,937","2,281","1,170","1,917","2,037","2,047","2,584","1,837","1,665","1,340","1,521","2,442","1,747","2,436"
2021년10월_여_70~79세,"14,870","1,108","1,287",749,914,952,"1,418","1,466","1,118",924,901,610,"1,358","1,053","1,012"
2021년10월_여_80~89세,"7,513",593,578,330,594,515,633,714,536,487,368,404,575,502,684
2021년10월_여_90~99세,"1,224",91,86,36,101,88,73,150,84,83,55,70,110,71,126
2021년10월_여_100세 이상,82,5,2,5,5,2,1,21,11,12,4,2,3,5,4
