,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년05월_계_총인구수,"60,972","16,873","12,086","2,038","1,598","3,914","2,539","1,767","2,577","2,379","5,485","1,863","2,773","1,529","3,551"
2021년05월_계_연령구간인구수,"60,972","16,873","12,086","2,038","1,598","3,914","2,539","1,767","2,577","2,379","5,485","1,863","2,773","1,529","3,551"
2021년05월_계_0~9세,"3,099","1,258",901,63,40,101,71,37,137,61,191,38,91,32,78
2021년05월_계_10~19세,"4,158","1,560",947,143,32,196,268,49,172,77,346,64,137,46,121
2021년05월_계_20~29세,"4,730","1,683",885,116,93,271,127,84,205,167,473,96,213,86,231
2021년05월_계_30~39세,"4,932","1,822","1,112",104,98,249,136,100,192,123,410,99,192,76,219
2021년05월_계_40~49세,"6,968","2,301","1,732",132,114,379,189,129,281,217,637,145,284,128,300
2021년05월_계_50~59세,"10,761","2,853","2,105",316,298,720,398,283,446,489,"1,057",332,493,286,685
2021년05월_계_60~69세,"12,448","2,753","2,235",427,410,841,583,429,498,541,"1,211",439,666,430,985
2021년05월_계_70~79세,"8,058","1,594","1,326",388,274,664,402,386,371,385,712,358,391,255,552
2021년05월_계_80~89세,"5,118",918,739,296,211,442,334,237,238,284,395,260,259,164,341
2021년05월_계_90~99세,686,129,104,52,28,51,29,33,32,33,53,32,45,26,39
2021년05월_계_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021년05월_남_총인구수,"30,363","8,359","6,073","1,022",746,"2,023","1,182",863,"1,347","1,194","2,777",919,"1,360",769,"1,729"
2021년05월_남_연령구간인구수,"30,363","8,359","6,073","1,022",746,"2,023","1,182",863,"1,347","1,194","2,777",919,"1,360",769,"1,729"
2021년05월_남_0~9세,"1,611",645,464,29,18,52,40,25,77,35,97,23,47,19,40
2021년05월_남_10~19세,"2,244",802,520,96,21,136,97,22,110,40,192,43,71,27,67
2021년05월_남_20~29세,"2,744",953,500,68,50,174,73,51,124,101,286,64,105,61,134
2021년05월_남_30~39세,"2,718",955,592,57,58,140,81,67,108,76,242,55,119,47,121
2021년05월_남_40~49세,"3,866","1,209",953,82,70,218,118,73,170,127,351,96,153,81,165
2021년05월_남_50~59세,"5,785","1,477","1,133",170,146,442,204,172,267,281,560,179,268,129,357
2021년05월_남_60~69세,"6,202","1,309","1,089",242,205,436,285,215,256,283,611,220,335,230,486
2021년05월_남_70~79세,"3,525",700,575,166,124,281,182,159,150,155,319,158,176,128,252
2021년05월_남_80~89세,"1,553",282,229,102,49,137,94,74,81,95,111,72,79,45,103
2021년05월_남_90~99세,115,27,18,10,5,7,8,5,4,1,8,9,7,2,4
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"30,609","8,514","6,013","1,016",852,"1,891","1,357",904,"1,230","1,185","2,708",944,"1,413",760,"1,822"
2021년05월_여_연령구간인구수,"30,609","8,514","6,013","1,016",852,"1,891","1,357",904,"1,230","1,185","2,708",944,"1,413",760,"1,822"
2021년05월_여_0~9세,"1,488",613,437,34,22,49,31,12,60,26,94,15,44,13,38
2021년05월_여_10~19세,"1,914",758,427,47,11,60,171,27,62,37,154,21,66,19,54
2021년05월_여_20~29세,"1,986",730,385,48,43,97,54,33,81,66,187,32,108,25,97
2021년05월_여_30~39세,"2,214",867,520,47,40,109,55,33,84,47,168,44,73,29,98
2021년05월_여_40~49세,"3,102","1,092",779,50,44,161,71,56,111,90,286,49,131,47,135
2021년05월_여_50~59세,"4,976","1,376",972,146,152,278,194,111,179,208,497,153,225,157,328
2021년05월_여_60~69세,"6,246","1,444","1,146",185,205,405,298,214,242,258,600,219,331,200,499
2021년05월_여_70~79세,"4,533",894,751,222,150,383,220,227,221,230,393,200,215,127,300
2021년05월_여_80~89세,"3,565",636,510,194,162,305,240,163,157,189,284,188,180,119,238
2021년05월_여_90~99세,571,102,86,42,23,44,21,28,28,32,45,23,38,24,35
2021년05월_여_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
