,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년05월_계_총인구수,"138,535","6,460","5,216","13,442","4,129","3,464","6,016","2,957","4,621","15,531","42,702","29,832","4,165"
2020년05월_계_연령구간인구수,"138,535","6,460","5,216","13,442","4,129","3,464","6,016","2,957","4,621","15,531","42,702","29,832","4,165"
2020년05월_계_0~9세,"12,184",262,236,913,148,129,202,95,213,968,"7,151","1,773",94
2020년05월_계_10~19세,"12,543",384,362,"1,148",309,217,304,162,346,"1,235","4,568","3,383",125
2020년05월_계_20~29세,"19,306",656,553,"1,641",431,384,647,305,529,"2,158","4,026","7,693",283
2020년05월_계_30~39세,"21,283",645,500,"1,682",426,326,696,263,470,"2,236","9,131","4,604",304
2020년05월_계_40~49세,"24,393",900,836,"2,092",596,501,795,407,628,"2,561","9,027","5,533",517
2020년05월_계_50~59세,"20,029","1,356",913,"2,293",749,651,"1,139",542,861,"2,722","4,302","3,547",954
2020년05월_계_60~69세,"15,393","1,259",816,"1,940",719,620,"1,095",559,783,"2,182","2,712","1,674","1,034"
2020년05월_계_70~79세,"9,156",649,620,"1,183",522,437,723,418,540,973,"1,315","1,166",610
2020년05월_계_80~89세,"3,571",287,313,464,191,161,335,170,205,407,418,419,201
2020년05월_계_90~99세,598,58,60,81,35,33,68,27,34,76,50,38,38
2020년05월_계_100세 이상,79,4,7,5,3,5,12,9,12,13,2,2,5
2020년05월_남_총인구수,"71,667","3,493","2,628","6,801","2,104","1,783","3,182","1,526","2,286","8,623","21,398","15,499","2,344"
2020년05월_남_연령구간인구수,"71,667","3,493","2,628","6,801","2,104","1,783","3,182","1,526","2,286","8,623","21,398","15,499","2,344"
2020년05월_남_0~9세,"6,265",141,135,457,64,74,90,63,109,500,"3,681",910,41
2020년05월_남_10~19세,"6,511",183,187,591,177,105,160,79,170,655,"2,326","1,813",65
2020년05월_남_20~29세,"9,747",389,299,866,238,212,357,175,285,"1,243","1,940","3,558",185
2020년05월_남_30~39세,"11,489",379,270,888,241,188,413,154,265,"1,333","4,441","2,726",191
2020년05월_남_40~49세,"13,372",538,453,"1,100",332,275,480,223,348,"1,517","4,803","2,960",343
2020년05월_남_50~59세,"10,956",783,490,"1,216",396,364,663,309,442,"1,536","2,188","2,005",564
2020년05월_남_60~69세,"7,631",649,385,974,338,307,554,270,357,"1,184","1,221",840,552
2020년05월_남_70~79세,"4,238",309,276,520,235,200,335,178,232,489,637,504,323
2020년05월_남_80~89세,"1,282",105,114,170,70,53,110,61,62,145,150,170,72
2020년05월_남_90~99세,150,16,16,17,13,5,17,12,9,16,10,11,8
2020년05월_남_100세 이상,26,1,3,2,0,0,3,2,7,5,1,2,0
2020년05월_여_총인구수,"66,868","2,967","2,588","6,641","2,025","1,681","2,834","1,431","2,335","6,908","21,304","14,333","1,821"
2020년05월_여_연령구간인구수,"66,868","2,967","2,588","6,641","2,025","1,681","2,834","1,431","2,335","6,908","21,304","14,333","1,821"
2020년05월_여_0~9세,"5,919",121,101,456,84,55,112,32,104,468,"3,470",863,53
2020년05월_여_10~19세,"6,032",201,175,557,132,112,144,83,176,580,"2,242","1,570",60
2020년05월_여_20~29세,"9,559",267,254,775,193,172,290,130,244,915,"2,086","4,135",98
2020년05월_여_30~39세,"9,794",266,230,794,185,138,283,109,205,903,"4,690","1,878",113
2020년05월_여_40~49세,"11,021",362,383,992,264,226,315,184,280,"1,044","4,224","2,573",174
2020년05월_여_50~59세,"9,073",573,423,"1,077",353,287,476,233,419,"1,186","2,114","1,542",390
2020년05월_여_60~69세,"7,762",610,431,966,381,313,541,289,426,998,"1,491",834,482
2020년05월_여_70~79세,"4,918",340,344,663,287,237,388,240,308,484,678,662,287
2020년05월_여_80~89세,"2,289",182,199,294,121,108,225,109,143,262,268,249,129
2020년05월_여_90~99세,448,42,44,64,22,28,51,15,25,60,40,27,30
2020년05월_여_100세 이상,53,3,4,3,3,5,9,7,5,8,1,0,5
