,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년03월_계_총인구수,"158,240","6,353","4,067","2,986","3,536","6,853","2,759","1,777","2,113","2,858","2,714","1,755","1,865","1,629","1,741","5,134","4,981","22,176","9,134","13,176","6,274","6,192","21,581","16,167","10,419"
2021년03월_계_연령구간인구수,"158,240","6,353","4,067","2,986","3,536","6,853","2,759","1,777","2,113","2,858","2,714","1,755","1,865","1,629","1,741","5,134","4,981","22,176","9,134","13,176","6,274","6,192","21,581","16,167","10,419"
2021년03월_계_0~9세,"10,468",186,96,61,83,440,45,31,56,58,44,31,45,23,31,238,291,"1,890",633,888,370,338,"1,965","1,534","1,091"
2021년03월_계_10~19세,"13,575",272,191,84,124,376,134,61,81,109,78,48,54,47,63,342,408,"2,328",882,939,518,552,"2,600","1,749","1,535"
2021년03월_계_20~29세,"16,526",440,285,138,290,954,141,81,152,183,123,71,83,71,66,582,512,"2,962",851,"1,405",621,666,"2,676","1,905","1,268"
2021년03월_계_30~39세,"15,362",368,208,155,208,"1,044",112,81,139,148,113,58,77,66,70,499,424,"2,544",799,"1,499",570,562,"2,384","2,117","1,117"
2021년03월_계_40~49세,"22,010",562,324,308,353,779,239,158,157,261,169,149,114,122,121,620,700,"3,539","1,366","1,856",898,836,"3,753","2,589","2,037"
2021년03월_계_50~59세,"26,188","1,078",667,526,602,933,441,280,430,515,519,292,359,281,287,810,934,"3,485","1,452","2,210","1,038","1,160","3,533","2,743","1,613"
2021년03월_계_60~69세,"26,137","1,435",925,684,878,"1,013",638,406,505,723,699,488,501,433,472,927,843,"2,804","1,519","2,238","1,163","1,175","2,670","2,053",945
2021년03월_계_70~79세,"16,540","1,104",721,536,534,746,547,350,320,474,543,349,345,333,344,715,557,"1,626","1,007","1,408",703,634,"1,237",890,517
2021년03월_계_80~89세,"9,883",774,562,430,385,482,400,280,232,322,381,241,261,218,254,340,273,873,548,649,336,232,663,495,252
2021년03월_계_90~99세,"1,489",124,83,64,79,80,59,48,40,63,44,23,25,35,33,60,39,123,72,79,55,37,98,85,41
2021년03월_계_100세 이상,62,10,5,0,0,6,3,1,1,2,1,5,1,0,0,1,0,2,5,5,2,0,2,7,3
2021년03월_남_총인구수,"78,271","3,196","2,104","1,569","1,858","3,488","1,343",888,"1,079","1,500","1,370",909,971,851,907,"2,494","2,382","11,012","4,398","6,559","3,036","3,074","10,279","7,867","5,137"
2021년03월_남_연령구간인구수,"78,271","3,196","2,104","1,569","1,858","3,488","1,343",888,"1,079","1,500","1,370",909,971,851,907,"2,494","2,382","11,012","4,398","6,559","3,036","3,074","10,279","7,867","5,137"
2021년03월_남_0~9세,"5,472",102,53,35,40,225,25,18,28,30,17,20,26,13,20,133,158,974,342,449,180,181,"1,025",811,567
2021년03월_남_10~19세,"7,089",151,120,51,72,189,84,35,37,53,42,23,37,26,30,177,194,"1,223",448,506,275,285,"1,323",902,806
2021년03월_남_20~29세,"9,044",260,161,92,168,493,84,48,99,113,70,44,55,43,38,331,268,"1,662",464,784,347,364,"1,389","1,018",649
2021년03월_남_30~39세,"7,960",206,119,101,130,574,61,58,84,89,69,33,46,45,44,237,207,"1,296",396,807,311,300,"1,156","1,070",521
2021년03월_남_40~49세,"11,444",341,204,202,221,442,144,101,102,174,124,100,73,84,81,342,366,"1,764",688,994,465,425,"1,801","1,248",958
2021년03월_남_50~59세,"13,436",595,381,313,345,528,257,154,231,309,300,179,190,166,168,421,474,"1,757",735,"1,086",483,568,"1,650","1,302",844
2021년03월_남_60~69세,"12,659",720,493,354,469,500,305,221,260,392,383,268,272,216,264,398,386,"1,315",659,"1,037",511,539,"1,239",997,461
2021년03월_남_70~79세,"7,408",520,337,251,255,344,242,155,154,218,221,152,165,165,167,319,242,698,449,630,324,310,488,361,241
2021년03월_남_80~89세,"3,423",262,213,155,141,167,132,94,74,107,134,82,101,82,83,126,78,299,198,251,132,92,192,145,83
2021년03월_남_90~99세,324,36,23,15,17,23,9,4,10,15,10,8,6,11,12,9,9,23,19,14,8,10,15,11,7
2021년03월_남_100세 이상,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0
2021년03월_여_총인구수,"79,969","3,157","1,963","1,417","1,678","3,365","1,416",889,"1,034","1,358","1,344",846,894,778,834,"2,640","2,599","11,164","4,736","6,617","3,238","3,118","11,302","8,300","5,282"
2021년03월_여_연령구간인구수,"79,969","3,157","1,963","1,417","1,678","3,365","1,416",889,"1,034","1,358","1,344",846,894,778,834,"2,640","2,599","11,164","4,736","6,617","3,238","3,118","11,302","8,300","5,282"
2021년03월_여_0~9세,"4,996",84,43,26,43,215,20,13,28,28,27,11,19,10,11,105,133,916,291,439,190,157,940,723,524
2021년03월_여_10~19세,"6,486",121,71,33,52,187,50,26,44,56,36,25,17,21,33,165,214,"1,105",434,433,243,267,"1,277",847,729
2021년03월_여_20~29세,"7,482",180,124,46,122,461,57,33,53,70,53,27,28,28,28,251,244,"1,300",387,621,274,302,"1,287",887,619
2021년03월_여_30~39세,"7,402",162,89,54,78,470,51,23,55,59,44,25,31,21,26,262,217,"1,248",403,692,259,262,"1,228","1,047",596
2021년03월_여_40~49세,"10,566",221,120,106,132,337,95,57,55,87,45,49,41,38,40,278,334,"1,775",678,862,433,411,"1,952","1,341","1,079"
2021년03월_여_50~59세,"12,752",483,286,213,257,405,184,126,199,206,219,113,169,115,119,389,460,"1,728",717,"1,124",555,592,"1,883","1,441",769
2021년03월_여_60~69세,"13,478",715,432,330,409,513,333,185,245,331,316,220,229,217,208,529,457,"1,489",860,"1,201",652,636,"1,431","1,056",484
2021년03월_여_70~79세,"9,132",584,384,285,279,402,305,195,166,256,322,197,180,168,177,396,315,928,558,778,379,324,749,529,276
2021년03월_여_80~89세,"6,460",512,349,275,244,315,268,186,158,215,247,159,160,136,171,214,195,574,350,398,204,140,471,350,169
2021년03월_여_90~99세,"1,165",88,60,49,62,57,50,44,30,48,34,15,19,24,21,51,30,100,53,65,47,27,83,74,34
2021년03월_여_100세 이상,50,7,5,0,0,3,3,1,1,2,1,5,1,0,0,0,0,1,5,4,2,0,1,5,3
