카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년02월_계_총인구수,"859,329","81,881","17,406","86,696","41,929","7,145","5,862","6,917","10,975","7,144","9,962","10,341","3,990","11,412","21,733","43,935","28,752","24,458","32,408","13,660","23,220","51,476","35,737","42,236","53,142","42,735","31,371","84,494","28,312"
2021년02월_계_연령구간인구수,"859,329","81,881","17,406","86,696","41,929","7,145","5,862","6,917","10,975","7,144","9,962","10,341","3,990","11,412","21,733","43,935","28,752","24,458","32,408","13,660","23,220","51,476","35,737","42,236","53,142","42,735","31,371","84,494","28,312"
2021년02월_계_0~9세,"103,355","8,274",895,"10,641","4,104",282,217,253,448,168,301,382,94,400,"4,019","4,405","2,586","2,451","4,290","1,285","1,780","6,314","4,257","5,764","9,104","6,331","4,508","14,633","5,169"
2021년02월_계_10~19세,"97,247","9,829","1,440","10,125","3,541",479,345,396,798,310,474,614,159,752,"2,133","3,909","3,143","3,970","4,012","1,805","2,243","6,922","6,560","5,362","8,921","4,255","3,016","9,258","2,476"
2021년02월_계_20~29세,"105,426","10,243","1,772","10,374","5,677",804,585,746,992,540,975,"1,043",398,"1,353","2,376","7,120","5,095","2,988","4,079","1,714","3,112","8,023","3,747","6,306","4,200","5,167","4,489","8,609","2,899"
2021년02월_계_30~39세,"150,264","11,399","1,585","15,853","7,210",644,496,749,882,521,"1,016",888,366,"1,153","4,794","8,909","4,536","3,035","5,784","1,536","2,946","9,689","4,164","8,244","9,066","10,464","7,454","19,248","7,633"
2021년02월_계_40~49세,"165,462","15,834","2,749","17,462","6,840",940,710,"1,000","1,428",817,"1,459","1,311",476,"1,630","4,169","7,820","5,126","5,417","6,062","2,676","3,965","10,320","8,753","8,546","13,274","8,226","6,010","17,236","5,206"
2021년02월_계_50~59세,"116,634","12,612","3,553","11,088","6,609","1,516","1,213","1,420","2,169","1,597","2,309","2,203",899,"2,430","2,670","5,953","4,094","3,314","4,541","2,267","4,177","6,456","4,768","4,241","5,460","4,218","3,386","8,855","2,616"
2021년02월_계_60~69세,"71,632","8,151","2,822","6,572","4,716","1,314","1,172","1,234","2,122","1,718","1,966","2,065",883,"2,017","1,172","3,540","2,448","1,767","2,510","1,401","2,997","2,388","2,045","2,102","2,042","2,571","1,663","4,612","1,622"
2021년02월_계_70~79세,"32,333","3,766","1,614","2,962","2,106",740,647,718,"1,252",848,859,"1,095",414,"1,014",257,"1,547","1,196","1,026",756,690,"1,351",939,"1,027","1,193",759,"1,047",570,"1,469",471
2021년02월_계_80~89세,"14,715","1,523",853,"1,436",950,375,397,348,731,531,513,668,269,572,125,645,462,436,322,250,568,377,375,417,268,394,232,493,185
2021년02월_계_90~99세,"2,140",232,116,174,172,48,77,49,142,85,83,64,31,83,17,85,65,53,49,34,74,47,38,59,48,60,42,78,35
2021년02월_계_100세 이상,121,18,7,9,4,3,3,4,11,9,7,8,1,8,1,2,1,1,3,2,7,1,3,2,0,2,1,3,0
2021년02월_남_총인구수,"446,168","41,609","9,470","46,404","22,864","3,786","3,304","4,116","5,917","3,942","6,021","5,946","2,446","6,603","10,933","23,687","14,788","11,922","16,384","6,986","12,262","26,517","17,605","21,772","26,448","21,487","16,240","42,389","14,320"
2021년02월_남_연령구간인구수,"446,168","41,609","9,470","46,404","22,864","3,786","3,304","4,116","5,917","3,942","6,021","5,946","2,446","6,603","10,933","23,687","14,788","11,922","16,384","6,986","12,262","26,517","17,605","21,772","26,448","21,487","16,240","42,389","14,320"
2021년02월_남_0~9세,"52,783","4,110",472,"5,512","2,128",142,120,143,231,82,160,216,54,211,"1,986","2,254","1,353","1,250","2,174",657,921,"3,182","2,183","2,973","4,641","3,250","2,298","7,454","2,626"
2021년02월_남_10~19세,"49,682","4,908",736,"5,178","1,806",258,189,213,440,171,249,338,85,402,"1,064","2,002","1,606","1,983","2,070",936,"1,201","3,573","3,288","2,789","4,493","2,179","1,571","4,717","1,237"
2021년02월_남_20~29세,"57,087","5,458","1,080","5,702","3,336",460,346,490,575,346,651,639,266,839,"1,231","4,112","2,868","1,526","2,154",925,"1,776","4,332","1,898","3,481","2,107","2,512","2,241","4,300","1,436"
2021년02월_남_30~39세,"78,247","5,806",951,"8,924","4,202",372,308,501,527,307,696,570,251,766,"2,370","5,055","2,406","1,470","2,872",795,"1,622","4,890","1,877","4,281","3,913","5,300","3,928","9,426","3,861"
2021년02월_남_40~49세,"88,194","8,209","1,632","9,734","3,916",533,446,683,827,506,979,853,346,"1,043","2,178","4,393","2,601","2,613","3,124","1,372","2,189","5,166","4,248","4,384","6,843","4,303","3,235","9,033","2,805"
2021년02월_남_50~59세,"62,752","6,679","2,041","6,169","3,586",845,709,866,"1,259",927,"1,506","1,380",591,"1,482","1,309","3,152","2,057","1,734","2,210","1,192","2,185","3,551","2,545","2,243","3,005","2,146","1,788","4,330","1,265"
