카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년07월_계_총인구수,"30,425","10,700","3,025","3,647","3,475","3,424","3,187","2,336",271,360
2020년07월_계_연령구간인구수,"30,425","10,700","3,025","3,647","3,475","3,424","3,187","2,336",271,360
2020년07월_계_0~9세,"1,744",905,121,206,122,124,111,108,16,31
2020년07월_계_10~19세,"2,246","1,165",176,247,165,189,128,130,10,36
2020년07월_계_20~29세,"2,401","1,154",185,266,213,216,201,130,20,16
2020년07월_계_30~39세,"2,275","1,117",184,275,205,168,158,126,17,25
2020년07월_계_40~49세,"3,575","1,566",321,383,366,330,247,287,30,45
2020년07월_계_50~59세,"5,032","1,743",510,587,620,594,512,367,43,56
2020년07월_계_60~69세,"5,165","1,425",585,709,668,649,628,403,43,55
2020년07월_계_70~79세,"4,778","1,051",551,551,654,675,714,466,51,65
2020년07월_계_80~89세,"2,838",510,350,371,406,406,436,294,39,26
2020년07월_계_90~99세,354,61,41,46,55,72,50,22,2,5
2020년07월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년07월_남_총인구수,"14,946","5,240","1,521","1,765","1,760","1,629","1,523","1,194",138,176
2020년07월_남_연령구간인구수,"14,946","5,240","1,521","1,765","1,760","1,629","1,523","1,194",138,176
2020년07월_남_0~9세,835,424,57,105,71,57,51,46,8,16
2020년07월_남_10~19세,"1,164",611,88,121,88,99,59,70,10,18
2020년07월_남_20~29세,"1,380",656,118,140,120,117,131,79,8,11
2020년07월_남_30~39세,"1,240",572,112,151,128,94,87,72,10,14
2020년07월_남_40~49세,"2,061",794,189,235,231,203,168,191,19,31
2020년07월_남_50~59세,"2,756",869,302,313,350,326,296,234,29,37
2020년07월_남_60~69세,"2,603",692,304,353,347,326,303,234,24,20
2020년07월_남_70~79세,"2,021",462,235,226,280,292,296,187,21,22
2020년07월_남_80~89세,821,150,108,111,134,104,121,79,8,6
2020년07월_남_90~99세,65,10,8,10,11,11,11,2,1,1
2020년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"15,479","5,460","1,504","1,882","1,715","1,795","1,664","1,142",133,184
2020년07월_여_연령구간인구수,"15,479","5,460","1,504","1,882","1,715","1,795","1,664","1,142",133,184
2020년07월_여_0~9세,909,481,64,101,51,67,60,62,8,15
2020년07월_여_10~19세,"1,082",554,88,126,77,90,69,60,0,18
2020년07월_여_20~29세,"1,021",498,67,126,93,99,70,51,12,5
2020년07월_여_30~39세,"1,035",545,72,124,77,74,71,54,7,11
2020년07월_여_40~49세,"1,514",772,132,148,135,127,79,96,11,14
2020년07월_여_50~59세,"2,276",874,208,274,270,268,216,133,14,19
2020년07월_여_60~69세,"2,562",733,281,356,321,323,325,169,19,35
2020년07월_여_70~79세,"2,757",589,316,325,374,383,418,279,30,43
2020년07월_여_80~89세,"2,017",360,242,260,272,302,315,215,31,20
2020년07월_여_90~99세,289,51,33,36,44,61,39,20,1,4
2020년07월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
