카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년06월_계_총인구수,"45,454","10,138","3,146","3,540","1,979","1,905","2,321","3,519","6,160","1,804","1,794","1,577","4,403","3,168"
2020년06월_계_연령구간인구수,"45,454","10,138","3,146","3,540","1,979","1,905","2,321","3,519","6,160","1,804","1,794","1,577","4,403","3,168"
2020년06월_계_0~9세,"1,982",613,97,104,58,56,81,99,379,30,76,76,180,133
2020년06월_계_10~19세,"2,966",906,229,190,91,75,118,132,480,76,92,165,238,174
2020년06월_계_20~29세,"3,639","1,051",241,214,131,125,166,295,500,106,100,92,290,328
2020년06월_계_30~39세,"2,912",862,133,157,99,107,124,188,470,77,114,86,251,244
2020년06월_계_40~49세,"5,230","1,428",382,367,198,163,233,351,838,149,165,144,413,399
2020년06월_계_50~59세,"8,579","1,853",718,723,361,366,413,681,"1,090",317,305,275,855,622
2020년06월_계_60~69세,"8,643","1,605",594,743,416,406,483,741,"1,060",371,364,377,937,546
2020년06월_계_70~79세,"6,435","1,135",473,585,316,299,361,586,742,343,305,209,655,426
2020년06월_계_80~89세,"4,347",601,234,383,272,265,284,384,511,286,238,128,498,263
2020년06월_계_90~99세,697,82,43,71,37,42,56,60,87,46,33,24,83,33
2020년06월_계_100세 이상,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020년06월_남_총인구수,"22,637","4,980","1,598","1,751",964,930,"1,149","1,786","3,042",879,867,824,"2,198","1,669"
2020년06월_남_연령구간인구수,"22,637","4,980","1,598","1,751",964,930,"1,149","1,786","3,042",879,867,824,"2,198","1,669"
2020년06월_남_0~9세,"1,043",310,49,64,37,28,48,54,181,17,32,47,99,77
2020년06월_남_10~19세,"1,577",450,125,109,54,41,56,65,252,30,53,111,131,100
2020년06월_남_20~29세,"2,160",597,134,137,77,73,107,194,295,70,53,53,161,209
2020년06월_남_30~39세,"1,617",457,74,84,49,62,79,125,244,46,63,46,134,154
2020년06월_남_40~49세,"2,921",753,203,201,114,96,133,207,464,85,96,85,246,238
2020년06월_남_50~59세,"4,653",944,412,391,194,191,233,389,578,180,175,141,473,352
2020년06월_남_60~69세,"4,461",803,310,389,218,214,253,361,539,192,199,196,498,289
2020년06월_남_70~79세,"2,743",469,196,245,126,136,148,254,316,163,123,106,291,170
2020년06월_남_80~89세,"1,313",183,86,123,81,76,82,128,159,80,63,34,147,71
2020년06월_남_90~99세,145,14,8,8,14,12,10,9,14,15,9,5,18,9
2020년06월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년06월_여_총인구수,"22,817","5,158","1,548","1,789","1,015",975,"1,172","1,733","3,118",925,927,753,"2,205","1,499"
2020년06월_여_연령구간인구수,"22,817","5,158","1,548","1,789","1,015",975,"1,172","1,733","3,118",925,927,753,"2,205","1,499"
2020년06월_여_0~9세,939,303,48,40,21,28,33,45,198,13,44,29,81,56
2020년06월_여_10~19세,"1,389",456,104,81,37,34,62,67,228,46,39,54,107,74
2020년06월_여_20~29세,"1,479",454,107,77,54,52,59,101,205,36,47,39,129,119
2020년06월_여_30~39세,"1,295",405,59,73,50,45,45,63,226,31,51,40,117,90
2020년06월_여_40~49세,"2,309",675,179,166,84,67,100,144,374,64,69,59,167,161
2020년06월_여_50~59세,"3,926",909,306,332,167,175,180,292,512,137,130,134,382,270
2020년06월_여_60~69세,"4,182",802,284,354,198,192,230,380,521,179,165,181,439,257
2020년06월_여_70~79세,"3,692",666,277,340,190,163,213,332,426,180,182,103,364,256
2020년06월_여_80~89세,"3,034",418,148,260,191,189,202,256,352,206,175,94,351,192
2020년06월_여_90~99세,552,68,35,63,23,30,46,51,73,31,24,19,65,24
2020년06월_여_100세 이상,20,2,1,3,0,0,2,2,3,2,1,1,3,0
