,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년12월_계_총인구수,"27,810","10,308","1,565","2,023","1,730","1,760","1,426","1,978","2,210","1,311","1,143","2,356"
2020년12월_계_연령구간인구수,"27,810","10,308","1,565","2,023","1,730","1,760","1,426","1,978","2,210","1,311","1,143","2,356"
2020년12월_계_0~9세,"1,521",865,65,72,62,47,59,72,119,41,52,67
2020년12월_계_10~19세,"2,219","1,338",96,91,90,70,69,119,141,37,50,118
2020년12월_계_20~29세,"2,076","1,030",104,106,90,103,80,123,131,100,78,131
2020년12월_계_30~39세,"2,001","1,009",98,105,110,112,101,98,123,77,66,102
2020년12월_계_40~49세,"3,324","1,650",144,208,191,141,114,183,211,127,120,235
2020년12월_계_50~59세,"4,505","1,534",275,336,260,317,252,361,412,204,157,397
2020년12월_계_60~69세,"4,832","1,316",299,400,329,418,280,434,426,254,213,463
2020년12월_계_70~79세,"4,184",963,254,399,327,291,247,344,400,262,212,485
2020년12월_계_80~89세,"2,747",514,202,266,242,231,205,211,208,183,180,305
2020년12월_계_90~99세,373,84,23,37,27,28,18,33,36,22,14,51
2020년12월_계_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
2020년12월_남_총인구수,"13,520","4,993",755,987,858,865,702,981,"1,053",639,538,"1,149"
2020년12월_남_연령구간인구수,"13,520","4,993",755,987,858,865,702,981,"1,053",639,538,"1,149"
2020년12월_남_0~9세,777,456,34,37,29,22,31,32,61,11,30,34
2020년12월_남_10~19세,"1,150",684,48,45,49,40,39,69,71,21,26,58
2020년12월_남_20~29세,"1,142",551,62,57,55,55,45,69,80,61,34,73
2020년12월_남_30~39세,966,445,42,59,71,67,49,52,48,42,34,57
2020년12월_남_40~49세,"1,882",857,78,142,117,93,72,108,113,80,77,145
2020년12월_남_50~59세,"2,454",815,165,176,151,165,148,184,222,121,91,216
2020년12월_남_60~69세,"2,454",617,154,228,165,239,140,235,217,125,104,230
2020년12월_남_70~79세,"1,708",382,110,150,143,112,103,147,166,105,88,202
2020년12월_남_80~89세,892,167,57,87,71,64,72,74,63,64,54,119
2020년12월_남_90~99세,95,19,5,6,7,8,3,11,12,9,0,15
2020년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"14,290","5,315",810,"1,036",872,895,724,997,"1,157",672,605,"1,207"
2020년12월_여_연령구간인구수,"14,290","5,315",810,"1,036",872,895,724,997,"1,157",672,605,"1,207"
2020년12월_여_0~9세,744,409,31,35,33,25,28,40,58,30,22,33
2020년12월_여_10~19세,"1,069",654,48,46,41,30,30,50,70,16,24,60
2020년12월_여_20~29세,934,479,42,49,35,48,35,54,51,39,44,58
2020년12월_여_30~39세,"1,035",564,56,46,39,45,52,46,75,35,32,45
2020년12월_여_40~49세,"1,442",793,66,66,74,48,42,75,98,47,43,90
2020년12월_여_50~59세,"2,051",719,110,160,109,152,104,177,190,83,66,181
2020년12월_여_60~69세,"2,378",699,145,172,164,179,140,199,209,129,109,233
2020년12월_여_70~79세,"2,476",581,144,249,184,179,144,197,234,157,124,283
2020년12월_여_80~89세,"1,855",347,145,179,171,167,133,137,145,119,126,186
2020년12월_여_90~99세,278,65,18,31,20,20,15,22,24,13,14,36
2020년12월_여_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
