,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년10월_계_총인구수,"175,426","13,882","7,428","5,362","3,347","8,163","15,135","9,478","5,159","7,455","6,422","19,548","19,086","9,019","16,391","29,551"
2020년10월_계_연령구간인구수,"175,426","13,882","7,428","5,362","3,347","8,163","15,135","9,478","5,159","7,455","6,422","19,548","19,086","9,019","16,391","29,551"
2020년10월_계_0~9세,"15,530",753,539,121,63,628,"2,832",547,146,276,401,"1,771","1,757",609,"1,464","3,623"
2020년10월_계_10~19세,"17,328","1,098",718,216,110,747,"1,151",788,275,461,497,"2,098","2,359",904,"2,025","3,881"
2020년10월_계_20~29세,"19,184","1,858",636,288,178,673,"1,632",860,290,745,583,"2,630","2,206","1,116","2,033","3,456"
2020년10월_계_30~39세,"22,212","1,508",674,268,149,976,"3,868",861,277,506,593,"2,787","2,230",900,"2,048","4,567"
2020년10월_계_40~49세,"27,807","2,005","1,138",496,294,"1,229","2,242","1,418",553,876,891,"3,335","3,489","1,471","2,924","5,446"
2020년10월_계_50~59세,"28,402","3,093","1,301",902,593,"1,374","1,595","1,692",903,"1,358",848,"3,187","3,221","1,559","2,587","4,189"
2020년10월_계_60~69세,"21,710","1,884","1,067","1,290",848,"1,214",942,"1,495","1,094","1,402","1,082","2,002","2,006","1,309","1,748","2,327"
2020년10월_계_70~79세,"13,865",973,753,"1,031",666,775,513,"1,023",930,"1,140",847,"1,068","1,149",753,984,"1,260"
2020년10월_계_80~89세,"8,125",612,528,666,389,467,317,705,605,606,589,565,568,333,500,675
2020년10월_계_90~99세,"1,203",95,69,83,55,79,40,85,84,82,85,95,93,58,76,124
2020년10월_계_100세 이상,60,3,5,1,2,1,3,4,2,3,6,10,8,7,2,3
2020년10월_남_총인구수,"91,228","8,005","3,786","2,735","1,703","4,371","7,922","4,890","2,614","3,870","3,326","10,120","9,941","4,579","8,266","15,100"
2020년10월_남_연령구간인구수,"91,228","8,005","3,786","2,735","1,703","4,371","7,922","4,890","2,614","3,870","3,326","10,120","9,941","4,579","8,266","15,100"
2020년10월_남_0~9세,"8,002",393,284,58,37,314,"1,468",280,79,143,215,949,915,317,736,"1,814"
2020년10월_남_10~19세,"9,194",590,379,117,53,396,574,439,142,259,263,"1,095","1,387",471,982,"2,047"
2020년10월_남_20~29세,"11,337","1,274",379,180,112,417,907,509,176,458,380,"1,483","1,307",637,"1,140","1,978"
2020년10월_남_30~39세,"12,279","1,009",350,167,87,608,"2,079",468,154,305,347,"1,544","1,188",506,"1,129","2,338"
2020년10월_남_40~49세,"14,863","1,179",597,316,181,722,"1,242",795,341,517,520,"1,718","1,733",765,"1,480","2,757"
2020년10월_남_50~59세,"15,170","1,844",727,483,337,729,822,911,504,727,455,"1,652","1,674",802,"1,329","2,174"
2020년10월_남_60~69세,"10,824","1,038",536,656,423,644,485,743,527,706,517,964,965,612,849,"1,159"
2020년10월_남_70~79세,"6,456",464,342,494,328,363,234,476,455,530,383,486,539,331,442,589
2020년10월_남_80~89세,"2,858",186,177,247,135,165,104,256,221,211,226,211,212,122,163,222
2020년10월_남_90~99세,238,28,15,17,10,13,6,13,14,14,19,18,19,15,16,21
2020년10월_남_100세 이상,7,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1
2020년10월_여_총인구수,"84,198","5,877","3,642","2,627","1,644","3,792","7,213","4,588","2,545","3,585","3,096","9,428","9,145","4,440","8,125","14,451"
2020년10월_여_연령구간인구수,"84,198","5,877","3,642","2,627","1,644","3,792","7,213","4,588","2,545","3,585","3,096","9,428","9,145","4,440","8,125","14,451"
2020년10월_여_0~9세,"7,528",360,255,63,26,314,"1,364",267,67,133,186,822,842,292,728,"1,809"
2020년10월_여_10~19세,"8,134",508,339,99,57,351,577,349,133,202,234,"1,003",972,433,"1,043","1,834"
2020년10월_여_20~29세,"7,847",584,257,108,66,256,725,351,114,287,203,"1,147",899,479,893,"1,478"
2020년10월_여_30~39세,"9,933",499,324,101,62,368,"1,789",393,123,201,246,"1,243","1,042",394,919,"2,229"
2020년10월_여_40~49세,"12,944",826,541,180,113,507,"1,000",623,212,359,371,"1,617","1,756",706,"1,444","2,689"
2020년10월_여_50~59세,"13,232","1,249",574,419,256,645,773,781,399,631,393,"1,535","1,547",757,"1,258","2,015"
2020년10월_여_60~69세,"10,886",846,531,634,425,570,457,752,567,696,565,"1,038","1,041",697,899,"1,168"
2020년10월_여_70~79세,"7,409",509,411,537,338,412,279,547,475,610,464,582,610,422,542,671
2020년10월_여_80~89세,"5,267",426,351,419,254,302,213,449,384,395,363,354,356,211,337,453
2020년10월_여_90~99세,965,67,54,66,45,66,34,72,70,68,66,77,74,43,60,103
2020년10월_여_100세 이상,53,3,5,1,2,1,2,4,1,3,5,10,6,6,2,2
