카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년06월_계_총인구수,"43,102","13,182","3,774","1,629","3,919","2,379","3,597","2,660","3,460","2,894","5,608"
2020년06월_계_연령구간인구수,"43,102","13,182","3,774","1,629","3,919","2,379","3,597","2,660","3,460","2,894","5,608"
2020년06월_계_0~9세,"1,614",897,81,35,128,90,77,52,71,49,134
2020년06월_계_10~19세,"2,995","1,442",197,101,184,185,218,93,164,121,290
2020년06월_계_20~29세,"3,278","1,504",236,97,211,185,205,135,218,167,320
2020년06월_계_30~39세,"2,547","1,173",172,74,210,143,158,109,151,113,244
2020년06월_계_40~49세,"4,673","1,949",347,139,390,262,333,227,312,215,499
2020년06월_계_50~59세,"7,465","2,218",663,317,672,494,590,430,575,494,"1,012"
2020년06월_계_60~69세,"8,050","1,886",752,310,826,492,702,538,671,648,"1,225"
2020년06월_계_70~79세,"6,827","1,247",714,282,701,322,704,534,667,558,"1,098"
2020년06월_계_80~89세,"4,816",735,528,245,497,171,521,472,529,433,685
2020년06월_계_90~99세,820,130,84,29,97,34,84,69,100,93,100
2020년06월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년06월_남_총인구수,"20,733","6,456","1,790",790,"1,882","1,222","1,685","1,273","1,614","1,375","2,646"
2020년06월_남_연령구간인구수,"20,733","6,456","1,790",790,"1,882","1,222","1,685","1,273","1,614","1,375","2,646"
2020년06월_남_0~9세,865,467,38,21,76,43,50,29,36,28,77
2020년06월_남_10~19세,"1,602",767,111,53,103,97,103,56,101,60,151
2020년06월_남_20~29세,"1,982",897,141,62,121,129,123,93,119,107,190
2020년06월_남_30~39세,"1,329",580,93,38,114,78,86,63,81,60,136
2020년06월_남_40~49세,"2,536",944,192,78,217,149,193,141,188,129,305
2020년06월_남_50~59세,"3,949","1,116",372,179,370,266,319,251,296,260,520
2020년06월_남_60~69세,"3,917",894,354,150,409,243,332,264,328,333,610
2020년06월_남_70~79세,"2,964",540,310,125,312,159,316,229,288,245,440
2020년06월_남_80~89세,"1,443",235,158,79,145,53,143,138,153,138,201
2020년06월_남_90~99세,145,16,21,5,14,5,20,9,24,15,16
2020년06월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년06월_여_총인구수,"22,369","6,726","1,984",839,"2,037","1,157","1,912","1,387","1,846","1,519","2,962"
2020년06월_여_연령구간인구수,"22,369","6,726","1,984",839,"2,037","1,157","1,912","1,387","1,846","1,519","2,962"
2020년06월_여_0~9세,749,430,43,14,52,47,27,23,35,21,57
2020년06월_여_10~19세,"1,393",675,86,48,81,88,115,37,63,61,139
2020년06월_여_20~29세,"1,296",607,95,35,90,56,82,42,99,60,130
2020년06월_여_30~39세,"1,218",593,79,36,96,65,72,46,70,53,108
2020년06월_여_40~49세,"2,137","1,005",155,61,173,113,140,86,124,86,194
2020년06월_여_50~59세,"3,516","1,102",291,138,302,228,271,179,279,234,492
2020년06월_여_60~69세,"4,133",992,398,160,417,249,370,274,343,315,615
2020년06월_여_70~79세,"3,863",707,404,157,389,163,388,305,379,313,658
2020년06월_여_80~89세,"3,373",500,370,166,352,118,378,334,376,295,484
2020년06월_여_90~99세,675,114,63,24,83,29,64,60,76,78,84
2020년06월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
