카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년12월_계_총인구수,"51,829,023","9,668,465","3,391,946","2,418,346","2,942,828","1,450,062","1,463,882","1,136,017","355,831","13,427,014","1,542,840","1,600,837","2,121,029","1,804,104","1,851,549","2,639,422","3,340,216","674,635"
2020년12월_계_연령구간인구수,"51,829,023","9,668,465","3,391,946","2,418,346","2,942,828","1,450,062","1,463,882","1,136,017","355,831","13,427,014","1,542,840","1,600,837","2,121,029","1,804,104","1,851,549","2,639,422","3,340,216","674,635"
2020년12월_계_0~9세,"3,970,070","623,745","232,356","178,226","228,634","119,692","114,529","98,506","47,283","1,145,984","105,598","123,371","172,628","128,692","132,202","189,561","268,766","60,297"
2020년12월_계_10~19세,"4,793,336","781,866","272,014","225,898","274,162","157,144","146,436","112,420","42,677","1,328,214","137,508","149,379","202,548","174,963","167,308","225,924","324,214","70,661"
2020년12월_계_20~29세,"6,806,153","1,460,411","430,987","321,534","401,546","209,375","212,488","144,569","37,453","1,807,848","180,015","199,209","243,200","211,464","200,709","284,163","378,436","82,746"
2020년12월_계_30~39세,"6,873,117","1,475,106","419,014","294,310","406,146","185,867","194,088","151,705","61,492","1,907,459","166,349","194,677","268,598","189,012","186,064","291,117","399,558","82,555"
2020년12월_계_40~49세,"8,294,787","1,528,182","511,148","383,839","483,977","240,867","237,216","187,808","68,831","2,299,423","224,378","241,194","327,791","268,277","259,749","383,508","536,223","112,376"
2020년12월_계_50~59세,"8,645,014","1,523,556","568,913","425,479","512,167","233,822","241,921","209,521","45,205","2,234,920","267,815","273,800","340,183","299,522","313,679","459,662","582,448","112,401"
2020년12월_계_60~69세,"6,744,506","1,243,954","531,620","325,957","367,879","163,784","179,153","145,347","30,139","1,532,434","241,578","223,341","279,372","255,829","272,377","409,250","462,731","79,761"
2020년12월_계_70~79세,"3,698,246","704,076","293,299","175,276","177,503","93,541","91,320","60,168","14,392","765,815","135,459","120,519","171,439","170,340","192,906","241,411","245,191","45,591"
2020년12월_계_80~89세,"1,729,422","278,094","115,680","77,665","77,504","39,671","40,519","22,712","7,109","348,213","72,012","65,569","99,965","91,504","109,618","135,047","124,648","23,892"
2020년12월_계_90~99세,"252,460","42,683","15,028","9,429","12,341","5,875","5,841","3,086","1,200","52,389","11,264","9,209","14,384","13,645","16,067","18,786","17,174","4,059"
2020년12월_계_100세 이상,"21,912","6,792","1,887",733,969,424,371,175,50,"4,315",864,569,921,856,870,993,827,296
2020년12월_남_총인구수,"25,841,029","4,701,723","1,661,000","1,193,109","1,473,943","717,348","730,699","583,708","177,568","6,754,469","776,505","811,591","1,082,634","896,874","930,615","1,329,211","1,681,423","338,609"
2020년12월_남_연령구간인구수,"25,841,029","4,701,723","1,661,000","1,193,109","1,473,943","717,348","730,699","583,708","177,568","6,754,469","776,505","811,591","1,082,634","896,874","930,615","1,329,211","1,681,423","338,609"
2020년12월_남_0~9세,"2,035,712","320,275","119,173","91,285","117,356","61,487","58,822","50,619","24,188","586,787","54,030","63,068","88,428","66,002","67,356","97,729","138,139","30,968"
2020년12월_남_10~19세,"2,478,773","401,285","140,558","118,103","141,025","81,458","75,777","59,174","21,419","682,846","71,555","77,703","105,190","90,603","86,808","118,670","169,631","36,968"
2020년12월_남_20~29세,"3,573,667","707,669","224,517","171,675","209,363","109,335","111,421","81,200","19,050","951,737","101,305","110,849","134,208","114,209","112,080","160,830","210,511","43,708"
2020년12월_남_30~39세,"3,541,548","737,901","214,297","153,070","210,025","94,869","101,293","80,565","30,004","982,843","87,423","103,283","144,598","97,465","97,929","155,283","208,912","41,788"
2020년12월_남_40~49세,"4,214,971","756,950","257,288","189,358","247,402","119,545","118,238","95,644","35,188","1,168,836","115,276","124,974","174,709","138,330","138,946","200,206","276,112","57,969"
2020년12월_남_50~59세,"4,362,544","748,582","276,068","208,340","256,037","115,860","120,638","106,610","23,494","1,132,305","137,661","140,958","179,676","154,888","168,090","237,742","297,249","58,346"
2020년12월_남_60~69세,"3,298,604","587,294","251,584","155,170","182,261","78,051","87,060","73,250","14,935","761,522","120,154","111,733","139,575","126,312","137,191","202,941","230,016","39,555"
