카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년01월_계_총인구수,"532,569","32,633","36,865","28,815","15,819","23,698","22,668","29,094","29,351","16,180","25,420","18,359","22,144","16,153","25,523","20,837","39,322","21,922","32,545","33,398","41,823"
2020년01월_계_연령구간인구수,"532,569","32,633","36,865","28,815","15,819","23,698","22,668","29,094","29,351","16,180","25,420","18,359","22,144","16,153","25,523","20,837","39,322","21,922","32,545","33,398","41,823"
2020년01월_계_0~9세,"45,349","3,590","3,874","1,683",779,"1,439","1,812","1,826","1,940",813,"1,982","1,435","1,648",765,"1,691","1,826","6,314","1,471","3,039","2,743","4,679"
2020년01월_계_10~19세,"51,719","3,055","4,629","1,771","1,225","1,753","2,152","2,262","2,467","1,150","2,591","1,749","2,108","1,104","2,481","2,299","3,540","2,075","3,779","3,565","5,964"
2020년01월_계_20~29세,"72,371","4,304","4,468","6,376","2,211","3,420","3,002","4,255","4,396","2,059","3,416","2,561","3,037","2,302","3,638","2,472","3,756","3,016","4,227","4,649","4,806"
2020년01월_계_30~39세,"76,706","5,237","4,880","5,514","1,865","3,458","2,949","4,092","4,305","1,984","3,326","2,434","3,010","2,006","3,072","2,659","8,066","2,482","4,757","4,897","5,713"
2020년01월_계_40~49세,"90,331","5,615","6,866","4,496","2,494","3,649","3,972","4,465","4,590","2,405","4,318","2,907","3,502","2,263","3,972","3,578","7,015","3,590","5,930","5,842","8,862"
2020년01월_계_50~59세,"91,258","5,243","5,878","4,348","3,202","4,195","3,856","5,537","5,351","3,136","4,469","3,391","3,934","3,229","5,003","3,541","4,977","4,434","5,486","5,558","6,490"
2020년01월_계_60~69세,"61,416","3,399","3,813","2,754","2,205","3,127","2,854","3,841","3,717","2,399","3,209","2,300","2,892","2,578","3,221","2,726","3,653","2,843","3,187","3,399","3,299"
2020년01월_계_70~79세,"29,620","1,476","1,765","1,306","1,240","1,795","1,450","1,960","1,746","1,431","1,497","1,134","1,321","1,369","1,541","1,214","1,436","1,379","1,431","1,801","1,328"
2020년01월_계_80~89세,"11,785",605,569,493,519,744,515,735,715,714,511,375,588,467,752,454,489,557,591,809,583
2020년01월_계_90~99세,"1,896",105,113,72,71,108,103,108,113,87,87,64,101,69,146,67,73,72,114,128,95
2020년01월_계_100세 이상,118,4,10,2,8,10,3,13,11,2,14,9,3,1,6,1,3,3,4,7,4
2020년01월_남_총인구수,"264,835","15,924","18,191","14,354","8,029","11,729","11,420","14,581","14,654","7,810","12,484","9,234","10,859","8,150","12,461","10,365","19,490","11,249","16,319","16,845","20,687"
2020년01월_남_연령구간인구수,"264,835","15,924","18,191","14,354","8,029","11,729","11,420","14,581","14,654","7,810","12,484","9,234","10,859","8,150","12,461","10,365","19,490","11,249","16,319","16,845","20,687"
2020년01월_남_0~9세,"23,319","1,841","2,006",893,424,777,944,927,988,416,986,743,819,400,866,931,"3,233",746,"1,537","1,432","2,410"
2020년01월_남_10~19세,"26,412","1,486","2,418",877,658,906,"1,144","1,099","1,242",585,"1,286",893,"1,099",556,"1,247","1,190","1,856","1,118","1,932","1,861","2,959"
2020년01월_남_20~29세,"37,433","2,139","2,336","2,931","1,159","1,758","1,571","2,173","2,238","1,050","1,788","1,341","1,634","1,265","1,915","1,323","1,847","1,663","2,257","2,505","2,540"
2020년01월_남_30~39세,"39,311","2,518","2,283","2,998","1,051","1,844","1,505","2,181","2,293","1,052","1,715","1,295","1,584","1,123","1,597","1,327","3,897","1,303","2,482","2,644","2,619"
2020년01월_남_40~49세,"45,965","2,899","3,319","2,404","1,319","1,890","2,067","2,360","2,307","1,264","2,169","1,482","1,681","1,229","1,885","1,803","3,695","1,882","3,017","2,973","4,320"
2020년01월_남_50~59세,"44,940","2,544","2,939","2,132","1,624","2,032","1,919","2,775","2,639","1,542","2,120","1,688","1,883","1,572","2,412","1,695","2,309","2,265","2,717","2,764","3,369"
2020년01월_남_60~69세,"29,761","1,606","1,812","1,317","1,064","1,475","1,379","1,892","1,863","1,129","1,520","1,141","1,356","1,209","1,614","1,342","1,799","1,430","1,547","1,599","1,667"
2020년01월_남_70~79세,"13,337",683,833,590,545,790,674,876,817,557,700,515,595,614,672,567,691,638,621,766,593
2020년01월_남_80~89세,"3,940",189,213,188,171,243,183,268,242,198,179,120,180,173,225,171,152,189,189,275,192
2020년01월_남_90~99세,390,19,29,24,13,13,33,24,23,17,17,12,28,9,28,16,10,13,19,25,18
2020년01월_남_100세 이상,27,0,3,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,1,0
2020년01월_여_총인구수,"267,734","16,709","18,674","14,461","7,790","11,969","11,248","14,513","14,697","8,370","12,936","9,125","11,285","8,003","13,062","10,472","19,832","10,673","16,226","16,553","21,136"
2020년01월_여_연령구간인구수,"267,734","16,709","18,674","14,461","7,790","11,969","11,248","14,513","14,697","8,370","12,936","9,125","11,285","8,003","13,062","10,472","19,832","10,673","16,226","16,553","21,136"
2020년01월_여_0~9세,"22,030","1,749","1,868",790,355,662,868,899,952,397,996,692,829,365,825,895,"3,081",725,"1,502","1,311","2,269"
2020년01월_여_10~19세,"25,307","1,569","2,211",894,567,847,"1,008","1,163","1,225",565,"1,305",856,"1,009",548,"1,234","1,109","1,684",957,"1,847","1,704","3,005"
2020년01월_여_20~29세,"34,938","2,165","2,132","3,445","1,052","1,662","1,431","2,082","2,158","1,009","1,628","1,220","1,403","1,037","1,723","1,149","1,909","1,353","1,970","2,144","2,266"
2020년01월_여_30~39세,"37,395","2,719","2,597","2,516",814,"1,614","1,444","1,911","2,012",932,"1,611","1,139","1,426",883,"1,475","1,332","4,169","1,179","2,275","2,253","3,094"
2020년01월_여_40~49세,"44,366","2,716","3,547","2,092","1,175","1,759","1,905","2,105","2,283","1,141","2,149","1,425","1,821","1,034","2,087","1,775","3,320","1,708","2,913","2,869","4,542"
2020년01월_여_50~59세,"46,318","2,699","2,939","2,216","1,578","2,163","1,937","2,762","2,712","1,594","2,349","1,703","2,051","1,657","2,591","1,846","2,668","2,169","2,769","2,794","3,121"
2020년01월_여_60~69세,"31,655","1,793","2,001","1,437","1,141","1,652","1,475","1,949","1,854","1,270","1,689","1,159","1,536","1,369","1,607","1,384","1,854","1,413","1,640","1,800","1,632"
2020년01월_여_70~79세,"16,283",793,932,716,695,"1,005",776,"1,084",929,874,797,619,726,755,869,647,745,741,810,"1,035",735
2020년01월_여_80~89세,"7,845",416,356,305,348,501,332,467,473,516,332,255,408,294,527,283,337,368,402,534,391
2020년01월_여_90~99세,"1,506",86,84,48,58,95,70,84,90,70,70,52,73,60,118,51,63,59,95,103,77
2020년01월_여_100세 이상,91,4,7,2,7,9,2,7,9,2,10,5,3,1,6,1,2,1,3,6,4
