카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년12월_계_총인구수,"311,757","20,127","14,343","12,984","11,346","27,246","21,792","25,446","17,685","16,012","11,175","28,080","39,923","28,094","11,680","19,425","6,399"
2020년12월_계_연령구간인구수,"311,757","20,127","14,343","12,984","11,346","27,246","21,792","25,446","17,685","16,012","11,175","28,080","39,923","28,094","11,680","19,425","6,399"
2020년12월_계_0~9세,"19,969","1,103",903,552,534,"1,697","1,250","1,460","1,110","1,109",978,"1,996","3,147","1,736","1,299",957,138
2020년12월_계_10~19세,"25,385","1,603","1,128",764,792,"2,339","1,697","2,023","1,192","1,337",981,"2,476","4,004","2,500",839,"1,454",256
2020년12월_계_20~29세,"39,828","2,353","1,552","1,469","1,426","3,482","3,644","5,069","1,974","2,149","1,062","3,561","4,575","3,367","1,324","2,266",555
2020년12월_계_30~39세,"36,977","2,289","1,526","1,561","1,142","3,090","2,871","3,189","2,201","2,241","1,534","3,741","4,414","2,773","2,058","1,883",464
2020년12월_계_40~49세,"46,023","2,750","2,201","1,678","1,592","3,912","2,992","3,511","2,634","2,419","2,013","4,463","6,587","4,043","1,818","2,645",765
2020년12월_계_50~59세,"54,882","3,450","2,325","2,214","1,965","4,841","3,658","4,178","3,226","2,938","1,782","4,934","7,176","5,439","1,832","3,694","1,230"
2020년12월_계_60~69세,"51,242","3,512","2,590","2,598","2,162","4,648","3,347","3,546","3,075","2,434","1,638","4,339","5,801","4,829","1,589","3,772","1,362"
2020년12월_계_70~79세,"26,235","2,036","1,532","1,508","1,229","2,306","1,633","1,770","1,609",976,874,"1,934","2,868","2,265",663,"1,963","1,069"
2020년12월_계_80~89세,"9,701",868,508,556,442,827,617,624,554,350,286,556,"1,172",974,210,683,474
2020년12월_계_90~99세,"1,353",135,69,72,55,95,73,72,87,57,25,77,168,161,42,95,70
2020년12월_계_100세 이상,162,28,9,12,7,9,10,4,23,2,2,3,11,7,6,13,16
2020년12월_남_총인구수,"155,228","9,705","7,037","6,262","5,491","13,373","10,869","12,646","9,059","8,010","5,788","14,265","20,055","13,810","5,966","9,611","3,281"
2020년12월_남_연령구간인구수,"155,228","9,705","7,037","6,262","5,491","13,373","10,869","12,646","9,059","8,010","5,788","14,265","20,055","13,810","5,966","9,611","3,281"
2020년12월_남_0~9세,"10,240",582,474,297,283,883,632,751,570,568,493,"1,055","1,569",869,685,472,57
2020년12월_남_10~19세,"13,202",859,569,390,388,"1,233",863,988,617,717,522,"1,294","2,150","1,289",448,743,132
