카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년01월_계_총인구수,"255,253","5,602","25,816","9,681","18,737","4,431","6,379","4,865","3,278","3,312","21,674","6,490","5,558","5,520","6,815","14,456","5,152","15,109","6,064","21,651","29,614","23,357","9,848","1,844"
2020년01월_계_연령구간인구수,"255,253","5,602","25,816","9,681","18,737","4,431","6,379","4,865","3,278","3,312","21,674","6,490","5,558","5,520","6,815","14,456","5,152","15,109","6,064","21,651","29,614","23,357","9,848","1,844"
2020년01월_계_0~9세,"16,887",164,"1,319",383,"1,020",248,316,107,57,70,"2,392",206,229,229,195,511,112,"1,273",389,"2,713","2,797","1,405",680,72
2020년01월_계_10~19세,"21,926",222,"2,237",528,"1,100",207,356,221,87,145,"2,532",377,360,338,380,937,233,"1,787",359,"2,459","3,924","2,437",597,103
2020년01월_계_20~29세,"27,846",414,"2,623",806,"1,871",468,633,321,164,205,"2,394",542,539,601,702,"2,127",408,"1,936",512,"2,499","3,846","3,169",898,168
2020년01월_계_30~39세,"26,434",359,"1,977",730,"2,038",527,519,280,150,177,"3,097",438,524,551,582,"1,400",357,"1,608",581,"3,117","3,498","2,528","1,247",149
2020년01월_계_40~49세,"37,821",649,"3,592","1,093","2,598",413,779,452,212,345,"3,811",787,690,693,812,"1,934",554,"2,663",790,"3,892","5,576","3,951","1,300",235
2020년01월_계_50~59세,"47,083","1,051","5,182","1,778","3,840",681,"1,357",947,636,589,"3,438","1,317","1,067",978,"1,249","2,508",930,"2,738","1,068","3,648","5,388","4,551","1,801",341
2020년01월_계_60~69세,"38,993","1,224","4,257","2,004","3,247",796,"1,232","1,101",907,746,"2,209","1,286","1,007","1,043","1,432","2,637","1,120","1,670","1,118","1,970","2,778","3,172","1,656",381
2020년01월_계_70~79세,"24,004",950,"2,894","1,433","1,829",614,740,811,644,652,"1,119",900,720,730,982,"1,713",866,904,772,866,"1,128","1,454","1,022",261
2020년01월_계_80~89세,"12,573",495,"1,562",813,"1,053",415,379,557,364,350,601,559,375,318,419,615,505,470,422,418,591,625,555,112
2020년01월_계_90~99세,"1,596",73,162,105,135,60,67,65,54,31,78,76,45,31,52,72,60,58,52,64,85,64,87,20
2020년01월_계_100세 이상,90,1,11,8,6,2,1,3,3,2,3,2,2,8,10,2,7,2,1,5,3,1,5,2
2020년01월_남_총인구수,"127,829","2,808","12,863","4,932","9,902","2,320","3,386","2,433","1,624","1,661","10,698","3,299","2,899","2,728","3,314","7,171","2,536","7,551","3,022","10,605","14,631","11,662","4,862",922
2020년01월_남_연령구간인구수,"127,829","2,808","12,863","4,932","9,902","2,320","3,386","2,433","1,624","1,661","10,698","3,299","2,899","2,728","3,314","7,171","2,536","7,551","3,022","10,605","14,631","11,662","4,862",922
2020년01월_남_0~9세,"8,630",87,690,194,507,125,169,51,32,38,"1,236",94,123,110,87,281,59,643,206,"1,378","1,437",700,348,35
2020년01월_남_10~19세,"11,482",115,"1,118",304,587,127,193,111,46,98,"1,281",201,189,188,204,483,112,954,195,"1,231","2,101","1,284",314,46
2020년01월_남_20~29세,"15,729",252,"1,523",503,"1,105",289,415,186,101,119,"1,278",305,304,332,387,"1,210",237,"1,085",309,"1,369","2,102","1,772",458,88
