,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년06월_계_총인구수,"3,364,358","40,561","106,422","87,916","111,685","356,091","268,391","264,098","283,612","399,015","307,559","229,222","140,720","206,239","175,877","210,333","176,617"
2021년06월_계_연령구간인구수,"3,364,358","40,561","106,422","87,916","111,685","356,091","268,391","264,098","283,612","399,015","307,559","229,222","140,720","206,239","175,877","210,333","176,617"
2021년06월_계_0~9세,"225,716","1,200","5,502","4,022","5,008","20,716","19,127","17,262","18,689","27,798","19,017","12,576","19,913","14,082","10,192","11,777","18,835"
2021년06월_계_10~19세,"268,079","1,949","7,202","4,950","7,218","24,425","24,689","22,707","22,756","37,375","24,773","17,277","12,388","16,283","11,590","14,739","17,758"
2021년06월_계_20~29세,"424,072","5,724","13,363","10,348","11,792","52,287","32,023","34,614","36,711","47,953","39,020","32,546","12,621","25,341","24,075","28,461","17,193"
2021년06월_계_30~39세,"411,026","4,431","10,905","10,409","10,402","47,464","32,264","29,009","33,680","45,985","35,656","24,486","27,204","26,206","23,680","24,629","24,616"
2021년06월_계_40~49세,"505,849","5,223","14,394","11,634","14,874","50,855","42,788","41,131","40,125","64,983","45,178","31,546","24,813","31,471","25,173","28,909","32,752"
2021년06월_계_50~59세,"557,505","6,825","17,329","14,342","18,844","57,168","43,600","42,254","52,802","69,425","53,609","39,367","16,972","33,476","27,181","39,753","24,558"
2021년06월_계_60~69세,"542,673","7,847","19,246","16,129","22,326","56,858","41,680","41,195","47,455","59,362","52,507","39,508","16,602","33,007","28,937","37,873","22,141"
2021년06월_계_70~79세,"294,173","4,938","12,235","10,654","14,457","31,513","22,451","24,916","21,725","30,925","26,442","21,633","6,973","18,235","17,114","17,355","12,607"
2021년06월_계_80~89세,"119,680","2,084","5,532","4,790","6,022","13,275","8,633","9,807","8,562","13,385","9,983","9,057","2,765","7,258","6,998","6,138","5,391"
2021년06월_계_90~99세,"14,827",322,686,573,689,"1,465","1,064","1,137","1,071","1,752","1,334","1,160",446,840,902,654,732
2021년06월_계_100세 이상,758,18,28,65,53,65,72,66,36,72,40,66,23,40,35,45,34
2021년06월_남_총인구수,"1,647,291","19,799","51,510","43,012","55,061","171,921","130,542","129,199","140,238","191,985","153,124","112,056","72,824","99,280","83,071","106,185","87,484"
2021년06월_남_연령구간인구수,"1,647,291","19,799","51,510","43,012","55,061","171,921","130,542","129,199","140,238","191,985","153,124","112,056","72,824","99,280","83,071","106,185","87,484"
2021년06월_남_0~9세,"115,835",624,"2,881","2,120","2,538","10,503","9,879","8,801","9,654","14,354","9,771","6,450","10,289","7,110","5,233","6,011","9,617"
2021년06월_남_10~19세,"138,191",976,"3,652","2,544","3,709","12,374","12,847","11,715","11,846","19,284","12,822","8,910","6,290","8,377","5,958","7,671","9,216"
2021년06월_남_20~29세,"220,483","2,795","6,522","5,220","6,469","25,500","16,732","18,327","19,709","25,015","20,894","17,602","6,853","12,855","11,671","15,195","9,124"
2021년06월_남_30~39세,"210,610","2,413","5,620","5,524","5,626","24,197","16,203","14,880","17,536","22,488","18,966","12,772","13,889","13,164","11,813","13,281","12,238"
2021년06월_남_40~49세,"255,059","2,875","7,455","6,242","7,771","25,779","20,964","20,638","19,957","30,870","23,171","15,707","13,832","15,395","12,407","15,239","16,757"
2021년06월_남_50~59세,"271,283","3,437","8,887","7,379","9,698","27,768","20,726","20,671","25,036","33,091","26,339","18,750","8,748","15,886","12,583","19,799","12,485"
2021년06월_남_60~69세,"256,452","3,708","8,976","7,591","10,691","26,681","19,328","18,984","23,351","28,027","25,236","18,421","8,412","15,146","12,824","18,765","10,311"
2021년06월_남_70~79세,"132,793","2,135","5,336","4,603","6,298","13,982","10,323","11,163","10,026","13,673","12,151","9,862","3,484","8,324","7,646","8,046","5,741"
2021년06월_남_80~89세,"43,316",756,"2,035","1,633","2,121","4,829","3,294","3,768","2,912","4,773","3,512","3,309",947,"2,820","2,693","2,064","1,850"
2021년06월_남_90~99세,"3,120",76,140,137,135,295,233,239,208,388,252,264,74,191,235,110,143
2021년06월_남_100세 이상,149,4,6,19,5,13,13,13,3,22,10,9,6,12,8,4,2
2021년06월_여_총인구수,"1,717,067","20,762","54,912","44,904","56,624","184,170","137,849","134,899","143,374","207,030","154,435","117,166","67,896","106,959","92,806","104,148","89,133"
2021년06월_여_연령구간인구수,"1,717,067","20,762","54,912","44,904","56,624","184,170","137,849","134,899","143,374","207,030","154,435","117,166","67,896","106,959","92,806","104,148","89,133"
2021년06월_여_0~9세,"109,881",576,"2,621","1,902","2,470","10,213","9,248","8,461","9,035","13,444","9,246","6,126","9,624","6,972","4,959","5,766","9,218"
2021년06월_여_10~19세,"129,888",973,"3,550","2,406","3,509","12,051","11,842","10,992","10,910","18,091","11,951","8,367","6,098","7,906","5,632","7,068","8,542"
2021년06월_여_20~29세,"203,589","2,929","6,841","5,128","5,323","26,787","15,291","16,287","17,002","22,938","18,126","14,944","5,768","12,486","12,404","13,266","8,069"
2021년06월_여_30~39세,"200,416","2,018","5,285","4,885","4,776","23,267","16,061","14,129","16,144","23,497","16,690","11,714","13,315","13,042","11,867","11,348","12,378"
2021년06월_여_40~49세,"250,790","2,348","6,939","5,392","7,103","25,076","21,824","20,493","20,168","34,113","22,007","15,839","10,981","16,076","12,766","13,670","15,995"
2021년06월_여_50~59세,"286,222","3,388","8,442","6,963","9,146","29,400","22,874","21,583","27,766","36,334","27,270","20,617","8,224","17,590","14,598","19,954","12,073"
2021년06월_여_60~69세,"286,221","4,139","10,270","8,538","11,635","30,177","22,352","22,211","24,104","31,335","27,271","21,087","8,190","17,861","16,113","19,108","11,830"
2021년06월_여_70~79세,"161,380","2,803","6,899","6,051","8,159","17,531","12,128","13,753","11,699","17,252","14,291","11,771","3,489","9,911","9,468","9,309","6,866"
2021년06월_여_80~89세,"76,364","1,328","3,497","3,157","3,901","8,446","5,339","6,039","5,650","8,612","6,471","5,748","1,818","4,438","4,305","4,074","3,541"
2021년06월_여_90~99세,"11,707",246,546,436,554,"1,170",831,898,863,"1,364","1,082",896,372,649,667,544,589
2021년06월_여_100세 이상,609,14,22,46,48,52,59,53,33,50,30,57,17,28,27,41,32
