카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년09월_계_총인구수,"1,139,368","218,862","321,494","157,396","218,903","222,713"
2020년09월_계_연령구간인구수,"1,139,368","218,862","321,494","157,396","218,903","222,713"
2020년09월_계_0~9세,"100,233","16,968","24,255","15,232","25,608","18,170"
2020년09월_계_10~19세,"112,963","20,290","30,881","15,554","23,628","22,610"
2020년09월_계_20~29세,"145,758","27,237","46,087","17,915","27,962","26,557"
2020년09월_계_30~39세,"154,000","26,841","42,730","23,541","34,679","26,209"
2020년09월_계_40~49세,"188,666","34,622","52,070","25,913","38,495","37,566"
2020년09월_계_50~59세,"210,198","41,693","62,109","26,001","38,632","41,763"
2020년09월_계_60~69세,"142,582","31,327","40,842","22,298","19,166","28,949"
2020년09월_계_70~79세,"59,335","14,110","16,274","8,112","7,301","13,538"
2020년09월_계_80~89세,"22,399","5,103","5,539","2,446","2,971","6,340"
2020년09월_계_90~99세,"3,064",615,674,358,440,977
2020년09월_계_100세 이상,170,56,33,26,21,34
2020년09월_남_총인구수,"585,387","110,913","163,939","82,303","113,315","114,917"
2020년09월_남_연령구간인구수,"585,387","110,913","163,939","82,303","113,315","114,917"
2020년09월_남_0~9세,"51,481","8,777","12,475","7,799","13,136","9,294"
2020년09월_남_10~19세,"59,501","10,836","16,325","8,210","12,350","11,780"
2020년09월_남_20~29세,"81,812","15,169","25,723","10,091","15,752","15,077"
2020년09월_남_30~39세,"81,717","14,114","22,680","12,995","18,012","13,916"
2020년09월_남_40~49세,"95,926","17,595","25,386","14,044","19,680","19,221"
2020년09월_남_50~59세,"107,078","20,791","31,274","12,875","20,020","22,118"
2020년09월_남_60~69세,"71,917","15,282","20,287","11,324","10,042","14,982"
2020년09월_남_70~79세,"28,071","6,472","7,773","4,127","3,380","6,319"
2020년09월_남_80~89세,"7,339","1,762","1,890",784,872,"2,031"
2020년09월_남_90~99세,511,103,118,49,67,174
2020년09월_남_100세 이상,34,12,8,5,4,5
2020년09월_여_총인구수,"553,981","107,949","157,555","75,093","105,588","107,796"
2020년09월_여_연령구간인구수,"553,981","107,949","157,555","75,093","105,588","107,796"
2020년09월_여_0~9세,"48,752","8,191","11,780","7,433","12,472","8,876"
2020년09월_여_10~19세,"53,462","9,454","14,556","7,344","11,278","10,830"
2020년09월_여_20~29세,"63,946","12,068","20,364","7,824","12,210","11,480"
2020년09월_여_30~39세,"72,283","12,727","20,050","10,546","16,667","12,293"
2020년09월_여_40~49세,"92,740","17,027","26,684","11,869","18,815","18,345"
2020년09월_여_50~59세,"103,120","20,902","30,835","13,126","18,612","19,645"
2020년09월_여_60~69세,"70,665","16,045","20,555","10,974","9,124","13,967"
2020년09월_여_70~79세,"31,264","7,638","8,501","3,985","3,921","7,219"
2020년09월_여_80~89세,"15,060","3,341","3,649","1,662","2,099","4,309"
2020년09월_여_90~99세,"2,553",512,556,309,373,803
2020년09월_여_100세 이상,136,44,25,21,17,29
