,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년03월_계_총인구수,"301,395","25,890","30,576","20,486","15,982","20,423","23,993","29,269","19,772","31,313","21,768","35,242","26,681"
2020년03월_계_연령구간인구수,"301,395","25,890","30,576","20,486","15,982","20,423","23,993","29,269","19,772","31,313","21,768","35,242","26,681"
2020년03월_계_0~9세,"19,955","1,460","2,116",915,652,"1,071","1,619","2,033",976,"2,283","1,625","2,012","3,193"
2020년03월_계_10~19세,"28,042","2,443","2,908","1,398","1,083","1,760","2,734","2,972","1,475","3,540","1,888","3,016","2,825"
2020년03월_계_20~29세,"45,468","3,781","4,453","3,200","2,553","3,550","4,133","4,439","2,973","4,801","3,136","5,458","2,991"
2020년03월_계_30~39세,"39,164","2,972","3,814","2,658","2,005","2,906","2,731","3,793","2,681","3,963","2,818","4,621","4,202"
2020년03월_계_40~49세,"47,514","3,849","4,687","2,925","2,179","2,898","4,120","4,632","2,696","5,438","3,361","5,528","5,201"
2020년03월_계_50~59세,"61,835","5,454","6,272","4,506","3,535","4,565","5,374","5,903","4,176","6,445","4,328","7,274","4,003"
2020년03월_계_60~69세,"36,176","3,576","3,969","2,993","2,470","2,443","2,100","3,476","2,913","2,852","2,665","4,104","2,615"
2020년03월_계_70~79세,"15,110","1,546","1,628","1,267","1,003",756,616,"1,330","1,278","1,231","1,265","2,060","1,130"
2020년03월_계_80~89세,"7,025",691,663,564,417,400,474,593,515,649,597,"1,010",452
2020년03월_계_90~99세,"1,044",106,62,54,81,70,90,94,82,104,83,150,68
2020년03월_계_100세 이상,62,12,4,6,4,4,2,4,7,7,2,9,1
2020년03월_남_총인구수,"150,492","13,078","15,461","10,691","7,971","9,878","12,060","14,453","9,889","15,613","10,762","17,476","13,160"
2020년03월_남_연령구간인구수,"150,492","13,078","15,461","10,691","7,971","9,878","12,060","14,453","9,889","15,613","10,762","17,476","13,160"
2020년03월_남_0~9세,"10,142",726,"1,072",501,327,567,806,"1,020",500,"1,130",833,"1,004","1,656"
2020년03월_남_10~19세,"14,487","1,312","1,504",725,552,931,"1,417","1,513",765,"1,798",986,"1,549","1,435"
2020년03월_남_20~29세,"23,728","1,995","2,377","1,711","1,326","1,818","2,111","2,356","1,535","2,564","1,570","2,871","1,494"
2020년03월_남_30~39세,"20,258","1,584","2,011","1,474","1,106","1,474","1,344","1,909","1,467","2,026","1,421","2,451","1,991"
2020년03월_남_40~49세,"23,610","1,931","2,360","1,582","1,091","1,293","1,974","2,225","1,390","2,617","1,692","2,745","2,710"
2020년03월_남_50~59세,"30,337","2,729","3,076","2,352","1,713","2,064","2,734","2,864","1,991","3,214","2,092","3,568","1,940"
2020년03월_남_60~69세,"18,687","1,828","2,036","1,575","1,248","1,291","1,261","1,777","1,461","1,519","1,373","2,102","1,216"
2020년03월_남_70~79세,"6,754",713,776,586,457,320,269,583,576,520,572,844,538
2020년03월_남_80~89세,"2,244",230,236,171,135,103,131,179,184,203,205,306,161
2020년03월_남_90~99세,230,28,13,12,16,15,13,26,17,20,17,34,19
2020년03월_남_100세 이상,15,2,0,2,0,2,0,1,3,2,1,2,0
2020년03월_여_총인구수,"150,903","12,812","15,115","9,795","8,011","10,545","11,933","14,816","9,883","15,700","11,006","17,766","13,521"
2020년03월_여_연령구간인구수,"150,903","12,812","15,115","9,795","8,011","10,545","11,933","14,816","9,883","15,700","11,006","17,766","13,521"
2020년03월_여_0~9세,"9,813",734,"1,044",414,325,504,813,"1,013",476,"1,153",792,"1,008","1,537"
2020년03월_여_10~19세,"13,555","1,131","1,404",673,531,829,"1,317","1,459",710,"1,742",902,"1,467","1,390"
2020년03월_여_20~29세,"21,740","1,786","2,076","1,489","1,227","1,732","2,022","2,083","1,438","2,237","1,566","2,587","1,497"
2020년03월_여_30~39세,"18,906","1,388","1,803","1,184",899,"1,432","1,387","1,884","1,214","1,937","1,397","2,170","2,211"
2020년03월_여_40~49세,"23,904","1,918","2,327","1,343","1,088","1,605","2,146","2,407","1,306","2,821","1,669","2,783","2,491"
2020년03월_여_50~59세,"31,498","2,725","3,196","2,154","1,822","2,501","2,640","3,039","2,185","3,231","2,236","3,706","2,063"
2020년03월_여_60~69세,"17,489","1,748","1,933","1,418","1,222","1,152",839,"1,699","1,452","1,333","1,292","2,002","1,399"
2020년03월_여_70~79세,"8,356",833,852,681,546,436,347,747,702,711,693,"1,216",592
2020년03월_여_80~89세,"4,781",461,427,393,282,297,343,414,331,446,392,704,291
2020년03월_여_90~99세,814,78,49,42,65,55,77,68,65,84,66,116,49
2020년03월_여_100세 이상,47,10,4,4,4,2,2,3,4,5,1,7,1
