카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년02월_계_총인구수,"544,465","46,285","42,367","31,382","49,069","27,009","28,492","6,726","10,114","22,977","13,785","15,183","32,753","11,956","20,912","16,662","11,046","33,229","23,024","24,581","28,518","24,896","23,499"
2020년02월_계_연령구간인구수,"544,465","46,285","42,367","31,382","49,069","27,009","28,492","6,726","10,114","22,977","13,785","15,183","32,753","11,956","20,912","16,662","11,046","33,229","23,024","24,581","28,518","24,896","23,499"
2020년02월_계_0~9세,"52,681","4,996","2,648","4,078","7,203","4,255","3,446",365,521,"1,336",818,685,"2,908",600,"1,509",755,805,"2,932","2,095","2,700","3,188","2,470","2,368"
2020년02월_계_10~19세,"57,498","4,526","3,781","4,375","6,177","3,510","2,156",475,843,"1,657",947,"1,392","3,131",895,"2,059","1,373",802,"3,502","2,953","3,544","3,342","2,743","3,315"
2020년02월_계_20~29세,"73,368","6,560","6,811","3,761","5,843","2,859","3,553","1,078","1,671","3,397","1,854","2,361","4,506","1,676","3,167","2,330","1,503","4,767","2,862","2,622","3,873","3,189","3,125"
2020년02월_계_30~39세,"82,263","8,754","5,188","6,127","8,624","5,006","5,240",924,"1,195","3,002","1,659","1,662","4,677","1,482","2,679","1,899","1,735","4,880","2,673","3,590","4,827","3,409","3,031"
2020년02월_계_40~49세,"96,514","8,561","6,723","6,441","9,896","5,360","4,486",875,"1,428","3,417","1,992","2,317","5,149","1,897","3,095","2,361","1,630","5,967","4,637","5,716","5,529","4,423","4,614"
2020년02월_계_50~59세,"93,122","6,804","8,891","3,893","6,465","3,571","4,676","1,637","2,349","4,850","2,861","3,296","6,202","2,551","4,115","3,463","2,081","5,791","3,833","3,315","4,384","4,380","3,714"
2020년02월_계_60~69세,"54,104","3,729","4,844","1,734","3,247","1,680","3,082",923,"1,333","3,245","2,191","2,049","4,028","1,671","2,704","2,684","1,562","3,182","2,065","1,708","1,999","2,530","1,914"
2020년02월_계_70~79세,"23,389","1,658","2,183",642,"1,105",503,"1,259",276,506,"1,409",994,971,"1,500",830,"1,043","1,216",595,"1,487","1,276",938,909,"1,142",947
