,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년05월_계_총인구수,"303,154","24,099","21,888","29,871","26,874","31,450","18,641","16,151","17,190","20,863","21,388","23,166","20,694","30,879"
2021년05월_계_연령구간인구수,"303,154","24,099","21,888","29,871","26,874","31,450","18,641","16,151","17,190","20,863","21,388","23,166","20,694","30,879"
2021년05월_계_0~9세,"15,018","1,244",744,"1,503","1,017","2,905",649,642,927,986,"1,038",781,"1,069","1,513"
2021년05월_계_10~19세,"21,374","1,916","1,306","1,996","1,581","3,934","1,066","1,038","1,284","1,315","1,402","1,084","1,378","2,074"
2021년05월_계_20~29세,"42,159","3,152","3,800","4,242","3,570","3,330","3,176","2,222","1,886","3,022","2,948","4,197","2,601","4,013"
2021년05월_계_30~39세,"37,811","2,915","2,865","4,010","3,193","3,700","2,703","1,754","1,691","2,766","2,520","3,340","2,588","3,766"
2021년05월_계_40~49세,"45,422","3,553","2,990","4,483","3,788","6,374","2,851","2,339","2,545","2,932","3,046","3,227","2,909","4,385"
2021년05월_계_50~59세,"51,932","4,345","3,791","5,142","4,981","4,966","3,093","2,712","2,781","3,556","3,726","3,967","3,562","5,310"
2021년05월_계_60~69세,"46,573","3,803","3,393","4,629","4,646","3,360","2,658","2,680","2,711","3,372","3,433","3,480","3,330","5,078"
2021년05월_계_70~79세,"29,491","2,180","2,042","2,728","2,847","1,972","1,733","1,984","2,483","1,942","2,127","2,121","2,153","3,179"
2021년05월_계_80~89세,"11,904",869,865,"1,021","1,113",815,638,699,798,856,"1,016",872,970,"1,372"
2021년05월_계_90~99세,"1,421",117,91,110,129,89,74,79,81,112,130,96,128,185
2021년05월_계_100세 이상,49,5,1,7,9,5,0,2,3,4,2,1,6,4
2021년05월_남_총인구수,"147,824","12,009","10,596","14,346","13,351","15,098","9,415","7,821","8,069","10,345","10,239","11,516","10,065","14,954"
2021년05월_남_연령구간인구수,"147,824","12,009","10,596","14,346","13,351","15,098","9,415","7,821","8,069","10,345","10,239","11,516","10,065","14,954"
2021년05월_남_0~9세,"7,777",654,390,773,516,"1,507",346,342,470,501,540,396,557,785
2021년05월_남_10~19세,"10,949","1,009",683,967,804,"1,984",551,544,650,658,751,589,727,"1,032"
2021년05월_남_20~29세,"20,749","1,628","1,682","2,073","1,823","1,651","1,583","1,158",964,"1,527","1,416","2,003","1,225","2,016"
2021년05월_남_30~39세,"19,817","1,537","1,520","2,013","1,706","1,713","1,458",975,882,"1,508","1,323","1,834","1,367","1,981"
2021년05월_남_40~49세,"23,338","1,824","1,559","2,288","2,004","3,080","1,524","1,185","1,281","1,580","1,534","1,712","1,515","2,252"
2021년05월_남_50~59세,"25,575","2,187","1,860","2,432","2,514","2,486","1,612","1,340","1,344","1,738","1,767","2,025","1,743","2,527"
2021년05월_남_60~69세,"21,726","1,803","1,659","2,138","2,264","1,529","1,261","1,216","1,208","1,585","1,571","1,596","1,538","2,358"
2021년05월_남_70~79세,"12,752","1,002",879,"1,200","1,250",839,787,791,939,864,900,955,944,"1,402"
2021년05월_남_80~89세,"4,749",331,344,432,430,288,270,252,314,349,398,372,410,559
2021년05월_남_90~99세,378,31,20,28,38,20,23,18,16,35,38,34,37,40
2021년05월_남_100세 이상,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021년05월_여_총인구수,"155,330","12,090","11,292","15,525","13,523","16,352","9,226","8,330","9,121","10,518","11,149","11,650","10,629","15,925"
2021년05월_여_연령구간인구수,"155,330","12,090","11,292","15,525","13,523","16,352","9,226","8,330","9,121","10,518","11,149","11,650","10,629","15,925"
2021년05월_여_0~9세,"7,241",590,354,730,501,"1,398",303,300,457,485,498,385,512,728
2021년05월_여_10~19세,"10,425",907,623,"1,029",777,"1,950",515,494,634,657,651,495,651,"1,042"
2021년05월_여_20~29세,"21,410","1,524","2,118","2,169","1,747","1,679","1,593","1,064",922,"1,495","1,532","2,194","1,376","1,997"
2021년05월_여_30~39세,"17,994","1,378","1,345","1,997","1,487","1,987","1,245",779,809,"1,258","1,197","1,506","1,221","1,785"
2021년05월_여_40~49세,"22,084","1,729","1,431","2,195","1,784","3,294","1,327","1,154","1,264","1,352","1,512","1,515","1,394","2,133"
2021년05월_여_50~59세,"26,357","2,158","1,931","2,710","2,467","2,480","1,481","1,372","1,437","1,818","1,959","1,942","1,819","2,783"
2021년05월_여_60~69세,"24,847","2,000","1,734","2,491","2,382","1,831","1,397","1,464","1,503","1,787","1,862","1,884","1,792","2,720"
2021년05월_여_70~79세,"16,739","1,178","1,163","1,528","1,597","1,133",946,"1,193","1,544","1,078","1,227","1,166","1,209","1,777"
2021년05월_여_80~89세,"7,155",538,521,589,683,527,368,447,484,507,618,500,560,813
2021년05월_여_90~99세,"1,043",86,71,82,91,69,51,61,65,77,92,62,91,145
2021년05월_여_100세 이상,35,2,1,5,7,4,0,2,2,4,1,1,4,2
