,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년12월_계_총인구수,"293,452","7,815","6,698","45,552","16,325","19,478","25,719","30,280","2,884","14,102","19,210","4,045","3,735","49,415","48,194"
2020년12월_계_연령구간인구수,"293,452","7,815","6,698","45,552","16,325","19,478","25,719","30,280","2,884","14,102","19,210","4,045","3,735","49,415","48,194"
2020년12월_계_0~9세,"30,194",361,303,"3,864",989,"1,103","2,150","4,618",87,"1,965","2,580",130,176,"5,013","6,855"
2020년12월_계_10~19세,"25,139",424,410,"3,900","1,134","1,217","2,568","2,915",153,"1,137","1,908",198,174,"3,846","5,155"
2020년12월_계_20~29세,"36,407",992,"1,008","5,187","2,196","2,560","3,093","3,317",353,"1,661","2,167",494,485,"8,817","4,077"
2020년12월_계_30~39세,"50,109","1,035","1,024","6,723","2,348","2,984","3,402","5,620",385,"2,874","3,273",434,493,"11,563","7,951"
2020년12월_계_40~49세,"51,423","1,051",940,"7,265","2,272","2,579","4,436","5,906",390,"2,332","3,729",554,473,"9,067","10,429"
2020년12월_계_50~59세,"42,068","1,498","1,242","7,109","2,928","3,505","4,156","3,848",588,"1,820","2,849",795,760,"5,159","5,811"
2020년12월_계_60~69세,"35,105","1,523","1,024","6,726","2,703","3,357","3,435","2,543",531,"1,424","1,891",794,729,"3,639","4,786"
2020년12월_계_70~79세,"16,178",609,513,"3,430","1,255","1,509","1,728",981,262,615,603,396,296,"1,688","2,293"
2020년12월_계_80~89세,"5,707",262,199,"1,150",428,554,637,395,110,232,174,210,134,517,705
2020년12월_계_90~99세,998,52,29,182,59,101,104,106,19,35,34,33,13,104,127
2020년12월_계_100세 이상,124,8,6,16,13,9,10,31,6,7,2,7,2,2,5
2020년12월_남_총인구수,"147,424","4,300","3,468","22,558","8,247","9,830","12,807","15,043","1,598","7,121","9,368","2,271","2,135","24,940","23,738"
2020년12월_남_연령구간인구수,"147,424","4,300","3,468","22,558","8,247","9,830","12,807","15,043","1,598","7,121","9,368","2,271","2,135","24,940","23,738"
2020년12월_남_0~9세,"15,438",182,152,"1,955",504,582,"1,138","2,305",47,"1,031","1,271",69,92,"2,606","3,504"
2020년12월_남_10~19세,"12,835",233,216,"2,041",611,617,"1,313","1,488",80,587,927,110,91,"1,905","2,616"
2020년12월_남_20~29세,"18,535",568,552,"2,695","1,191","1,406","1,665","1,677",204,835,"1,061",275,277,"4,079","2,050"
2020년12월_남_30~39세,"25,406",612,601,"3,444","1,256","1,642","1,745","2,630",242,"1,416","1,473",270,313,"6,143","3,619"
2020년12월_남_40~49세,"26,999",639,512,"3,688","1,184","1,339","2,207","3,121",233,"1,223","1,900",340,299,"4,854","5,460"
2020년12월_남_50~59세,"20,897",848,651,"3,369","1,381","1,727","2,020","1,883",319,903,"1,368",480,438,"2,644","2,866"
2020년12월_남_60~69세,"16,960",808,485,"3,182","1,297","1,603","1,626","1,243",287,720,968,439,415,"1,647","2,240"
2020년12월_남_70~79세,"8,076",296,224,"1,686",634,724,828,526,135,324,337,191,155,870,"1,146"
2020년12월_남_80~89세,"2,024",99,70,447,173,173,238,138,41,67,53,92,52,171,210
2020년12월_남_90~99세,221,13,3,45,13,14,26,21,8,14,10,3,3,21,27
2020년12월_남_100세 이상,33,2,2,6,3,3,1,11,2,1,0,2,0,0,0
2020년12월_여_총인구수,"146,028","3,515","3,230","22,994","8,078","9,648","12,912","15,237","1,286","6,981","9,842","1,774","1,600","24,475","24,456"
2020년12월_여_연령구간인구수,"146,028","3,515","3,230","22,994","8,078","9,648","12,912","15,237","1,286","6,981","9,842","1,774","1,600","24,475","24,456"
2020년12월_여_0~9세,"14,756",179,151,"1,909",485,521,"1,012","2,313",40,934,"1,309",61,84,"2,407","3,351"
2020년12월_여_10~19세,"12,304",191,194,"1,859",523,600,"1,255","1,427",73,550,981,88,83,"1,941","2,539"
2020년12월_여_20~29세,"17,872",424,456,"2,492","1,005","1,154","1,428","1,640",149,826,"1,106",219,208,"4,738","2,027"
2020년12월_여_30~39세,"24,703",423,423,"3,279","1,092","1,342","1,657","2,990",143,"1,458","1,800",164,180,"5,420","4,332"
2020년12월_여_40~49세,"24,424",412,428,"3,577","1,088","1,240","2,229","2,785",157,"1,109","1,829",214,174,"4,213","4,969"
2020년12월_여_50~59세,"21,171",650,591,"3,740","1,547","1,778","2,136","1,965",269,917,"1,481",315,322,"2,515","2,945"
2020년12월_여_60~69세,"18,145",715,539,"3,544","1,406","1,754","1,809","1,300",244,704,923,355,314,"1,992","2,546"
2020년12월_여_70~79세,"8,102",313,289,"1,744",621,785,900,455,127,291,266,205,141,818,"1,147"
2020년12월_여_80~89세,"3,683",163,129,703,255,381,399,257,69,165,121,118,82,346,495
2020년12월_여_90~99세,777,39,26,137,46,87,78,85,11,21,24,30,10,83,100
2020년12월_여_100세 이상,91,6,4,10,10,6,9,20,4,6,2,5,2,2,5
