,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년10월_계_총인구수,"69,069","22,682","7,792","4,879","7,015","4,505","4,213","3,068","4,089","1,841","3,188","2,922","2,230",377,268
2020년10월_계_연령구간인구수,"69,069","22,682","7,792","4,879","7,015","4,505","4,213","3,068","4,089","1,841","3,188","2,922","2,230",377,268
2020년10월_계_0~9세,"3,350","1,477",515,183,317,157,160,74,125,61,124,72,69,9,7
2020년10월_계_10~19세,"4,613","2,182",671,203,403,201,228,119,155,73,140,118,106,12,2
2020년10월_계_20~29세,"5,367","2,299",708,314,510,258,254,186,230,88,205,174,114,17,10
2020년10월_계_30~39세,"5,327","2,128",659,334,611,330,247,186,240,67,215,155,127,20,8
2020년10월_계_40~49세,"7,763","3,244","1,077",428,732,384,423,269,348,148,276,206,191,23,14
2020년10월_계_50~59세,"12,005","3,810","1,335",866,"1,344",786,737,529,649,339,545,541,397,75,52
2020년10월_계_60~69세,"14,107","3,593","1,386","1,226","1,611","1,149",964,753,950,426,674,645,549,102,79
2020년10월_계_70~79세,"10,091","2,498",860,777,953,766,709,608,820,376,589,615,395,65,60
2020년10월_계_80~89세,"5,602","1,267",493,452,445,404,425,316,515,235,374,349,247,49,31
2020년10월_계_90~99세,809,168,88,93,86,69,63,27,55,28,42,46,34,5,5
2020년10월_계_100세 이상,35,16,0,3,3,1,3,1,2,0,4,1,1,0,0
2020년10월_남_총인구수,"34,603","11,195","3,894","2,467","3,529","2,299","2,100","1,506","2,087",914,"1,597","1,512","1,166",192,145
2020년10월_남_연령구간인구수,"34,603","11,195","3,894","2,467","3,529","2,299","2,100","1,506","2,087",914,"1,597","1,512","1,166",192,145
2020년10월_남_0~9세,"1,759",780,258,84,162,74,85,46,70,35,66,44,44,7,4
2020년10월_남_10~19세,"2,382","1,094",346,107,209,121,122,61,84,34,67,62,67,7,1
2020년10월_남_20~29세,"3,067","1,291",407,183,297,147,147,102,145,54,109,107,66,6,6
2020년10월_남_30~39세,"2,795","1,106",322,174,305,193,133,99,129,34,123,85,77,11,4
2020년10월_남_40~49세,"4,229","1,654",560,249,414,228,240,155,203,77,177,135,112,15,10
2020년10월_남_50~59세,"6,186","1,925",682,442,679,381,379,258,353,195,304,295,218,45,30
2020년10월_남_60~69세,"7,014","1,733",689,629,795,589,482,369,487,210,320,335,285,47,44
2020년10월_남_70~79세,"4,753","1,100",418,397,469,377,324,282,385,170,287,290,187,37,30
2020년10월_남_80~89세,"2,213",466,190,180,180,171,171,125,224,100,132,143,102,14,15
2020년10월_남_90~99세,196,41,22,22,17,18,16,8,7,5,12,16,8,3,1
2020년10월_남_100세 이상,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2020년10월_여_총인구수,"34,466","11,487","3,898","2,412","3,486","2,206","2,113","1,562","2,002",927,"1,591","1,410","1,064",185,123
2020년10월_여_연령구간인구수,"34,466","11,487","3,898","2,412","3,486","2,206","2,113","1,562","2,002",927,"1,591","1,410","1,064",185,123
2020년10월_여_0~9세,"1,591",697,257,99,155,83,75,28,55,26,58,28,25,2,3
2020년10월_여_10~19세,"2,231","1,088",325,96,194,80,106,58,71,39,73,56,39,5,1
2020년10월_여_20~29세,"2,300","1,008",301,131,213,111,107,84,85,34,96,67,48,11,4
2020년10월_여_30~39세,"2,532","1,022",337,160,306,137,114,87,111,33,92,70,50,9,4
2020년10월_여_40~49세,"3,534","1,590",517,179,318,156,183,114,145,71,99,71,79,8,4
2020년10월_여_50~59세,"5,819","1,885",653,424,665,405,358,271,296,144,241,246,179,30,22
2020년10월_여_60~69세,"7,093","1,860",697,597,816,560,482,384,463,216,354,310,264,55,35
2020년10월_여_70~79세,"5,338","1,398",442,380,484,389,385,326,435,206,302,325,208,28,30
2020년10월_여_80~89세,"3,389",801,303,272,265,233,254,191,291,135,242,206,145,35,16
2020년10월_여_90~99세,613,127,66,71,69,51,47,19,48,23,30,30,26,2,4
2020년10월_여_100세 이상,26,11,0,3,1,1,2,0,2,0,4,1,1,0,0
