,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년12월_계_총인구수,"283,952","14,735","26,303","20,420","38,997","42,593","15,437","30,381","12,314","12,417","11,118","12,841","27,243","19,153"
2020년12월_계_연령구간인구수,"283,952","14,735","26,303","20,420","38,997","42,593","15,437","30,381","12,314","12,417","11,118","12,841","27,243","19,153"
2020년12월_계_0~9세,"18,994",747,"1,457",974,"2,169","4,107",964,"2,626",464,449,459,969,"2,324","1,285"
2020년12월_계_10~19세,"23,301",714,"1,779","1,543","3,190","4,515","1,249","3,948",569,639,637,785,"2,384","1,349"
2020년12월_계_20~29세,"37,585","2,024","3,681","2,980","4,564","5,898","2,284","4,011","1,569","1,913","1,429","1,493","3,290","2,449"
2020년12월_계_30~39세,"33,517","2,012","3,314","2,041","3,860","5,455","1,672","3,160","1,501","1,512","1,173","2,033","3,395","2,389"
2020년12월_계_40~49세,"40,485","1,759","3,505","2,922","5,282","6,663","2,007","5,476","1,481","1,534","1,474","1,601","4,231","2,550"
2020년12월_계_50~59세,"53,951","2,917","5,256","4,308","7,586","8,359","3,205","5,469","2,255","2,333","1,991","2,213","4,605","3,454"
2020년12월_계_60~69세,"45,465","2,712","4,500","3,518","6,639","5,156","2,380","3,184","2,488","2,387","2,149","2,289","4,412","3,651"
2020년12월_계_70~79세,"21,308","1,291","2,022","1,577","3,633","1,763","1,118","1,722","1,316","1,142","1,271","1,070","1,901","1,482"
2020년12월_계_80~89세,"8,206",489,693,493,"1,873",586,446,701,597,442,477,337,605,467
2020년12월_계_90~99세,"1,036",65,77,60,198,86,74,83,69,62,52,46,89,75
2020년12월_계_100세 이상,104,5,19,4,3,5,38,1,5,4,6,5,7,2
2020년12월_남_총인구수,"140,527","7,454","13,524","10,503","18,907","20,969","7,535","14,875","6,068","6,194","5,427","6,307","13,393","9,371"
2020년12월_남_연령구간인구수,"140,527","7,454","13,524","10,503","18,907","20,969","7,535","14,875","6,068","6,194","5,427","6,307","13,393","9,371"
2020년12월_남_0~9세,"9,822",356,798,509,"1,130","2,129",502,"1,342",224,237,249,482,"1,195",669
2020년12월_남_10~19세,"12,126",347,949,834,"1,627","2,328",633,"2,068",312,334,329,401,"1,240",724
2020년12월_남_20~29세,"20,266","1,061","2,005","1,700","2,466","3,171","1,248","2,148",857,999,772,773,"1,730","1,336"
2020년12월_남_30~39세,"17,368","1,125","1,816","1,133","2,042","2,593",877,"1,479",822,864,633,"1,054","1,710","1,220"
2020년12월_남_40~49세,"20,069",985,"1,842","1,504","2,557","3,098",950,"2,490",775,830,799,850,"2,115","1,274"
2020년12월_남_50~59세,"25,703","1,444","2,612","2,127","3,598","3,894","1,454","2,738","1,098","1,127",963,"1,002","2,151","1,495"
2020년12월_남_60~69세,"22,435","1,353","2,265","1,771","3,392","2,677","1,195","1,542","1,172","1,136",984,"1,109","2,102","1,737"
2020년12월_남_70~79세,"9,746",601,973,732,"1,484",881,506,759,596,510,540,509,926,729
2020년12월_남_80~89세,"2,767",166,253,184,565,188,136,289,193,145,145,123,205,175
2020년12월_남_90~99세,203,15,9,9,46,10,21,20,19,11,11,3,17,12
2020년12월_남_100세 이상,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020년12월_여_총인구수,"143,425","7,281","12,779","9,917","20,090","21,624","7,902","15,506","6,246","6,223","5,691","6,534","13,850","9,782"
2020년12월_여_연령구간인구수,"143,425","7,281","12,779","9,917","20,090","21,624","7,902","15,506","6,246","6,223","5,691","6,534","13,850","9,782"
2020년12월_여_0~9세,"9,172",391,659,465,"1,039","1,978",462,"1,284",240,212,210,487,"1,129",616
2020년12월_여_10~19세,"11,175",367,830,709,"1,563","2,187",616,"1,880",257,305,308,384,"1,144",625
2020년12월_여_20~29세,"17,319",963,"1,676","1,280","2,098","2,727","1,036","1,863",712,914,657,720,"1,560","1,113"
2020년12월_여_30~39세,"16,149",887,"1,498",908,"1,818","2,862",795,"1,681",679,648,540,979,"1,685","1,169"
2020년12월_여_40~49세,"20,416",774,"1,663","1,418","2,725","3,565","1,057","2,986",706,704,675,751,"2,116","1,276"
2020년12월_여_50~59세,"28,248","1,473","2,644","2,181","3,988","4,465","1,751","2,731","1,157","1,206","1,028","1,211","2,454","1,959"
2020년12월_여_60~69세,"23,030","1,359","2,235","1,747","3,247","2,479","1,185","1,642","1,316","1,251","1,165","1,180","2,310","1,914"
2020년12월_여_70~79세,"11,562",690,"1,049",845,"2,149",882,612,963,720,632,731,561,975,753
2020년12월_여_80~89세,"5,439",323,440,309,"1,308",398,310,412,404,297,332,214,400,292
2020년12월_여_90~99세,833,50,68,51,152,76,53,63,50,51,41,43,72,63
2020년12월_여_100세 이상,82,4,17,4,3,5,25,1,5,3,4,4,5,2
