카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년04월_계_총인구수,"243,902","8,011","3,109","1,608","7,204","2,930","12,024","1,105","8,192","3,596","1,079","3,152","1,401","6,160","9,308","27,114","7,384","26,317","20,703","35,265","34,460","23,780"
2021년04월_계_연령구간인구수,"243,902","8,011","3,109","1,608","7,204","2,930","12,024","1,105","8,192","3,596","1,079","3,152","1,401","6,160","9,308","27,114","7,384","26,317","20,703","35,265","34,460","23,780"
2021년04월_계_0~9세,"25,739",553,82,28,394,67,"1,385",35,485,184,30,77,52,396,510,"4,394",608,"2,422","1,564","3,400","5,607","3,466"
2021년04월_계_10~19세,"27,845",633,117,62,567,148,"1,136",51,671,270,29,111,69,662,941,"3,468",643,"3,013","2,240","4,235","5,028","3,751"
2021년04월_계_20~29세,"23,812",673,224,85,545,209,923,66,765,284,46,202,73,656,976,"2,301",858,"2,866","2,777","4,077","2,984","2,222"
2021년04월_계_30~39세,"35,293",839,218,89,600,151,"1,732",75,847,295,63,178,95,638,875,"5,731","1,063","3,545","3,301","4,889","6,451","3,618"
2021년04월_계_40~49세,"47,488","1,246",341,154,968,306,"2,205",109,"1,358",452,103,379,185,"1,192","1,596","6,119","1,328","4,994","4,403","6,939","7,609","5,502"
2021년04월_계_50~59세,"39,315","1,595",623,335,"1,289",563,"1,887",230,"1,687",669,204,580,266,"1,194","1,904","2,979","1,373","4,833","3,886","6,002","4,112","3,104"
2021년04월_계_60~69세,"27,500","1,448",716,397,"1,415",732,"1,522",299,"1,367",718,261,719,315,875,"1,647","1,509","1,075","3,371","1,875","4,000","1,821","1,418"
2021년04월_계_70~79세,"10,998",624,502,281,817,452,804,161,607,427,205,525,201,365,611,423,315,912,466,"1,224",612,464
2021년04월_계_80~89세,"5,078",344,251,158,503,258,375,67,349,250,117,329,125,164,220,163,107,312,159,432,192,203
2021년04월_계_90~99세,807,55,34,19,102,42,53,12,55,46,21,49,20,17,27,27,14,49,28,66,42,29
2021년04월_계_100세 이상,27,1,1,0,4,2,2,0,1,1,0,3,0,1,1,0,0,0,4,1,2,3
2021년04월_남_총인구수,"127,950","4,102","1,619",807,"3,559","1,525","6,252",563,"4,509","1,863",543,"1,613",700,"3,426","5,036","14,535","3,991","13,685","11,801","18,159","17,493","12,169"
2021년04월_남_연령구간인구수,"127,950","4,102","1,619",807,"3,559","1,525","6,252",563,"4,509","1,863",543,"1,613",700,"3,426","5,036","14,535","3,991","13,685","11,801","18,159","17,493","12,169"
2021년04월_남_0~9세,"13,318",283,48,13,207,39,698,17,273,95,19,42,27,215,276,"2,270",305,"1,241",816,"1,791","2,834","1,809"
2021년04월_남_10~19세,"14,592",339,66,33,284,83,595,31,359,148,15,67,34,348,523,"1,801",347,"1,618","1,172","2,185","2,581","1,963"
2021년04월_남_20~29세,"13,488",388,128,49,302,138,530,38,458,142,23,116,45,388,553,"1,315",535,"1,566","1,677","2,285","1,565","1,247"
2021년04월_남_30~39세,"18,541",431,139,50,311,89,866,49,488,172,34,106,50,375,491,"3,023",598,"1,860","2,085","2,549","3,116","1,659"
2021년04월_남_40~49세,"25,788",655,207,91,536,181,"1,239",62,799,275,68,246,108,722,905,"3,441",752,"2,657","2,619","3,555","3,923","2,747"
2021년04월_남_50~59세,"21,152",846,339,199,654,299,"1,035",119,978,359,119,320,150,702,"1,046","1,665",733,"2,431","2,182","3,073","2,196","1,707"
2021년04월_남_60~69세,"14,132",751,353,212,733,386,773,159,733,362,138,370,163,469,863,776,537,"1,763",961,"1,980",913,737
2021년04월_남_70~79세,"5,244",296,244,110,367,219,397,70,297,218,91,238,82,162,303,202,156,446,241,589,290,226
2021년04월_남_80~89세,"1,559",105,88,47,155,82,107,14,115,88,34,100,39,42,70,37,26,97,43,135,68,67
2021년04월_남_90~99세,127,7,6,3,9,9,12,4,9,4,2,7,2,3,5,5,2,6,4,16,6,6
2021년04월_남_100세 이상,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
2021년04월_여_총인구수,"115,952","3,909","1,490",801,"3,645","1,405","5,772",542,"3,683","1,733",536,"1,539",701,"2,734","4,272","12,579","3,393","12,632","8,902","17,106","16,967","11,611"
2021년04월_여_연령구간인구수,"115,952","3,909","1,490",801,"3,645","1,405","5,772",542,"3,683","1,733",536,"1,539",701,"2,734","4,272","12,579","3,393","12,632","8,902","17,106","16,967","11,611"
2021년04월_여_0~9세,"12,421",270,34,15,187,28,687,18,212,89,11,35,25,181,234,"2,124",303,"1,181",748,"1,609","2,773","1,657"
2021년04월_여_10~19세,"13,253",294,51,29,283,65,541,20,312,122,14,44,35,314,418,"1,667",296,"1,395","1,068","2,050","2,447","1,788"
2021년04월_여_20~29세,"10,324",285,96,36,243,71,393,28,307,142,23,86,28,268,423,986,323,"1,300","1,100","1,792","1,419",975
2021년04월_여_30~39세,"16,752",408,79,39,289,62,866,26,359,123,29,72,45,263,384,"2,708",465,"1,685","1,216","2,340","3,335","1,959"
2021년04월_여_40~49세,"21,700",591,134,63,432,125,966,47,559,177,35,133,77,470,691,"2,678",576,"2,337","1,784","3,384","3,686","2,755"
2021년04월_여_50~59세,"18,163",749,284,136,635,264,852,111,709,310,85,260,116,492,858,"1,314",640,"2,402","1,704","2,929","1,916","1,397"
2021년04월_여_60~69세,"13,368",697,363,185,682,346,749,140,634,356,123,349,152,406,784,733,538,"1,608",914,"2,020",908,681
2021년04월_여_70~79세,"5,754",328,258,171,450,233,407,91,310,209,114,287,119,203,308,221,159,466,225,635,322,238
2021년04월_여_80~89세,"3,519",239,163,111,348,176,268,53,234,162,83,229,86,122,150,126,81,215,116,297,124,136
2021년04월_여_90~99세,680,48,28,16,93,33,41,8,46,42,19,42,18,14,22,22,12,43,24,50,36,23
2021년04월_여_100세 이상,18,0,0,0,3,2,2,0,1,1,0,2,0,1,0,0,0,0,3,0,1,2
