카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년09월_계_총인구수,"2,941,795","142,053","62,244","406,482","389,977","518,988","488,683","294,668","549,053","69,302","20,345"
2021년09월_계_연령구간인구수,"2,941,795","142,053","62,244","406,482","389,977","518,988","488,683","294,668","549,053","69,302","20,345"
2021년09월_계_0~9세,"219,612","11,663","3,570","26,339","37,651","38,830","30,980","17,434","48,989","3,266",890
2021년09월_계_10~19세,"271,502","12,993","4,960","31,638","43,070","48,936","41,841","25,737","56,724","4,521","1,082"
2021년09월_계_20~29세,"392,901","18,911","6,515","56,948","51,219","69,145","68,083","42,600","71,771","5,120","2,589"
2021년09월_계_30~39세,"401,098","21,654","6,911","55,614","56,987","69,493","66,129","37,470","79,804","5,213","1,823"
2021년09월_계_40~49세,"480,375","24,983","9,787","63,422","68,900","87,081","75,387","44,617","96,224","7,656","2,318"
2021년09월_계_50~59세,"509,323","20,894","10,028","67,136","65,020","88,892","88,303","59,524","94,376","11,642","3,508"
2021년09월_계_60~69세,"393,500","17,003","10,453","58,501","42,335","69,982","69,683","42,646","63,456","15,120","4,321"
2021년09월_계_70~79세,"178,622","9,328","6,584","31,180","15,792","31,233","31,495","15,677","24,963","9,987","2,383"
2021년09월_계_80~89세,"81,545","3,959","2,959","13,583","7,597","13,264","14,504","7,727","10,911","5,887","1,154"
2021년09월_계_90~99세,"12,758",641,440,"2,021","1,355","2,046","2,160","1,204","1,753",873,265
2021년09월_계_100세 이상,559,24,37,100,51,86,118,32,82,17,12
2021년09월_남_총인구수,"1,472,963","73,787","31,417","204,758","193,641","257,803","241,313","146,737","277,255","34,660","11,592"
2021년09월_남_연령구간인구수,"1,472,963","73,787","31,417","204,758","193,641","257,803","241,313","146,737","277,255","34,660","11,592"
2021년09월_남_0~9세,"112,637","6,012","1,872","13,461","19,195","20,004","15,815","8,846","25,266","1,714",452
2021년09월_남_10~19세,"139,560","6,685","2,563","16,302","22,113","25,063","21,734","13,157","29,053","2,310",580
2021년09월_남_20~29세,"204,811","9,695","3,549","30,000","26,579","35,745","34,878","22,367","37,160","2,942","1,896"
2021년09월_남_30~39세,"207,628","11,783","3,693","29,970","28,000","35,842","34,122","19,590","40,774","2,721","1,133"
2021년09월_남_40~49세,"246,002","13,600","5,274","33,561","33,919","44,370","38,086","22,275","49,312","4,148","1,457"
2021년09월_남_50~59세,"254,465","11,590","5,356","33,867","32,022","43,836","43,040","28,932","47,754","6,009","2,059"
2021년09월_남_60~69세,"194,855","8,524","5,072","27,953","21,687","33,800","33,925","21,700","32,319","7,536","2,339"
2021년09월_남_70~79세,"81,792","4,313","2,899","14,184","7,299","14,191","14,276","7,101","11,612","4,732","1,185"
2021년09월_남_80~89세,"28,388","1,430","1,029","4,967","2,538","4,555","4,959","2,504","3,640","2,332",434
2021년09월_남_90~99세,"2,697",147,101,462,279,386,457,257,342,212,54
2021년09월_남_100세 이상,128,8,9,31,10,11,21,8,23,4,3
2021년09월_여_총인구수,"1,468,832","68,266","30,827","201,724","196,336","261,185","247,370","147,931","271,798","34,642","8,753"
2021년09월_여_연령구간인구수,"1,468,832","68,266","30,827","201,724","196,336","261,185","247,370","147,931","271,798","34,642","8,753"
2021년09월_여_0~9세,"106,975","5,651","1,698","12,878","18,456","18,826","15,165","8,588","23,723","1,552",438
2021년09월_여_10~19세,"131,942","6,308","2,397","15,336","20,957","23,873","20,107","12,580","27,671","2,211",502
2021년09월_여_20~29세,"188,090","9,216","2,966","26,948","24,640","33,400","33,205","20,233","34,611","2,178",693
2021년09월_여_30~39세,"193,470","9,871","3,218","25,644","28,987","33,651","32,007","17,880","39,030","2,492",690
2021년09월_여_40~49세,"234,373","11,383","4,513","29,861","34,981","42,711","37,301","22,342","46,912","3,508",861
2021년09월_여_50~59세,"254,858","9,304","4,672","33,269","32,998","45,056","45,263","30,592","46,622","5,633","1,449"
2021년09월_여_60~69세,"198,645","8,479","5,381","30,548","20,648","36,182","35,758","20,946","31,137","7,584","1,982"
2021년09월_여_70~79세,"96,830","5,015","3,685","16,996","8,493","17,042","17,219","8,576","13,351","5,255","1,198"
2021년09월_여_80~89세,"53,157","2,529","1,930","8,616","5,059","8,709","9,545","5,223","7,271","3,555",720
2021년09월_여_90~99세,"10,061",494,339,"1,559","1,076","1,660","1,703",947,"1,411",661,211
2021년09월_여_100세 이상,431,16,28,69,41,75,97,24,59,13,9
