카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년06월_계_총인구수,"281,816","2,668","4,538","18,240","33,217","12,674","2,925","1,788","3,159","1,520",869,"3,229","5,505","2,842","3,647","6,861","25,184","6,231","44,014","7,701","8,761","2,793","2,280","2,998","18,460","40,147","19,565"
2021년06월_계_연령구간인구수,"281,816","2,668","4,538","18,240","33,217","12,674","2,925","1,788","3,159","1,520",869,"3,229","5,505","2,842","3,647","6,861","25,184","6,231","44,014","7,701","8,761","2,793","2,280","2,998","18,460","40,147","19,565"
2021년06월_계_0~9세,"23,000",43,125,"1,466","5,903",831,58,32,54,16,13,78,137,59,132,427,"1,904",338,"3,245",342,337,110,47,84,"2,070","3,401","1,748"
2021년06월_계_10~19세,"29,683",112,196,"2,511","5,006","1,077",95,68,117,41,43,147,284,145,267,579,"2,620",528,"5,190",585,667,181,101,194,"1,735","4,677","2,517"
2021년06월_계_20~29세,"37,201",197,388,"3,123","3,249","1,367",152,119,185,75,48,230,412,281,346,"1,158","3,817",746,"6,553",919,"1,083",327,250,367,"2,147","6,362","3,300"
2021년06월_계_30~39세,"32,987",110,276,"2,167","6,643","1,323",121,93,139,65,30,138,271,152,275,846,"2,814",619,"4,895",734,766,238,210,272,"2,531","4,900","2,359"
2021년06월_계_40~49세,"42,865",203,433,"3,292","6,960","1,740",208,128,223,120,55,235,502,260,425,860,"3,674",852,"6,916",974,"1,040",298,270,388,"2,869","6,623","3,317"
2021년06월_계_50~59세,"49,143",510,861,"3,568","3,513","2,287",459,297,521,268,140,521,950,558,551,990,"4,465","1,148","8,572","1,308","1,649",449,435,516,"3,084","7,641","3,882"
2021년06월_계_60~69세,"35,682",590,948,"1,318","1,361","2,031",656,432,721,328,195,776,"1,141",597,769,939,"3,522","1,066","5,603","1,405","1,640",529,493,563,"2,207","4,171","1,681"
2021년06월_계_70~79세,"19,096",446,713,472,393,"1,219",641,340,637,320,168,620,933,446,573,671,"1,549",614,"2,037",970,"1,069",433,311,398,"1,113","1,511",499
2021년06월_계_80~89세,"10,460",394,512,283,160,689,459,239,487,248,142,413,768,291,265,349,703,266,855,404,450,194,134,189,597,740,229
2021년06월_계_90~99세,"1,636",62,86,36,28,108,75,39,75,32,34,69,102,49,42,40,110,51,137,59,59,34,28,27,103,118,33
