,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년12월_계_총인구수,"354,376","17,735","8,672","3,754","27,927","2,258","2,182","8,678","7,243","3,599","2,762","5,177","12,791","8,662","15,635","43,935","8,680","4,851","28,544","13,673","10,161","24,978","8,217","7,596","32,678","43,988"
2020년12월_계_연령구간인구수,"354,376","17,735","8,672","3,754","27,927","2,258","2,182","8,678","7,243","3,599","2,762","5,177","12,791","8,662","15,635","43,935","8,680","4,851","28,544","13,673","10,161","24,978","8,217","7,596","32,678","43,988"
2020년12월_계_0~9세,"28,302","1,159",377,111,"4,645",40,44,418,397,60,51,216,669,384,734,"3,398",411,163,"2,088","1,041",798,"1,778",277,468,"3,257","5,318"
2020년12월_계_10~19세,"35,918","1,613",550,153,"2,343",92,72,657,663,111,103,348,"1,312",781,"1,726","5,305",634,291,"2,440","1,222","1,158","2,669",685,866,"4,321","5,803"
2020년12월_계_20~29세,"45,576","2,097",977,321,"2,919",133,147,"1,412",992,212,192,746,"1,643","1,181","2,141","6,483","1,662",582,"4,471","2,015","1,073","3,014",938,938,"4,067","5,220"
2020년12월_계_30~39세,"45,323","1,842",717,243,"6,905",86,117,806,828,182,201,525,"1,209",790,"1,387","5,434",922,408,"4,072","1,661","1,094","2,786",652,687,"4,420","7,349"
2020년12월_계_40~49세,"57,215","2,882",999,339,"4,733",168,165,"1,171","1,149",287,282,647,"1,733","1,148","2,364","7,991","1,025",605,"4,084","2,120","1,753","4,202","1,055","1,193","6,291","8,829"
2020년12월_계_50~59세,"60,829","3,293","1,718",747,"3,079",395,453,"1,532","1,411",761,584,982,"2,445","1,746","3,117","7,672","1,434",950,"5,345","2,325","1,722","4,625","1,626","1,495","5,106","6,266"
2020년12월_계_60~69세,"45,593","2,527","1,833",909,"2,078",643,589,"1,506","1,025","1,013",654,902,"1,973","1,420","2,346","4,402","1,333",956,"3,791","1,866","1,394","3,332","1,517","1,095","3,288","3,201"
2020년12월_계_70~79세,"21,636","1,418",870,483,743,390,343,676,462,572,372,471,"1,105",763,"1,076","2,060",771,531,"1,401",909,739,"1,581",865,495,"1,260","1,280"
2020년12월_계_80~89세,"12,062",784,533,398,410,270,211,445,269,348,264,300,605,390,648,"1,040",415,311,725,438,387,873,514,298,558,628
2020년12월_계_90~99세,"1,810",112,94,49,67,39,39,52,46,52,54,36,91,55,94,142,65,51,119,72,38,115,79,56,104,89
2020년12월_계_100세 이상,112,8,4,1,5,2,2,3,1,1,5,4,6,4,2,8,8,3,8,4,5,3,9,5,6,5
2020년12월_남_총인구수,"175,939","9,058","4,541","1,974","13,788","1,149","1,112","4,580","3,819","1,836","1,475","2,486","6,142","4,165","7,586","21,611","4,243","2,412","13,889","7,190","5,096","12,452","4,059","3,773","16,066","21,437"
2020년12월_남_연령구간인구수,"175,939","9,058","4,541","1,974","13,788","1,149","1,112","4,580","3,819","1,836","1,475","2,486","6,142","4,165","7,586","21,611","4,243","2,412","13,889","7,190","5,096","12,452","4,059","3,773","16,066","21,437"
2020년12월_남_0~9세,"14,424",583,200,63,"2,312",17,25,216,197,30,28,108,328,182,343,"1,752",213,90,"1,122",535,411,929,142,245,"1,669","2,684"
2020년12월_남_10~19세,"18,628",818,277,86,"1,174",42,35,342,353,62,57,185,719,382,875,"2,764",365,166,"1,253",677,607,"1,390",367,442,"2,304","2,886"
2020년12월_남_20~29세,"24,281","1,183",600,195,"1,399",71,77,803,565,118,107,381,858,655,"1,155","3,520",795,322,"2,315","1,145",566,"1,624",522,518,"2,194","2,593"
2020년12월_남_30~39세,"23,037",996,409,137,"3,487",48,83,450,477,115,110,265,614,403,706,"2,750",507,218,"2,141",881,549,"1,433",390,349,"2,108","3,411"
2020년12월_남_40~49세,"28,219","1,506",543,207,"2,448",113,86,655,592,169,178,334,805,534,"1,125","3,758",525,336,"1,887","1,127",894,"2,134",535,552,"2,946","4,230"
2020년12월_남_50~59세,"30,560","1,748",906,417,"1,448",221,247,814,774,394,360,478,"1,181",836,"1,548","3,772",686,489,"2,442","1,240",909,"2,327",819,754,"2,490","3,260"
2020년12월_남_60~69세,"22,561","1,292",979,487,"1,039",340,316,809,536,527,368,421,915,687,"1,137","2,090",617,442,"1,827",985,693,"1,622",738,554,"1,573","1,567"
2020년12월_남_70~79세,"9,586",633,412,238,341,192,152,317,226,271,164,196,488,328,471,833,346,218,624,408,313,675,355,236,577,572
2020년12월_남_80~89세,"4,204",268,192,134,125,94,84,161,92,132,88,104,212,145,209,335,167,121,252,173,145,291,171,110,188,211
2020년12월_남_90~99세,410,28,21,10,15,11,6,11,7,18,15,12,22,11,16,34,19,10,25,18,8,26,17,12,16,22
2020년12월_남_100세 이상,29,3,2,0,0,0,1,2,0,0,0,2,0,2,1,3,3,0,1,1,1,1,3,1,1,1
2020년12월_여_총인구수,"178,437","8,677","4,131","1,780","14,139","1,109","1,070","4,098","3,424","1,763","1,287","2,691","6,649","4,497","8,049","22,324","4,437","2,439","14,655","6,483","5,065","12,526","4,158","3,823","16,612","22,551"
2020년12월_여_연령구간인구수,"178,437","8,677","4,131","1,780","14,139","1,109","1,070","4,098","3,424","1,763","1,287","2,691","6,649","4,497","8,049","22,324","4,437","2,439","14,655","6,483","5,065","12,526","4,158","3,823","16,612","22,551"
2020년12월_여_0~9세,"13,878",576,177,48,"2,333",23,19,202,200,30,23,108,341,202,391,"1,646",198,73,966,506,387,849,135,223,"1,588","2,634"
2020년12월_여_10~19세,"17,290",795,273,67,"1,169",50,37,315,310,49,46,163,593,399,851,"2,541",269,125,"1,187",545,551,"1,279",318,424,"2,017","2,917"
2020년12월_여_20~29세,"21,295",914,377,126,"1,520",62,70,609,427,94,85,365,785,526,986,"2,963",867,260,"2,156",870,507,"1,390",416,420,"1,873","2,627"
2020년12월_여_30~39세,"22,286",846,308,106,"3,418",38,34,356,351,67,91,260,595,387,681,"2,684",415,190,"1,931",780,545,"1,353",262,338,"2,312","3,938"
2020년12월_여_40~49세,"28,996","1,376",456,132,"2,285",55,79,516,557,118,104,313,928,614,"1,239","4,233",500,269,"2,197",993,859,"2,068",520,641,"3,345","4,599"
