카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년03월_계_총인구수,"71,527","5,808","1,112","3,177",819,"2,562","3,075","2,463","2,750","1,897","3,579","2,602","5,869","7,144","9,247","3,137","16,286"
2020년03월_계_연령구간인구수,"71,527","5,808","1,112","3,177",819,"2,562","3,075","2,463","2,750","1,897","3,579","2,602","5,869","7,144","9,247","3,137","16,286"
2020년03월_계_0~9세,"4,110",224,42,100,20,64,96,52,51,83,83,67,363,427,695,113,"1,630"
2020년03월_계_10~19세,"5,897",331,59,155,38,364,130,189,116,67,146,92,432,620,910,145,"2,103"
2020년03월_계_20~29세,"6,155",423,72,159,28,148,197,322,146,97,207,119,535,616,901,217,"1,968"
2020년03월_계_30~39세,"6,003",377,51,157,50,111,160,112,121,96,221,144,611,663,883,250,"1,996"
2020년03월_계_40~49세,"8,882",619,114,258,77,173,264,204,241,175,318,200,718,900,"1,340",323,"2,958"
2020년03월_계_50~59세,"12,204","1,066",225,558,168,370,499,382,503,360,624,502,997,"1,178","1,617",562,"2,593"
2020년03월_계_60~69세,"12,916","1,210",252,689,191,548,689,520,577,462,746,617,"1,126","1,360","1,490",664,"1,775"
2020년03월_계_70~79세,"9,245","1,000",168,609,147,393,560,379,543,324,716,482,710,933,901,523,857
2020년03월_계_80~89세,"5,285",472,110,418,85,337,405,267,395,207,455,309,333,395,444,305,348
2020년03월_계_90~99세,773,75,19,71,14,53,73,35,53,26,56,63,41,44,60,33,57
2020년03월_계_100세 이상,57,11,0,3,1,1,2,1,4,0,7,7,3,8,6,2,1
2020년03월_남_총인구수,"35,038","2,819",559,"1,542",417,"1,358","1,543","1,172","1,363",967,"1,692","1,203","2,883","3,463","4,588","1,552","7,917"
2020년03월_남_연령구간인구수,"35,038","2,819",559,"1,542",417,"1,358","1,543","1,172","1,363",967,"1,692","1,203","2,883","3,463","4,588","1,552","7,917"
2020년03월_남_0~9세,"2,144",104,22,50,10,35,50,33,31,46,39,32,206,222,374,55,835
2020년03월_남_10~19세,"3,198",179,30,91,24,241,79,82,65,36,80,48,234,331,522,85,"1,071"
2020년03월_남_20~29세,"3,442",267,42,101,12,81,116,145,93,56,118,71,311,353,535,122,"1,019"
2020년03월_남_30~39세,"3,209",216,29,86,23,68,95,65,74,54,134,88,334,366,445,144,988
2020년03월_남_40~49세,"4,764",341,67,143,43,113,175,121,151,113,199,126,398,469,706,205,"1,394"
2020년03월_남_50~59세,"6,256",559,130,291,91,214,281,206,295,184,343,247,461,584,779,308,"1,283"
2020년03월_남_60~69세,"6,223",552,126,363,119,284,338,271,303,267,360,302,503,598,673,312,852
2020년03월_남_70~79세,"3,977",425,75,267,64,190,258,153,229,136,284,198,309,407,385,230,367
2020년03월_남_80~89세,"1,654",158,36,130,30,120,137,88,111,71,121,74,116,125,155,89,93
2020년03월_남_90~99세,157,14,2,20,1,12,14,8,10,4,10,15,11,6,13,2,15
2020년03월_남_100세 이상,14,4,0,0,0,0,0,0,1,0,4,2,0,2,1,0,0
2020년03월_여_총인구수,"36,489","2,989",553,"1,635",402,"1,204","1,532","1,291","1,387",930,"1,887","1,399","2,986","3,681","4,659","1,585","8,369"
2020년03월_여_연령구간인구수,"36,489","2,989",553,"1,635",402,"1,204","1,532","1,291","1,387",930,"1,887","1,399","2,986","3,681","4,659","1,585","8,369"
2020년03월_여_0~9세,"1,966",120,20,50,10,29,46,19,20,37,44,35,157,205,321,58,795
2020년03월_여_10~19세,"2,699",152,29,64,14,123,51,107,51,31,66,44,198,289,388,60,"1,032"
2020년03월_여_20~29세,"2,713",156,30,58,16,67,81,177,53,41,89,48,224,263,366,95,949
2020년03월_여_30~39세,"2,794",161,22,71,27,43,65,47,47,42,87,56,277,297,438,106,"1,008"
2020년03월_여_40~49세,"4,118",278,47,115,34,60,89,83,90,62,119,74,320,431,634,118,"1,564"
2020년03월_여_50~59세,"5,948",507,95,267,77,156,218,176,208,176,281,255,536,594,838,254,"1,310"
2020년03월_여_60~69세,"6,693",658,126,326,72,264,351,249,274,195,386,315,623,762,817,352,923
2020년03월_여_70~79세,"5,268",575,93,342,83,203,302,226,314,188,432,284,401,526,516,293,490
2020년03월_여_80~89세,"3,631",314,74,288,55,217,268,179,284,136,334,235,217,270,289,216,255
2020년03월_여_90~99세,616,61,17,51,13,41,59,27,43,22,46,48,30,38,47,31,42
2020년03월_여_100세 이상,43,7,0,3,1,1,2,1,3,0,3,5,3,6,5,2,1
