카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년04월_계_총인구수,"721,767","61,583","92,910","104,133","14,853","24,007","53,511","29,466","19,723","8,969","4,184","56,844","36,643","18,751","4,526","80,444","35,993","75,227"
2021년04월_계_연령구간인구수,"721,767","61,583","92,910","104,133","14,853","24,007","53,511","29,466","19,723","8,969","4,184","56,844","36,643","18,751","4,526","80,444","35,993","75,227"
2021년04월_계_0~9세,"64,690","3,918","8,062","8,631","1,635",983,"3,874","1,702","1,198",338,200,"6,301","3,224",690,154,"10,531","4,747","8,502"
2021년04월_계_10~19세,"77,742","7,275","11,391","11,480","1,330","1,852","6,555","2,541","1,909",533,239,"7,156","4,905","1,173",193,"8,467","3,782","6,961"
2021년04월_계_20~29세,"85,727","7,738","10,638","12,218","1,609","3,235","6,738","4,033","2,528",808,408,"6,125","4,596","2,455",522,"9,241","3,771","9,064"
2021년04월_계_30~39세,"89,842","5,906","10,081","12,223","2,176","2,321","5,370","3,303","1,790",741,417,"7,494","4,320","2,070",478,"13,390","5,646","12,116"
2021년04월_계_40~49세,"131,232","10,832","17,254","19,696","2,546","3,253","10,076","4,231","3,229","1,036",507,"11,850","7,307","2,230",471,"15,848","7,321","13,545"
2021년04월_계_50~59세,"118,804","11,099","15,277","17,671","2,314","5,111","9,684","5,644","3,639","1,783",778,"8,266","5,896","3,853",896,"10,604","5,177","11,112"
2021년04월_계_60~69세,"86,377","7,799","11,308","12,254","1,951","4,159","5,928","4,674","2,791","1,962",885,"5,173","3,503","3,649","1,077","7,237","3,478","8,549"
2021년04월_계_70~79세,"45,207","4,726","5,976","6,848",837,"1,985","3,520","2,230","1,726","1,117",477,"3,090","1,908","1,639",482,"3,513","1,418","3,715"
