,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년07월_계_총인구수,"30,306","10,828","2,978","3,574","3,436","3,423","3,124","2,288",265,390
2021년07월_계_연령구간인구수,"30,306","10,828","2,978","3,574","3,436","3,423","3,124","2,288",265,390
2021년07월_계_0~9세,"1,608",860,101,181,116,112,103,97,14,24
2021년07월_계_10~19세,"2,177","1,146",163,247,154,183,111,124,6,43
2021년07월_계_20~29세,"2,487","1,236",188,251,213,220,211,130,17,21
2021년07월_계_30~39세,"2,141","1,099",173,237,175,172,136,114,13,22
2021년07월_계_40~49세,"3,477","1,578",294,384,345,301,226,269,30,50
2021년07월_계_50~59세,"4,966","1,704",520,554,599,605,492,377,45,70
2021년07월_계_60~69세,"5,442","1,536",595,743,727,665,654,415,47,60
2021년07월_계_70~79세,"4,577","1,044",533,532,630,654,657,414,49,64
2021년07월_계_80~89세,"3,035",548,367,387,416,442,482,323,40,30
2021년07월_계_90~99세,384,74,44,55,60,69,50,22,4,6
2021년07월_계_100세 이상,12,3,0,3,1,0,2,3,0,0
2021년07월_남_총인구수,"15,021","5,331","1,512","1,747","1,756","1,654","1,500","1,180",141,200
2021년07월_남_연령구간인구수,"15,021","5,331","1,512","1,747","1,756","1,654","1,500","1,180",141,200
2021년07월_남_0~9세,787,412,54,92,65,57,48,42,7,10
2021년07월_남_10~19세,"1,097",587,78,120,81,86,54,62,6,23
2021년07월_남_20~29세,"1,463",715,121,141,122,122,134,85,7,16
2021년07월_남_30~39세,"1,143",547,103,133,108,92,75,65,9,11
2021년07월_남_40~49세,"2,024",812,176,235,232,186,152,176,21,34
2021년07월_남_50~59세,"2,797",870,302,305,353,346,294,252,28,47
2021년07월_남_60~69세,"2,757",738,317,368,372,346,322,237,30,27
2021년07월_남_70~79세,"1,980",468,238,224,275,281,278,168,24,24
2021년07월_남_80~89세,903,166,113,121,135,129,134,90,8,7
2021년07월_남_90~99세,70,16,10,8,13,9,9,3,1,1
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"15,285","5,497","1,466","1,827","1,680","1,769","1,624","1,108",124,190
2021년07월_여_연령구간인구수,"15,285","5,497","1,466","1,827","1,680","1,769","1,624","1,108",124,190
2021년07월_여_0~9세,821,448,47,89,51,55,55,55,7,14
2021년07월_여_10~19세,"1,080",559,85,127,73,97,57,62,0,20
2021년07월_여_20~29세,"1,024",521,67,110,91,98,77,45,10,5
2021년07월_여_30~39세,998,552,70,104,67,80,61,49,4,11
2021년07월_여_40~49세,"1,453",766,118,149,113,115,74,93,9,16
2021년07월_여_50~59세,"2,169",834,218,249,246,259,198,125,17,23
2021년07월_여_60~69세,"2,685",798,278,375,355,319,332,178,17,33
2021년07월_여_70~79세,"2,597",576,295,308,355,373,379,246,25,40
2021년07월_여_80~89세,"2,132",382,254,266,281,313,348,233,32,23
2021년07월_여_90~99세,314,58,34,47,47,60,41,19,3,5
2021년07월_여_100세 이상,12,3,0,3,1,0,2,3,0,0
