,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년11월_계_총인구수,"118,778","30,604","10,426","4,680","13,604","7,910","9,680","3,845","3,763","4,591","6,838","17,763","5,074"
2020년11월_계_연령구간인구수,"118,778","30,604","10,426","4,680","13,604","7,910","9,680","3,845","3,763","4,591","6,838","17,763","5,074"
2020년11월_계_0~9세,"7,320","2,210",946,172,734,485,640,124,119,142,234,"1,281",233
2020년11월_계_10~19세,"9,848","3,313",943,231,"1,074",553,829,219,156,202,391,"1,628",309
2020년11월_계_20~29세,"10,592","3,511",841,332,"1,252",732,599,249,229,271,477,"1,708",391
2020년11월_계_30~39세,"10,801","3,194","1,220",366,"1,204",771,829,285,206,298,417,"1,644",367
2020년11월_계_40~49세,"16,315","4,817","1,671",505,"1,819","1,061","1,497",430,361,393,679,"2,489",593
2020년11월_계_50~59세,"20,907","5,388","1,671",886,"2,440","1,376","1,741",682,690,900,"1,273","2,970",890
2020년11월_계_60~69세,"22,636","4,401","1,747","1,204","2,679","1,630","2,029",949,967,"1,155","1,672","3,022","1,181"
2020년11월_계_70~79세,"13,055","2,427",919,705,"1,606",880,"1,025",563,604,704,999,"1,903",720
2020년11월_계_80~89세,"6,231","1,169",407,228,677,361,407,304,381,436,583,933,345
2020년11월_계_90~99세,"1,006",158,57,50,109,57,79,40,44,82,110,177,43
2020년11월_계_100세 이상,67,16,4,1,10,4,5,0,6,8,3,8,2
2020년11월_남_총인구수,"59,600","15,296","5,151","2,368","6,825","4,004","4,810","1,957","1,916","2,280","3,480","8,944","2,569"
2020년11월_남_연령구간인구수,"59,600","15,296","5,151","2,368","6,825","4,004","4,810","1,957","1,916","2,280","3,480","8,944","2,569"
2020년11월_남_0~9세,"3,749","1,141",479,100,371,236,303,57,65,82,140,660,115
2020년11월_남_10~19세,"5,223","1,705",487,135,592,293,449,121,89,107,224,855,166
2020년11월_남_20~29세,"5,854","1,921",438,186,681,432,329,139,120,155,275,959,219
2020년11월_남_30~39세,"5,468","1,607",582,197,614,398,393,170,114,163,215,822,193
2020년11월_남_40~49세,"8,312","2,322",837,256,934,571,748,233,214,216,371,"1,291",319
2020년11월_남_50~59세,"10,720","2,787",834,438,"1,238",691,863,359,359,472,662,"1,549",468
2020년11월_남_60~69세,"11,240","2,201",849,581,"1,289",804,994,482,493,568,894,"1,501",584
2020년11월_남_70~79세,"6,391","1,154",475,374,784,431,549,273,291,332,465,902,361
2020년11월_남_80~89세,"2,392",417,153,93,294,130,163,116,163,164,200,365,134
2020년11월_남_90~99세,237,38,17,7,23,18,18,7,7,20,34,39,9
2020년11월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년11월_여_총인구수,"59,178","15,308","5,275","2,312","6,779","3,906","4,870","1,888","1,847","2,311","3,358","8,819","2,505"
2020년11월_여_연령구간인구수,"59,178","15,308","5,275","2,312","6,779","3,906","4,870","1,888","1,847","2,311","3,358","8,819","2,505"
2020년11월_여_0~9세,"3,571","1,069",467,72,363,249,337,67,54,60,94,621,118
2020년11월_여_10~19세,"4,625","1,608",456,96,482,260,380,98,67,95,167,773,143
2020년11월_여_20~29세,"4,738","1,590",403,146,571,300,270,110,109,116,202,749,172
2020년11월_여_30~39세,"5,333","1,587",638,169,590,373,436,115,92,135,202,822,174
2020년11월_여_40~49세,"8,003","2,495",834,249,885,490,749,197,147,177,308,"1,198",274
2020년11월_여_50~59세,"10,187","2,601",837,448,"1,202",685,878,323,331,428,611,"1,421",422
2020년11월_여_60~69세,"11,396","2,200",898,623,"1,390",826,"1,035",467,474,587,778,"1,521",597
2020년11월_여_70~79세,"6,664","1,273",444,331,822,449,476,290,313,372,534,"1,001",359
2020년11월_여_80~89세,"3,839",752,254,135,383,231,244,188,218,272,383,568,211
2020년11월_여_90~99세,769,120,40,43,86,39,61,33,37,62,76,138,34
2020년11월_여_100세 이상,53,13,4,0,5,4,4,0,5,7,3,7,1
