,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년11월_계_총인구수,"2,639,245","503,139","230,573","272,566","253,468","140,547","158,803","416,279","103,272","101,904","97,483","71,213","262,988","23,299","51,827","25,077","16,677","36,399","42,332","31,378","43,225","114,951","55,558","31,555","48,743","9,128"
2020년11월_계_연령구간인구수,"2,639,245","503,139","230,573","272,566","253,468","140,547","158,803","416,279","103,272","101,904","97,483","71,213","262,988","23,299","51,827","25,077","16,677","36,399","42,332","31,378","43,225","114,951","55,558","31,555","48,743","9,128"
2020년11월_계_0~9세,"190,349","39,852","17,545","22,307","16,295","10,471","10,695","41,515","6,129","5,739","5,225","4,069","20,546",686,"1,936",976,734,"1,679","1,538","1,424","1,919","9,565","4,625","1,398","2,934",399
2020년11월_계_10~19세,"226,482","46,857","21,297","25,560","20,868","12,220","13,779","45,069","8,911","6,685","7,656","5,592","22,665",978,"2,317","1,217",943,"2,127","2,279","2,058","2,272","11,541","4,340","1,859","3,781",468
2020년11월_계_20~29세,"283,924","56,470","26,175","30,295","26,953","14,676","16,704","56,581","9,656","10,125","8,206","6,135","35,989","1,515","3,146","1,713","1,132","2,446","2,847","2,522","3,483","12,149","4,112","2,030","4,498",836
2020년11월_계_30~39세,"291,865","59,787","27,070","32,717","25,530","15,194","15,469","65,766","8,528","9,450","7,485","5,722","33,148","1,331","3,268","1,713","1,039","2,424","2,811","2,270","3,264","15,061","5,478","1,962","4,297",868
2020년11월_계_40~49세,"384,030","77,179","35,642","41,537","36,763","19,408","22,359","73,244","13,970","12,695","11,568","8,774","41,536","2,173","4,716","2,399","1,722","3,911","4,445","3,883","4,742","20,635","7,083","3,248","6,280","1,297"
2020년11월_계_50~59세,"460,086","90,353","41,508","48,845","46,846","23,926","26,525","69,826","17,994","18,300","16,759","12,006","44,759","4,325","8,762","4,709","3,001","6,194","7,326","5,901","8,525","19,644","8,092","5,803","8,637","1,873"
2020년11월_계_60~69세,"406,917","78,246","36,515","41,731","40,906","21,877","25,514","39,110","18,302","18,593","18,245","13,318","34,639","5,320","11,753","5,502","3,433","7,377","9,616","6,236","9,194","13,671","9,355","6,790","8,161","1,759"
2020년11월_계_70~79세,"241,510","36,865","17,166","19,699","24,522","13,453","16,642","15,989","11,893","12,548","12,673","9,289","19,366","4,031","8,994","4,062","2,692","5,950","6,583","4,107","5,832","7,649","6,885","4,738","5,703","1,044"
2020년11월_계_80~89세,"134,356","15,288","6,723","8,565","12,946","8,084","9,605","7,973","6,827","6,926","8,328","5,440","9,190","2,600","6,087","2,462","1,703","3,744","4,257","2,660","3,475","4,383","4,894","3,191","3,799",494
2020년11월_계_90~99세,"18,731","2,131",875,"1,256","1,748","1,182","1,449","1,152","1,002",801,"1,277",810,"1,084",324,800,302,251,518,610,306,491,612,660,507,636,78
2020년11월_계_100세 이상,995,111,57,54,91,56,62,54,60,42,61,58,66,16,48,22,27,29,20,11,28,41,34,29,17,12
2020년11월_남_총인구수,"1,328,939","254,299","118,801","135,498","126,867","70,498","78,632","213,634","51,170","51,749","47,779","34,874","132,410","11,913","25,326","12,518","8,246","17,226","20,791","16,076","22,349","59,955","27,330","15,878","24,426","4,993"
2020년11월_남_연령구간인구수,"1,328,939","254,299","118,801","135,498","126,867","70,498","78,632","213,634","51,170","51,749","47,779","34,874","132,410","11,913","25,326","12,518","8,246","17,226","20,791","16,076","22,349","59,955","27,330","15,878","24,426","4,993"
