카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년09월_계_총인구수,"62,879","18,237","19,104","2,379","6,112","2,829","3,378","5,309","1,916","2,728",887
2021년09월_계_연령구간인구수,"62,879","18,237","19,104","2,379","6,112","2,829","3,378","5,309","1,916","2,728",887
2021년09월_계_0~9세,"3,689","1,162","1,716",57,288,65,53,255,19,60,14
2021년09월_계_10~19세,"5,841","1,946","2,656",101,293,75,134,425,61,129,21
2021년09월_계_20~29세,"5,147","1,944","1,519",140,440,154,196,421,96,194,43
2021년09월_계_30~39세,"5,151","1,724","1,819",147,519,134,139,382,86,158,43
2021년09월_계_40~49세,"8,945","2,734","3,706",199,560,254,290,736,151,253,62
2021년09월_계_50~59세,"11,014","3,339","3,142",397,980,535,547,"1,065",329,530,150
2021년09월_계_60~69세,"11,621","2,908","2,606",611,"1,381",750,836,993,529,727,280
2021년09월_계_70~79세,"6,624","1,464","1,246",385,869,483,647,616,374,380,160
2021년09월_계_80~89세,"4,233",884,597,303,687,335,465,361,246,259,96
2021년09월_계_90~99세,603,129,93,39,93,44,71,54,24,38,18
2021년09월_계_100세 이상,11,3,4,0,2,0,0,1,1,0,0
2021년09월_남_총인구수,"32,003","9,179","9,704","1,203","3,173","1,458","1,689","2,776",984,"1,382",455
2021년09월_남_연령구간인구수,"32,003","9,179","9,704","1,203","3,173","1,458","1,689","2,776",984,"1,382",455
2021년09월_남_0~9세,"1,875",602,853,27,143,35,30,140,8,29,8
2021년09월_남_10~19세,"3,090","1,052","1,382",54,161,44,74,212,29,69,13
2021년09월_남_20~29세,"3,026","1,134",851,82,288,97,118,250,59,126,21
2021년09월_남_30~39세,"2,657",878,863,79,298,88,79,210,51,87,24
2021년09월_남_40~49세,"4,824","1,416","1,868",119,349,173,184,422,98,151,44
2021년09월_남_50~59세,"6,079","1,751","1,743",228,573,319,319,601,193,267,85
2021년09월_남_60~69세,"6,073","1,434","1,345",326,752,395,442,550,287,390,152
2021년09월_남_70~79세,"2,981",620,595,179,389,203,282,278,168,189,78
2021년09월_남_80~89세,"1,286",264,183,102,201,94,150,107,85,71,29
2021년09월_남_90~99세,109,28,20,7,17,10,11,6,6,3,1
2021년09월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년09월_여_총인구수,"30,876","9,058","9,400","1,176","2,939","1,371","1,689","2,533",932,"1,346",432
2021년09월_여_연령구간인구수,"30,876","9,058","9,400","1,176","2,939","1,371","1,689","2,533",932,"1,346",432
2021년09월_여_0~9세,"1,814",560,863,30,145,30,23,115,11,31,6
2021년09월_여_10~19세,"2,751",894,"1,274",47,132,31,60,213,32,60,8
2021년09월_여_20~29세,"2,121",810,668,58,152,57,78,171,37,68,22
2021년09월_여_30~39세,"2,494",846,956,68,221,46,60,172,35,71,19
2021년09월_여_40~49세,"4,121","1,318","1,838",80,211,81,106,314,53,102,18
2021년09월_여_50~59세,"4,935","1,588","1,399",169,407,216,228,464,136,263,65
2021년09월_여_60~69세,"5,548","1,474","1,261",285,629,355,394,443,242,337,128
2021년09월_여_70~79세,"3,643",844,651,206,480,280,365,338,206,191,82
2021년09월_여_80~89세,"2,947",620,414,201,486,241,315,254,161,188,67
2021년09월_여_90~99세,494,101,73,32,76,34,60,48,18,35,17
2021년09월_여_100세 이상,8,3,3,0,0,0,0,1,1,0,0
