,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년02월_계_80~89세,"28,355","7,515",925,815,762,613,0,483,652,606,695,778,812,374,"11,352","1,083",457,604,671,419,900,589,346,"1,357","1,198",622,550,777,649,"1,130","9,488","1,000",926,"1,071","1,565",477,913,"1,098",961,"1,477"
2021년02월_계_90~99세,"4,255","1,192",129,128,132,113,0,80,93,113,101,123,110,70,"1,704",138,84,165,110,46,133,89,42,204,172,89,84,90,94,164,"1,359",130,108,142,202,92,164,162,141,218
2021년02월_계_100세 이상,215,83,0,8,10,7,0,5,7,11,13,10,4,8,73,11,4,3,7,2,7,4,3,7,6,2,4,2,6,5,59,11,5,1,8,2,9,10,3,10
2021년02월_남_총인구수,"533,604","132,193","17,215","13,848","10,392","11,931",0,"4,291","4,560","10,044","12,529","22,400","18,189","6,794","217,511","19,306","15,185","8,717","20,910","6,904","16,701","10,649","13,499","19,031","15,772","15,832","13,410","11,430","12,207","17,958","183,900","18,314","20,439","18,512","27,371","9,145","24,506","23,453","16,531","25,629"
2021년02월_남_연령구간인구수,"533,604","132,193","17,215","13,848","10,392","11,931",0,"4,291","4,560","10,044","12,529","22,400","18,189","6,794","217,511","19,306","15,185","8,717","20,910","6,904","16,701","10,649","13,499","19,031","15,772","15,832","13,410","11,430","12,207","17,958","183,900","18,314","20,439","18,512","27,371","9,145","24,506","23,453","16,531","25,629"
2021년02월_남_0~9세,"51,035","10,730","1,181","1,023",770,"1,600",0,170,134,667,768,"2,489","1,573",355,"21,592","1,683","1,741",954,"2,197",512,"1,564",918,"1,558","1,704","1,391","1,683","1,370","1,547","1,023","1,747","18,713","1,418","2,394","1,766","2,502",786,"2,993","2,360","1,726","2,768"
2021년02월_남_10~19세,"61,966","12,772","1,905","1,243",927,948,0,288,264,946,"1,137","2,264","2,238",612,"26,006","1,849","1,837",630,"1,704",625,"2,241","1,136","1,257","2,484","1,582","2,888","2,428","1,516","1,460","2,369","23,188","1,881","2,938","2,728","3,566",825,"2,782","3,110","2,176","3,182"
2021년02월_남_20~29세,"71,467","18,673","2,649","1,884","1,224","1,008",0,417,517,"1,323","2,311","3,661","2,644","1,035","29,510","2,557","1,973","1,306","3,259","1,050","2,071","1,345","3,124","2,244","2,102","1,784","1,651","1,094","1,768","2,182","23,284","2,797","2,431","2,094","3,888","1,422","2,786","3,068","1,946","2,852"
2021년02월_남_30~39세,"71,184","18,030","2,155","1,606","1,300","2,079",0,423,445,"1,383","1,757","3,772","2,297",813,"28,755","3,215","2,291","1,635","3,897","1,025","1,884","1,380","2,289","2,003","1,975","1,484","1,002","1,432","1,361","1,882","24,399","3,281","2,919","1,824","3,240","1,643","3,673","3,170","1,989","2,660"
2021년02월_남_40~49세,"98,769","22,944","3,115","2,409","1,804","2,299",0,599,615,"1,718","2,039","3,942","3,396","1,008","41,021","3,327","2,951","1,388","3,637","1,236","3,251","1,923","2,300","3,740","2,620","3,733","2,895","2,415","2,130","3,475","34,804","2,957","4,364","3,680","5,163","1,496","4,745","4,447","3,127","4,825"
