,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년12월_계_총인구수,"42,719","6,452","4,474","6,045","13,609","3,905","3,512","2,604","2,118"
2020년12월_계_연령구간인구수,"42,719","6,452","4,474","6,045","13,609","3,905","3,512","2,604","2,118"
2020년12월_계_0~9세,"2,574",478,188,399,"1,103",155,132,77,42
2020년12월_계_10~19세,"3,831",577,305,515,"1,637",272,241,184,100
2020년12월_계_20~29세,"3,679",616,353,405,"1,441",274,302,156,132
2020년12월_계_30~39세,"3,779",603,277,547,"1,523",283,258,158,130
2020년12월_계_40~49세,"6,434",927,622,943,"2,585",505,394,271,187
2020년12월_계_50~59세,"7,376","1,131",807,965,"2,194",750,723,426,380
2020년12월_계_60~69세,"7,682","1,111","1,003","1,095","1,735",916,720,600,502
2020년12월_계_70~79세,"4,924",685,631,776,958,517,464,489,404
2020년12월_계_80~89세,"2,093",266,237,344,378,202,241,218,207
2020년12월_계_90~99세,282,43,43,47,47,26,30,21,25
2020년12월_계_100세 이상,65,15,8,9,8,5,7,4,9
2020년12월_남_총인구수,"21,640","3,206","2,288","3,074","6,925","1,959","1,729","1,360","1,099"
2020년12월_남_연령구간인구수,"21,640","3,206","2,288","3,074","6,925","1,959","1,729","1,360","1,099"
2020년12월_남_0~9세,"1,338",245,91,224,565,79,67,46,21
2020년12월_남_10~19세,"1,994",301,167,257,857,118,117,122,55
2020년12월_남_20~29세,"2,114",369,210,242,820,146,164,88,75
2020년12월_남_30~39세,"1,988",320,154,270,767,154,156,85,82
2020년12월_남_40~49세,"3,432",464,343,541,"1,326",281,205,167,105
2020년12월_남_50~59세,"3,940",564,443,550,"1,163",389,372,244,215
2020년12월_남_60~69세,"3,786",523,510,511,848,457,368,307,262
2020년12월_남_70~79세,"2,209",307,270,342,444,238,202,216,190
2020년12월_남_80~89세,748,95,87,122,123,90,72,78,81
2020년12월_남_90~99세,64,11,10,12,7,5,4,5,10
2020년12월_남_100세 이상,27,7,3,3,5,2,2,2,3
2020년12월_여_총인구수,"21,079","3,246","2,186","2,971","6,684","1,946","1,783","1,244","1,019"
2020년12월_여_연령구간인구수,"21,079","3,246","2,186","2,971","6,684","1,946","1,783","1,244","1,019"
2020년12월_여_0~9세,"1,236",233,97,175,538,76,65,31,21
2020년12월_여_10~19세,"1,837",276,138,258,780,154,124,62,45
2020년12월_여_20~29세,"1,565",247,143,163,621,128,138,68,57
2020년12월_여_30~39세,"1,791",283,123,277,756,129,102,73,48
2020년12월_여_40~49세,"3,002",463,279,402,"1,259",224,189,104,82
2020년12월_여_50~59세,"3,436",567,364,415,"1,031",361,351,182,165
2020년12월_여_60~69세,"3,896",588,493,584,887,459,352,293,240
2020년12월_여_70~79세,"2,715",378,361,434,514,279,262,273,214
2020년12월_여_80~89세,"1,345",171,150,222,255,112,169,140,126
2020년12월_여_90~99세,218,32,33,35,40,21,26,16,15
2020년12월_여_100세 이상,38,8,5,6,3,3,5,2,6
