카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년07월_계_총인구수,"215,332","6,164","28,495","11,260","9,061","13,351","21,926","13,999","15,813","23,665","13,554","29,508","28,536"
2020년07월_계_연령구간인구수,"215,332","6,164","28,495","11,260","9,061","13,351","21,926","13,999","15,813","23,665","13,554","29,508","28,536"
2020년07월_계_0~9세,"13,080",234,"1,654",328,539,774,"1,138",558,985,"1,577",793,"2,058","2,442"
2020년07월_계_10~19세,"15,588",329,"2,056",534,675,953,"1,080",761,"1,187","1,865","1,082","2,354","2,712"
2020년07월_계_20~29세,"29,372",674,"3,736",930,"1,087","1,785","3,948","1,758","2,206","4,098","1,854","3,559","3,737"
2020년07월_계_30~39세,"26,059",611,"3,367",879,"1,044","1,530","3,179","1,650","1,887","3,138","1,556","3,639","3,579"
2020년07월_계_40~49세,"30,046",775,"3,834","1,359","1,274","1,720","2,747","1,846","2,066","3,494","1,852","4,403","4,676"
2020년07월_계_50~59세,"42,050","1,358","5,681","2,257","1,855","2,836","4,314","2,953","3,264","3,998","2,510","5,537","5,487"
2020년07월_계_60~69세,"35,896","1,249","5,050","2,498","1,476","2,374","3,531","2,657","2,658","3,248","2,338","4,972","3,845"
2020년07월_계_70~79세,"16,825",685,"2,268","1,670",801,"1,020","1,506","1,347","1,138","1,611","1,098","2,179","1,502"
2020년07월_계_80~89세,"5,701",221,757,727,277,313,423,406,375,569,427,714,492
2020년07월_계_90~99세,647,23,76,76,29,44,46,55,45,60,44,87,62
2020년07월_계_100세 이상,68,5,16,2,4,2,14,8,2,7,0,6,2
2020년07월_남_총인구수,"108,906","3,316","14,337","5,378","4,643","6,774","11,323","7,430","8,088","11,879","6,660","14,759","14,319"
2020년07월_남_연령구간인구수,"108,906","3,316","14,337","5,378","4,643","6,774","11,323","7,430","8,088","11,879","6,660","14,759","14,319"
2020년07월_남_0~9세,"6,647",126,805,165,268,403,571,291,502,786,402,"1,065","1,263"
2020년07월_남_10~19세,"8,168",172,"1,081",289,357,491,578,408,620,962,568,"1,244","1,398"
2020년07월_남_20~29세,"15,752",388,"2,070",533,631,954,"1,946",946,"1,219","2,101",966,"1,953","2,045"
2020년07월_남_30~39세,"13,996",339,"1,824",491,564,809,"1,741",972,"1,010","1,675",852,"1,898","1,821"
2020년07월_남_40~49세,"15,726",465,"1,978",795,673,913,"1,497","1,066","1,047","1,826",925,"2,242","2,299"
2020년07월_남_50~59세,"20,967",764,"2,747","1,180","1,000","1,377","2,244","1,578","1,599","1,915","1,158","2,695","2,710"
2020년07월_남_60~69세,"17,863",665,"2,468","1,111",695,"1,212","1,848","1,387","1,388","1,627","1,117","2,440","1,905"
2020년07월_남_70~79세,"7,805",320,"1,088",615,357,503,734,622,568,783,511,978,726
2020년07월_남_80~89세,"1,871",72,262,187,91,106,159,150,129,194,153,224,144
2020년07월_남_90~99세,102,5,14,11,6,5,4,8,5,9,8,19,8
2020년07월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년07월_여_총인구수,"106,426","2,848","14,158","5,882","4,418","6,577","10,603","6,569","7,725","11,786","6,894","14,749","14,217"
2020년07월_여_연령구간인구수,"106,426","2,848","14,158","5,882","4,418","6,577","10,603","6,569","7,725","11,786","6,894","14,749","14,217"
2020년07월_여_0~9세,"6,433",108,849,163,271,371,567,267,483,791,391,993,"1,179"
2020년07월_여_10~19세,"7,420",157,975,245,318,462,502,353,567,903,514,"1,110","1,314"
2020년07월_여_20~29세,"13,620",286,"1,666",397,456,831,"2,002",812,987,"1,997",888,"1,606","1,692"
2020년07월_여_30~39세,"12,063",272,"1,543",388,480,721,"1,438",678,877,"1,463",704,"1,741","1,758"
2020년07월_여_40~49세,"14,320",310,"1,856",564,601,807,"1,250",780,"1,019","1,668",927,"2,161","2,377"
2020년07월_여_50~59세,"21,083",594,"2,934","1,077",855,"1,459","2,070","1,375","1,665","2,083","1,352","2,842","2,777"
2020년07월_여_60~69세,"18,033",584,"2,582","1,387",781,"1,162","1,683","1,270","1,270","1,621","1,221","2,532","1,940"
2020년07월_여_70~79세,"9,020",365,"1,180","1,055",444,517,772,725,570,828,587,"1,201",776
2020년07월_여_80~89세,"3,830",149,495,540,186,207,264,256,246,375,274,490,348
2020년07월_여_90~99세,545,18,62,65,23,39,42,47,40,51,36,68,54
2020년07월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
