,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년01월_계_총인구수,"341,498","7,669","10,662","9,890","12,890","6,533","13,214","12,425","7,505","14,190","13,967","4,183","21,739","14,899","15,896","18,250","15,186","43,395","11,346","21,305","29,459","18,908","17,987"
2021년01월_계_연령구간인구수,"341,498","7,669","10,662","9,890","12,890","6,533","13,214","12,425","7,505","14,190","13,967","4,183","21,739","14,899","15,896","18,250","15,186","43,395","11,346","21,305","29,459","18,908","17,987"
2021년01월_계_0~9세,"24,944",280,"1,016",909,405,215,764,905,159,540,688,183,"2,266",670,840,873,743,"3,753",636,"2,453","2,538","3,070","1,038"
2021년01월_계_10~19세,"26,475",434,834,646,694,399,901,"1,029",354,832,971,255,"2,300",925,937,"1,265",921,"3,726",667,"2,681","2,957","1,483","1,264"
2021년01월_계_20~29세,"41,576",882,"1,014","1,109","1,865",791,"1,541","1,625","1,297","1,848","1,772",612,"2,267","1,979","2,157","2,380","1,861","5,271","1,424","2,162","3,872","1,996","1,851"
2021년01월_계_30~39세,"43,647",681,"1,423","1,568","1,482",565,"1,532","1,517","1,057","1,405","1,557",457,"2,839","1,549","1,918","1,758","1,599","5,667","1,401","3,100","4,126","4,630","1,816"
2021년01월_계_40~49세,"51,254",957,"1,851","1,362","1,699",853,"1,914","1,946",984,"1,722","1,977",496,"3,991","1,819","2,038","2,274","1,940","6,824","1,453","4,235","4,940","3,526","2,453"
2021년01월_계_50~59세,"56,873","1,347","1,542","1,540","2,546","1,225","2,202","2,183","1,291","2,599","2,350",735,"3,302","2,944","2,961","3,526","2,792","7,021","2,212","2,844","4,672","1,738","3,301"
2021년01월_계_60~69세,"51,730","1,434","1,429","1,446","2,302","1,274","2,137","1,692","1,247","2,660","2,464",732,"2,739","2,842","2,749","3,315","2,809","6,289","1,955","1,978","3,630","1,513","3,094"
2021년01월_계_70~79세,"30,248","1,057","1,029",878,"1,319",813,"1,457",968,743,"1,745","1,453",468,"1,400","1,503","1,560","1,892","1,717","3,214","1,116","1,281","1,904",684,"2,047"
