,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년11월_계_총인구수,"297,148","25,251","30,020","19,928","16,136","19,928","23,668","28,602","20,095","31,331","21,485","34,441","26,263"
2020년11월_계_연령구간인구수,"297,148","25,251","30,020","19,928","16,136","19,928","23,668","28,602","20,095","31,331","21,485","34,441","26,263"
2020년11월_계_0~9세,"18,632","1,331","1,970",838,637,966,"1,546","1,866","1,006","2,218","1,526","1,841","2,887"
2020년11월_계_10~19세,"26,824","2,319","2,788","1,286","1,016","1,611","2,611","2,837","1,426","3,428","1,831","2,819","2,852"
2020년11월_계_20~29세,"44,314","3,633","4,344","3,029","2,531","3,450","3,985","4,273","2,972","4,815","3,064","5,245","2,973"
2020년11월_계_30~39세,"37,900","2,823","3,630","2,589","2,089","2,853","2,618","3,621","2,771","3,986","2,651","4,406","3,863"
2020년11월_계_40~49세,"46,003","3,675","4,500","2,817","2,100","2,690","4,017","4,509","2,701","5,301","3,266","5,267","5,160"
2020년11월_계_50~59세,"60,801","5,292","6,127","4,285","3,550","4,427","5,312","5,777","4,119","6,416","4,284","7,157","4,055"
2020년11월_계_60~69세,"38,725","3,764","4,204","3,136","2,642","2,661","2,364","3,646","3,158","3,116","2,870","4,380","2,784"
2020년11월_계_70~79세,"15,513","1,583","1,696","1,290","1,059",780,629,"1,362","1,309","1,261","1,286","2,107","1,151"
2020년11월_계_80~89세,"7,252",712,679,591,429,406,481,614,537,678,612,"1,048",465
2020년11월_계_90~99세,"1,113",103,78,60,78,79,102,92,88,106,93,162,72
2020년11월_계_100세 이상,71,16,4,7,5,5,3,5,8,6,2,9,1
2020년11월_남_총인구수,"148,225","12,714","15,206","10,448","8,017","9,577","11,931","14,110","9,996","15,607","10,654","17,059","12,906"
2020년11월_남_연령구간인구수,"148,225","12,714","15,206","10,448","8,017","9,577","11,931","14,110","9,996","15,607","10,654","17,059","12,906"
2020년11월_남_0~9세,"9,459",660,"1,010",448,305,496,775,937,507,"1,121",798,931,"1,471"
2020년11월_남_10~19세,"13,803","1,237","1,438",674,534,840,"1,351","1,440",722,"1,706",951,"1,441","1,469"
2020년11월_남_20~29세,"23,235","1,943","2,365","1,637","1,303","1,789","2,038","2,258","1,535","2,583","1,553","2,770","1,461"
2020년11월_남_30~39세,"19,734","1,487","1,937","1,460","1,142","1,439","1,324","1,847","1,513","2,053","1,365","2,328","1,839"
2020년11월_남_40~49세,"22,860","1,831","2,257","1,533","1,073","1,190","1,948","2,177","1,383","2,546","1,622","2,608","2,692"
2020년11월_남_50~59세,"29,664","2,649","2,975","2,257","1,695","1,980","2,651","2,781","1,951","3,180","2,071","3,531","1,943"
2020년11월_남_60~69세,"19,901","1,902","2,161","1,641","1,321","1,377","1,399","1,856","1,574","1,649","1,476","2,226","1,319"
2020년11월_남_70~79세,"6,974",736,813,598,489,345,285,611,587,531,580,871,528
2020년11월_남_80~89세,"2,334",239,236,184,141,103,143,175,201,215,217,315,165
2020년11월_남_90~99세,243,27,14,14,14,16,17,26,20,20,20,36,19
2020년11월_남_100세 이상,18,3,0,2,0,2,0,2,3,3,1,2,0
2020년11월_여_총인구수,"148,923","12,537","14,814","9,480","8,119","10,351","11,737","14,492","10,099","15,724","10,831","17,382","13,357"
2020년11월_여_연령구간인구수,"148,923","12,537","14,814","9,480","8,119","10,351","11,737","14,492","10,099","15,724","10,831","17,382","13,357"
2020년11월_여_0~9세,"9,173",671,960,390,332,470,771,929,499,"1,097",728,910,"1,416"
2020년11월_여_10~19세,"13,021","1,082","1,350",612,482,771,"1,260","1,397",704,"1,722",880,"1,378","1,383"
2020년11월_여_20~29세,"21,079","1,690","1,979","1,392","1,228","1,661","1,947","2,015","1,437","2,232","1,511","2,475","1,512"
2020년11월_여_30~39세,"18,166","1,336","1,693","1,129",947,"1,414","1,294","1,774","1,258","1,933","1,286","2,078","2,024"
2020년11월_여_40~49세,"23,143","1,844","2,243","1,284","1,027","1,500","2,069","2,332","1,318","2,755","1,644","2,659","2,468"
2020년11월_여_50~59세,"31,137","2,643","3,152","2,028","1,855","2,447","2,661","2,996","2,168","3,236","2,213","3,626","2,112"
2020년11월_여_60~69세,"18,824","1,862","2,043","1,495","1,321","1,284",965,"1,790","1,584","1,467","1,394","2,154","1,465"
2020년11월_여_70~79세,"8,539",847,883,692,570,435,344,751,722,730,706,"1,236",623
2020년11월_여_80~89세,"4,918",473,443,407,288,303,338,439,336,463,395,733,300
2020년11월_여_90~99세,870,76,64,46,64,63,85,66,68,86,73,126,53
2020년11월_여_100세 이상,53,13,4,5,5,3,3,3,5,3,1,7,1
