,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년09월_계_총인구수,"481,546","37,467","39,851","28,613","23,399","29,125","33,016","27,306","30,535","27,604","25,328","46,830","27,759","20,976","15,482","10,993","57,262"
2020년09월_계_연령구간인구수,"481,546","37,467","39,851","28,613","23,399","29,125","33,016","27,306","30,535","27,604","25,328","46,830","27,759","20,976","15,482","10,993","57,262"
2020년09월_계_0~9세,"30,528","2,555","2,431","1,209","1,035","1,669","1,888","1,232","2,259","3,265","1,023","2,822","1,661","1,137",765,685,"4,892"
2020년09월_계_10~19세,"39,230","2,374","2,739","1,851","1,648","2,502","2,904","1,707","2,650","2,317","1,655","3,573","2,158","1,706","1,230",774,"7,442"
2020년09월_계_20~29세,"66,939","5,076","5,474","4,339","3,747","4,390","4,473","4,829","4,037","2,775","3,673","6,556","3,940","2,969","2,100","1,440","7,121"
2020년09월_계_30~39세,"69,264","6,133","5,465","3,941","3,138","4,009","4,153","4,260","5,042","5,115","3,395","6,817","4,176","2,834","2,064","1,660","7,062"
2020년09월_계_40~49세,"77,341","5,838","6,136","4,022","3,415","4,764","5,213","4,149","5,217","5,176","3,654","7,662","4,244","3,227","2,280","1,518","10,826"
2020년09월_계_50~59세,"77,485","5,873","6,779","4,966","4,018","4,831","5,699","4,156","4,544","3,615","4,286","7,677","4,562","3,519","2,610","1,952","8,398"
2020년09월_계_60~69세,"63,671","5,025","5,532","4,338","3,458","3,648","4,605","3,502","3,550","2,856","3,729","6,206","3,808","3,128","2,414","1,659","6,213"
2020년09월_계_70~79세,"39,003","3,154","3,530","2,749","2,118","2,294","2,770","2,362","2,226","1,691","2,621","3,855","2,260","1,661","1,416",875,"3,421"
2020년09월_계_80~89세,"15,569","1,243","1,532","1,055",701,884,"1,136",978,868,685,"1,130","1,460",844,689,520,373,"1,471"
2020년09월_계_90~99세,"2,099",171,200,131,107,115,154,109,132,88,143,178,97,93,74,52,255
2020년09월_계_100세 이상,417,25,33,12,14,19,21,22,10,21,19,24,9,13,9,5,161
2020년09월_남_총인구수,"231,364","17,872","18,869","13,892","11,420","13,850","16,441","12,745","14,509","13,385","12,398","22,170","13,410","10,476","7,580","5,465","26,882"
2020년09월_남_연령구간인구수,"231,364","17,872","18,869","13,892","11,420","13,850","16,441","12,745","14,509","13,385","12,398","22,170","13,410","10,476","7,580","5,465","26,882"
2020년09월_남_0~9세,"15,629","1,278","1,262",606,554,859,959,635,"1,154","1,686",546,"1,430",797,583,390,358,"2,532"
2020년09월_남_10~19세,"20,025","1,197","1,433",940,852,"1,255","1,403",802,"1,386","1,185",846,"1,797","1,124",956,641,417,"3,791"
2020년09월_남_20~29세,"32,277","2,394","2,666","2,174","1,907","2,116","2,210","2,112","1,849","1,387","1,866","3,149","2,027","1,534","1,051",737,"3,098"
2020년09월_남_30~39세,"34,379","3,054","2,681","2,073","1,653","2,008","2,123","2,140","2,489","2,431","1,795","3,310","2,105","1,499","1,059",863,"3,096"
2020년09월_남_40~49세,"38,262","2,950","2,973","2,084","1,707","2,290","2,622","2,037","2,553","2,651","1,879","3,818","2,086","1,654","1,128",771,"5,059"
2020년09월_남_50~59세,"37,305","2,801","3,166","2,290","1,874","2,264","2,868","2,006","2,223","1,759","2,151","3,601","2,147","1,691","1,278",985,"4,201"
2020년09월_남_60~69세,"29,343","2,263","2,495","2,026","1,601","1,655","2,332","1,553","1,532","1,290","1,723","2,742","1,757","1,499","1,150",817,"2,908"
2020년09월_남_70~79세,"17,236","1,369","1,524","1,230",945,989,"1,362","1,013",955,720,"1,108","1,702","1,005",754,642,376,"1,542"
2020년09월_남_80~89세,"6,242",521,595,429,293,374,511,409,325,244,441,578,336,269,221,126,570
2020년09월_남_90~99세,585,39,63,36,33,32,41,31,42,25,38,39,25,33,17,13,78
2020년09월_남_100세 이상,81,6,11,4,1,8,10,7,1,7,5,4,1,4,3,2,7
2020년09월_여_총인구수,"250,182","19,595","20,982","14,721","11,979","15,275","16,575","14,561","16,026","14,219","12,930","24,660","14,349","10,500","7,902","5,528","30,380"
2020년09월_여_연령구간인구수,"250,182","19,595","20,982","14,721","11,979","15,275","16,575","14,561","16,026","14,219","12,930","24,660","14,349","10,500","7,902","5,528","30,380"
2020년09월_여_0~9세,"14,899","1,277","1,169",603,481,810,929,597,"1,105","1,579",477,"1,392",864,554,375,327,"2,360"
2020년09월_여_10~19세,"19,205","1,177","1,306",911,796,"1,247","1,501",905,"1,264","1,132",809,"1,776","1,034",750,589,357,"3,651"
