카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년01월_계_총인구수,"1,463,291","223,727","235,164","477,326","350,875","176,199"
2021년01월_계_연령구간인구수,"1,463,291","223,727","235,164","477,326","350,875","176,199"
2021년01월_계_0~9세,"113,762","15,041","15,033","37,774","34,697","11,217"
2021년01월_계_10~19세,"145,937","19,868","21,876","49,470","38,129","16,594"
2021년01월_계_20~29세,"212,178","30,188","30,828","73,979","52,673","24,510"
2021년01월_계_30~39세,"193,830","26,005","25,984","65,733","55,991","20,117"
2021년01월_계_40~49세,"236,679","34,143","36,730","78,243","60,403","27,160"
2021년01월_계_50~59세,"241,468","36,796","39,557","77,563","53,935","33,617"
2021년01월_계_60~69세,"180,804","32,875","33,859","55,276","33,975","24,819"
2021년01월_계_70~79세,"91,576","19,185","20,639","26,157","13,482","12,113"
2021년01월_계_80~89세,"40,750","8,392","9,276","11,342","6,430","5,310"
2021년01월_계_90~99세,"5,932","1,137","1,296","1,696","1,101",702
2021년01월_계_100세 이상,375,97,86,93,59,40
2021년01월_남_총인구수,"730,396","112,794","116,032","234,832","177,175","89,563"
2021년01월_남_연령구간인구수,"730,396","112,794","116,032","234,832","177,175","89,563"
2021년01월_남_0~9세,"58,464","7,752","7,706","19,501","17,856","5,649"
2021년01월_남_10~19세,"75,482","10,309","11,265","25,523","19,724","8,661"
2021년01월_남_20~29세,"111,283","15,964","15,776","37,702","28,290","13,551"
2021년01월_남_30~39세,"101,189","14,067","13,371","33,621","29,145","10,985"
2021년01월_남_40~49세,"118,023","17,959","18,654","37,836","29,733","13,841"
2021년01월_남_50~59세,"120,390","18,849","20,002","37,576","26,890","17,073"
2021년01월_남_60~69세,"87,810","15,946","16,098","26,571","16,902","12,293"
2021년01월_남_70~79세,"41,694","8,612","9,322","12,021","6,253","5,486"
2021년01월_남_80~89세,"14,576","3,018","3,499","4,072","2,120","1,867"
2021년01월_남_90~99세,"1,394",290,318,390,248,148
2021년01월_남_100세 이상,91,28,21,19,14,9
2021년01월_여_총인구수,"732,895","110,933","119,132","242,494","173,700","86,636"
2021년01월_여_연령구간인구수,"732,895","110,933","119,132","242,494","173,700","86,636"
2021년01월_여_0~9세,"55,298","7,289","7,327","18,273","16,841","5,568"
2021년01월_여_10~19세,"70,455","9,559","10,611","23,947","18,405","7,933"
2021년01월_여_20~29세,"100,895","14,224","15,052","36,277","24,383","10,959"
2021년01월_여_30~39세,"92,641","11,938","12,613","32,112","26,846","9,132"
2021년01월_여_40~49세,"118,656","16,184","18,076","40,407","30,670","13,319"
2021년01월_여_50~59세,"121,078","17,947","19,555","39,987","27,045","16,544"
2021년01월_여_60~69세,"92,994","16,929","17,761","28,705","17,073","12,526"
2021년01월_여_70~79세,"49,882","10,573","11,317","14,136","7,229","6,627"
2021년01월_여_80~89세,"26,174","5,374","5,777","7,270","4,310","3,443"
2021년01월_여_90~99세,"4,538",847,978,"1,306",853,554
2021년01월_여_100세 이상,284,69,65,74,45,31
