카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년09월_계_총인구수,"103,329","7,271","3,188","2,954","5,418","4,270","4,636","4,591","5,174","2,877","3,169","4,562","8,228","5,389","7,882","19,441","14,279"
2021년09월_계_연령구간인구수,"103,329","7,271","3,188","2,954","5,418","4,270","4,636","4,591","5,174","2,877","3,169","4,562","8,228","5,389","7,882","19,441","14,279"
2021년09월_계_0~9세,"5,448",248,92,64,147,147,175,117,157,60,72,183,462,320,290,"1,333","1,581"
2021년09월_계_10~19세,"7,956",385,117,123,277,192,354,211,279,158,92,314,671,564,531,"2,008","1,680"
2021년09월_계_20~29세,"10,879",436,197,183,299,319,445,269,352,169,149,581,920,721,836,"3,237","1,766"
2021년09월_계_30~39세,"9,044",447,194,178,279,302,338,236,328,140,155,365,825,522,635,"2,268","1,832"
2021년09월_계_40~49세,"12,936",731,253,212,453,468,582,405,507,237,292,558,"1,134",765,987,"2,943","2,409"
2021년09월_계_50~59세,"17,908","1,232",582,460,975,947,925,770,910,498,581,788,"1,376",863,"1,502","3,260","2,239"
2021년09월_계_60~69세,"19,376","1,848",756,704,"1,409","1,069",915,"1,183","1,192",697,890,801,"1,466",892,"1,566","2,475","1,513"
2021년09월_계_70~79세,"11,393","1,118",530,525,888,511,499,718,795,474,554,583,846,463,953,"1,212",724
2021년09월_계_80~89세,"7,230",730,403,429,593,266,341,579,563,390,323,330,460,241,517,616,449
2021년09월_계_90~99세,"1,117",92,61,73,97,48,60,102,86,51,55,59,63,36,64,87,83
2021년09월_계_100세 이상,42,4,3,3,1,1,2,1,5,3,6,0,5,2,1,2,3
2021년09월_남_총인구수,"51,631","3,657","1,626","1,529","2,776","2,238","2,400","2,382","2,677","1,443","1,414","2,285","4,042","2,713","3,956","9,459","7,034"
2021년09월_남_연령구간인구수,"51,631","3,657","1,626","1,529","2,776","2,238","2,400","2,382","2,677","1,443","1,414","2,285","4,042","2,713","3,956","9,459","7,034"
2021년09월_남_0~9세,"2,834",142,41,34,79,90,83,69,84,32,35,97,252,169,153,681,793
2021년09월_남_10~19세,"4,103",190,79,61,149,111,172,120,140,77,50,171,328,280,272,"1,019",884
2021년09월_남_20~29세,"5,959",265,117,117,174,186,276,166,209,88,90,319,502,367,489,"1,645",949
2021년09월_남_30~39세,"4,851",271,105,105,155,176,188,132,193,88,79,201,454,292,357,"1,178",877
2021년09월_남_40~49세,"6,837",433,159,138,272,244,323,257,314,143,127,309,598,392,543,"1,419","1,166"
2021년09월_남_50~59세,"9,215",612,323,262,575,511,500,415,522,275,249,401,683,448,760,"1,568","1,111"
2021년09월_남_60~69세,"9,715",936,407,378,710,548,481,638,614,367,400,393,692,458,770,"1,156",767
2021년09월_남_70~79세,"5,260",516,251,252,444,251,248,347,387,212,244,254,358,226,400,542,328
2021년09월_남_80~89세,"2,557",266,123,165,192,106,116,209,185,149,124,125,161,77,191,230,138
2021년09월_남_90~99세,292,25,21,17,25,15,13,29,29,11,16,15,13,3,21,19,20
2021년09월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년09월_여_총인구수,"51,698","3,614","1,562","1,425","2,642","2,032","2,236","2,209","2,497","1,434","1,755","2,277","4,186","2,676","3,926","9,982","7,245"
2021년09월_여_연령구간인구수,"51,698","3,614","1,562","1,425","2,642","2,032","2,236","2,209","2,497","1,434","1,755","2,277","4,186","2,676","3,926","9,982","7,245"
2021년09월_여_0~9세,"2,614",106,51,30,68,57,92,48,73,28,37,86,210,151,137,652,788
2021년09월_여_10~19세,"3,853",195,38,62,128,81,182,91,139,81,42,143,343,284,259,989,796
2021년09월_여_20~29세,"4,920",171,80,66,125,133,169,103,143,81,59,262,418,354,347,"1,592",817
2021년09월_여_30~39세,"4,193",176,89,73,124,126,150,104,135,52,76,164,371,230,278,"1,090",955
2021년09월_여_40~49세,"6,099",298,94,74,181,224,259,148,193,94,165,249,536,373,444,"1,524","1,243"
2021년09월_여_50~59세,"8,693",620,259,198,400,436,425,355,388,223,332,387,693,415,742,"1,692","1,128"
2021년09월_여_60~69세,"9,661",912,349,326,699,521,434,545,578,330,490,408,774,434,796,"1,319",746
2021년09월_여_70~79세,"6,133",602,279,273,444,260,251,371,408,262,310,329,488,237,553,670,396
2021년09월_여_80~89세,"4,673",464,280,264,401,160,225,370,378,241,199,205,299,164,326,386,311
2021년09월_여_90~99세,825,67,40,56,72,33,47,73,57,40,39,44,50,33,43,68,63
2021년09월_여_100세 이상,34,3,3,3,0,1,2,1,5,2,6,0,4,1,1,0,2
