카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년02월_계_총인구수,"542,254","55,933","18,241","6,564","7,602","3,834","3,193","6,090","9,836","9,299","10,003","73,910","80,633","9,610","40,501","33,380","7,731","56,936","36,422","72,536"
2021년02월_계_연령구간인구수,"542,254","55,933","18,241","6,564","7,602","3,834","3,193","6,090","9,836","9,299","10,003","73,910","80,633","9,610","40,501","33,380","7,731","56,936","36,422","72,536"
2021년02월_계_0~9세,"48,694","6,423","2,791",223,192,81,80,164,550,602,588,"4,743","7,270",540,"2,555","1,544",523,"5,329","3,595","10,901"
2021년02월_계_10~19세,"60,998","6,080","1,261",315,327,121,139,213,681,568,637,"7,649","10,464",736,"3,842","3,069",745,"8,056","5,179","10,916"
2021년02월_계_20~29세,"68,842","5,399","2,143",602,606,301,273,432,"1,330","1,087","1,414","12,335","10,937","1,250","6,061","5,731","1,026","7,012","4,347","6,556"
2021년02월_계_30~39세,"68,821","8,735","4,021",547,593,260,228,415,"1,235","1,209","1,230","8,343","9,402",979,"4,376","2,922",780,"6,904","4,515","12,127"
2021년02월_계_40~49세,"98,248","10,874","2,943",805,714,352,334,572,"1,373","1,245","1,415","11,769","15,435","1,354","6,354","4,982","1,221","11,983","7,794","16,729"
2021년02월_계_50~59세,"97,432","8,333","2,749","1,467","1,610",832,726,"1,088","1,974","1,717","2,104","16,282","14,882","1,988","8,743","7,523","1,570","9,464","6,041","8,339"
2021년02월_계_60~69세,"59,481","6,069","1,540","1,390","1,834",956,820,"1,706","1,618","1,597","1,598","7,918","7,601","1,645","5,316","4,691","1,150","4,722","2,950","4,360"
2021년02월_계_70~79세,"26,530","2,655",481,750,"1,036",587,388,969,727,869,710,"3,152","3,139",765,"2,249","1,934",496,"2,335","1,405","1,883"
2021년02월_계_80~89세,"11,669","1,193",278,393,614,310,166,455,298,349,274,"1,545","1,321",320,896,890,194,"1,015",521,637
2021년02월_계_90~99세,"1,448",160,34,70,75,33,34,73,43,50,26,164,176,32,99,89,21,109,74,86
2021년02월_계_100세 이상,91,12,0,2,1,1,5,3,7,6,7,10,6,1,10,5,5,7,1,2
2021년02월_남_총인구수,"274,198","28,814","9,305","3,584","4,143","2,045","1,761","3,145","5,007","4,661","5,125","36,865","40,410","5,061","20,582","17,075","3,922","28,381","18,281","36,031"
2021년02월_남_연령구간인구수,"274,198","28,814","9,305","3,584","4,143","2,045","1,761","3,145","5,007","4,661","5,125","36,865","40,410","5,061","20,582","17,075","3,922","28,381","18,281","36,031"
2021년02월_남_0~9세,"24,799","3,299","1,401",124,106,53,47,80,282,314,313,"2,487","3,725",279,"1,325",774,274,"2,643","1,788","5,485"
2021년02월_남_10~19세,"31,719","3,176",645,172,196,63,75,114,330,300,333,"3,958","5,520",387,"2,019","1,617",369,"4,138","2,695","5,612"
2021년02월_남_20~29세,"37,501","2,999","1,085",387,391,185,164,269,734,609,773,"6,696","5,937",677,"3,260","3,216",562,"3,779","2,377","3,401"
